		For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Choose the category of statement	Choose the category of comments	For scoring a given reviewer								For scoring a given reviewer								Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree
Paper ID	Paper title	Review 1	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Statement	Comments	Review 2	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Statement	Comments	Review 3	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Statement	Comments	Review 1	Review 2	Review 3	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	meta-category	Agreement
001-Paper0829	3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images	Within supplementary material authors provide information about preprocessing steps and network architecture.	1	0	0	0	0	1. (none) statement	3. (+) comments	This study suggests that the reproducibility of performance can be ensured when the following two accurate annotations are secured:    Depth information: Even in spectral CT, decomposing contrast material in contrast-enhanced CT is a challenging task, and the intensity of the contrast becomes blurred and faint over time. Therefore, it is expected that many voxels with similar intensity to the contrast material will be encountered in noisy contrast-enhanced CT images depending on the image, and substantial manual work will be required to remove them, which may significantly impair reproducibility.    2D annotations: While this study obtained 2D annotations by performing forward-projection from 3D annotations, securing the quality of 2D annotations in this study might not be easy if 2D annotations were performed from the beginning. For instance, as shown in Fig. 2 (g), directly performing 2D annotation would make it difficult to accurately segment small, separated contrast voxels. If the 2D annotations are noisy, the reproducibility is likely to be compromised as well.	1	0	0	0	0	1. (none) statement	4. (-/+) comments	Didn't see the code or link contained in the submission, not sure how to comment on reproducibility.	0	0	1	0	0	1. (none) statement	2. (-) comments	Reproducible	Irreproducible	Irreproducible	2	0	1	0	0	1	Disagreement
002-Paper1655	3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer	the reproducibility of the paper is very good	0	0	0	0	0	3. (+) statement	1. (none) comments	There are only mean errors/IOU etc provided, without standard deviation, error distribution nor statistical tests. There is no code provided and no data. Hyperparameters for reproduction are provided. It is unclear how easy the additions to the TSGCNet can be re-implemented. Ablation study to examine the effect of different components is provided.	1	1	1	1	1	1. (none) statement	2. (-) comments	Firstly, the article will make the code publicly available after publication, but there is no mention of publicly available datasets. According to the article description, readers can easily implement the overall framework, and each module has reference articles. The author provides an introduction to the TSGCNet method for extracting C-domain and N-domain from input images, as well as how to fuse the information of these two domains, how to fuse features of different scale features, and the process of generating pseudo labels. The author also mentioned the loss function, GPU configuration, training epochs and other relevant information in the implementation details. But for some hyperparameter and details in the network, the author has not explained in the article (maybe it can be directly obtained from the code), such as the l, the way to maximize different cells, encoder parameters, etc.	1	1	1	1	0	1. (none) statement	2. (-) comments	Reproducible	Irreproducible	Irreproducible	2	2	2	2	1	1	Disagreement
003-Paper1307	3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching between 3D and 2D Networks	Methods are clearly presented. No concerns.	1	0	0	0	0	3. (+) statement	3. (+) comments	No code provided	0	0	1	0	0	1. (none) statement	2. (-) comments	Through Implementation Details.	0	0	0	0	0	1. (none) statement	1. (none) comments	Reproducible	Irreproducible	Unusable	1	0	1	0	0	1	Disagreement
004-Paper2386	3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers	seems ok	0	0	0	0	0	3. (+) statement	1. (none) comments	This paper is reproducible	0	0	0	0	0	3. (+) statement	1. (none) comments	The authors have used publicly available benchmark datasets for their experiments, which is a positive aspect for the reproducibility of the paper.	0	1	0	0	0	1. (none) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	0	1	0	0	0	3	Agreement
005-Paper2035	3D Teeth Reconstruction from Panoramic Radiographs using Neural Implicit Functions	The code is not provided.	0	0	1	0	0	1. (none) statement	2. (-) comments	Dataset is not available which limits the reproducibility of the paper.	0	1	0	0	0	1. (none) statement	2. (-) comments	I think the work could be reproduced given the dataset. Well it would better to release the segmentation model.	0	1	1	0	0	3. (+) statement	2. (-) comments	Irreproducible	Irreproducible	Reproducible	0	2	2	0	0	1	Disagreement
006-Paper1808	A Closed-form Solution to Electromagnetic Sensor Based Intraoperative Limb Length Measurement in Total Hip Arthroplasty	I don't think the results could be reproduced easily. The supplementary video makes things clearer but from the paper there is insufficient information on the data collection to be confident that an attempt to repeat the experiment would yield similar results. The key point is on page 6, para 2 "the surgeon slightly rotated the femur". This is an insufficient description and could not be replicated.   The authors haven't included any data or software implementation.	0	1	1	0	0	2. (-) statement 	2. (-) comments	The description of the method is enough to reproduce the results.	1	0	0	0	0	3. (+) statement	3. (+) comments	Despite code or data will not be shared, authors did report sufficient information to support the reproducibility of the paper.	0	1	1	0	0	3. (+) statement	2. (-) comments	Irreproducible	Reproducible	Reproducible	1	2	2	0	0	2	Disagreement
007-Paper0976	A Conditional Flow Variational Autoencoder for Controllable Synthesis of Virtual Populations of Anatomy	Information about model architecture and training procedures is provided.	1	0	0	1	0	1. (none) statement	3. (+) comments	The reproducibility criteria is well satisfied	0	0	0	0	0	3. (+) statement	1. (none) comments	Clear description of the data processing and training strategy.   Overall good reproducibility	1	0	0	1	0	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	2	0	0	2	0	3	Agreement
008-Paper3288	A coupled-mechanisms modelling framework for neurodegeneration	The data used in the study comes from a widely known public domain source (ADNI), which is good for reproducibility.  As mentioned above though, many critical details of the evaluation are unclear, thus reducing the ability to reproduce results from these descriptions alone.	0	1	0	1	0	1. (none) statement	4. (-/+) comments	Authors provided details of data processing and how the models were trained. I would assume, one could repeat the experiments by following the steps explained in the paper.	1	0	0	1	0	3. (+) statement	3. (+) comments	The description of the model and implementation is clear for reproducibility purposes.	1	0	0	0	0	1. (none) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	2	1	0	2	0	2	Disagreement
009-Paper1168	A denoised Mean Teacher for domain adaptive point cloud registration	This paper clearly presented technical details of the method and experiments. The code is made public, the dataset used in experiment is public available. The reproducibility is excellent.	1	1	1	1	0	3. (+) statement	3. (+) comments	The datasets used for evaluation are publicly available.  The authors provided the code and models in an anonymous GitHub repo. However, the details given in the paper regarding the use of the different datasets are confusing to me and I do not feel able to exactly reproduce the training phase.  For the evaluation, the authors provided a clear description of metrics and tendency. Statistical significance was stated when needed.  The average runtime in the testing phase was provided. However, it is important to know the runtime in the training phase and the memory footprint. These magnitudes are not provided.  The clinical significance of the method can be inferred from the introduction. However, the proposed method needs further validation in more different datasets for considering moving to clinical application.	0	1	1	1	1	2. (-) statement 	4. (-/+) comments	Reproducibility is feasible.	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	1	2	2	2	1	2	Disagreement
