stat;kappa score;kappa score;ci low;ci low;ci high;ci high;se;se;kappa score;kappa score
method;bootstrap;cohen;bootstrap;cohen;bootstrap;cohen;bootstrap;cohen;sklearn;fleiss
Models and algorithms;0.7537806095541878;0.7544080604534007;0.65504540228813;0.6646658965150242;0.8373294097190035;0.8441502243917772;0.04581259717752674;0.04578681833590641;0.7544080604534005;0.7537878787878788
Datasets;0.9071459215294219;0.9085872576177285;0.8497338097246725;0.8556776590235549;0.9594959495949595;0.9614968562119022;0.02828709532725616;0.02699469316029271;0.9085872576177285;0.9085858508133396
Code;0.9109151257568562;0.9107142857142856;0.8585820789259978;0.8613315214396178;0.9554973174197727;0.9600970499889534;0.024856799073305656;0.025195287895238696;0.9107142857142857;0.9107142857142858
Experimental results;0.8625167220596457;0.8637248539909151;0.785722023195438;0.7942149305601358;0.926379084051215;0.9332347774216945;0.036315481949293994;0.03546424664835681;0.863724853990915;0.8637248539909151
Error bars or statistical significance;;1.0;;1.0;;1.0;;0.0;1.0;1.0
Code is or will be available;0.8653728367834052;0.8688536840532057;0.788583222461067;0.7992991941337704;0.9266614653050854;0.9384081739726411;0.035528959354863644;0.03548698465277313;0.8667982239763197;0.8667956964763477
Statement;0.736191726903018;0.736981934112646;0.6645371264887252;0.6658789790629617;0.803950691359005;0.8080848891623303;0.03559664468025091;0.036277017882491984;0.7369819341126461;0.7368217011331288
Comments;0.8160982737822282;0.8155936590100292;0.7570560336305149;0.7612433229181231;0.8678475911185444;0.8699439951019353;0.027441856394046813;0.027729763312196995;0.8155936590100291;0.8155787430235379
Meta-categories;0.8014665400976908;0.8014027898179528;0.7290894593070382;0.7317600256871027;0.8665846299131157;0.8710455539488028;0.034112969043094084;0.0355320225157398;0.8014027898179525;0.8013845284852942
Agreement;0.6285343283477041;0.63302752293578;0.442378320211491;0.46997625567509826;0.7693672037422036;0.7960787901964618;0.0811483818624605;0.08318942207177639;0.6330275229357798;0.6321369268105761
Repo provided;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
