category		contribution	contribution	contribution	contribution	detailed	detailed	detailed	detailed	justifictation	justifictation	justifictation	justifictation	repro	repro	repro	repro	strenghts	strenghts	strenghts	strenghts	total	total	total	weakness	weakness	weakness	weakness
review		all reviews	review 1	review 2	review 3	all reviews	review 1	review 2	review 3	all reviews	review 1	review 2	review 3	all reviews	review 1	review 2	review 3	all reviews	review 1	review 2	review 3	review 1	review 2	review 3	all reviews	review 1	review 2	review 3
id	title																											
001-Paper1347	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	134.0	52	13	69	120.0	13	94	13	94.0	34	6	54	27.0	4	4	19	112.0	36	31	45	180.0	174.0	307.0	174.0	41	26	107
002-Paper1233	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	129.0	20	40	69	128.0	20	36	72	18.0	7	2	9	35.0	15	14	6	42.0	24	10	8	118.0	115.0	198.0	79.0	32	13	34
003-Paper1512	4D-OR: Semantic Scene Graphs for OR Domain Modeling	243.0	40	147	56	431.0	3	307	121	116.0	26	64	26	81.0	47	25	9	312.0	55	222	35	253.0	1044.0	297.0	411.0	82	279	50
004-Paper2655	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	262.0	103	139	20	529.0	14	473	42	67.0	3	42	22	96.0	1	66	29	144.0	37	63	44	164.0	813.0	172.0	51.0	6	30	15
005-Paper1525	A Deep-Discrete Learning Framework for Spherical Surface Registration	138.0	22	72	44	561.0	375	103	83	40.0	5	18	17	44.0	5	1	38	218.0	70	82	66	506.0	396.0	251.0	152.0	29	120	3
006-Paper1155	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	106.0	22	55	29	337.0	41	154	142	77.0	9	48	20	80.0	24	35	21	186.0	56	98	32	276.0	634.0	255.0	379.0	124	244	11
007-Paper1247	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	213.0	23	76	114	478.0	42	60	376	85.0	18	24	43	84.0	6	59	19	155.0	83	35	37	197.0	278.0	779.0	239.0	25	24	190
008-Paper0063	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	143.0	24	39	80	220.0	35	136	49	103.0	28	36	39	42.0	27	10	5	166.0	41	83	42	312.0	410.0	263.0	311.0	157	106	48
009-Paper1374	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	194.0	87	55	52	183.0	71	28	84	123.0	30	39	54	63.0	18	24	21	198.0	75	40	83	437.0	282.0	325.0	283.0	156	96	31
010-Paper1785	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	206.0	39	101	66	156.0	29	88	39	162.0	44	85	33	39.0	7	28	4	191.0	24	110	57	360.0	527.0	279.0	412.0	217	115	80
011-Paper1016	A New Dataset and A Baseline Model for Breast Lesion Detection in Ultrasound Videos	186.0	39	80	67	499.0	218	52	229	67.0	22	23	22	53.0	1	39	13	84.0	29	43	12	329.0	261.0	363.0	64.0	20	24	20
012-Paper0202	A Novel Deep Learning System for Breast Lesion Risk Stratification in Ultrasound Images	244.0	103	85	56	358.0	243	52	63	99.0	24	41	34	78.0	50	8	20	115.0	37	22	56	557.0	336.0	378.0	377.0	100	128	149
013-Paper0975	A Novel Fusion Network for Morphological Analysis of Common Iliac Artery	115.0	48	29	38	258.0	118	79	61	82.0	32	28	22	45.0	8	24	13	108.0	34	25	49	302.0	211.0	210.0	115.0	62	26	27
014-Paper1405	A Novel Knowledge Keeper Network for 7T-Free But 7T-Guided Brain Tissue Segmentation	89.0	36	23	30	177.0	22	38	117	23.0	5	11	7	17.0	5	5	7	66.0	7	19	40	166.0	203.0	318.0	315.0	91	107	117
015-Paper1881	A Penalty Approach for Normalizing Feature Distributions to Build Confounder-Free Models	119.0	18	37	64	487.0	412	74	1	88.0	22	25	41	31.0	14	5	12	114.0	42	24	48	648.0	272.0	300.0	381.0	140	107	134
016-Paper2636	A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects	118.0	14	34	70	160.0	39	102	19	66.0	12	12	42	46.0	14	8	24	93.0	31	33	29	131.0	223.0	232.0	103.0	21	34	48
017-Paper0545	A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation	151.0	84	27	40	165.0	88	23	54	75.0	52	3	20	24.0	7	5	12	198.0	76	85	37	451.0	241.0	239.0	318.0	144	98	76
018-Paper0114	A Self-Guided Framework for Radiology Report Generation	137.0	39	70	28	452.0	54	279	119	57.0	19	10	28	60.0	21	10	29	114.0	39	32	43	202.0	714.0	268.0	364.0	30	313	21
019-Paper0199	A Sense of Direction in Biomedical Neural Networks	276.0	122	80	74	841.0	493	190	158	123.0	26	45	52	75.0	12	32	31	152.0	23	28	101	697.0	423.0	616.0	269.0	21	48	200
020-Paper0395	A Spatiotemporal Model for Precise and Efficient Fully-automatic 3D Motion Correction in OCT	141.0	87	20	34	317.0	257	7	53	119.0	75	11	33	116.0	88	15	13	148.0	90	35	23	727.0	185.0	172.0	243.0	130	97	16
021-Paper0893	A Transformer-Based Iterative Reconstruction Model for Sparse-View CT Reconstruction	110.0	56	27	27	316.0	173	30	113	116.0	39	22	55	36.0	18	16	2	84.0	23	36	25	445.0	170.0	289.0	242.0	136	39	67
022-Paper0036	AANet: Artery-Aware Network for Pulmonary Embolism Detection in CTPA Images	142.0	55	63	24	205.0	1	170	34	81.0	5	39	37	44.0	7	18	19	109.0	34	43	32	193.0	503.0	265.0	380.0	91	170	119
023-Paper2394	Accelerated pseudo 3D dynamic speech MR imaging at 3T using unsupervised deep variational manifold learning	107.0	33	43	31	235.0	63	62	110	51.0	27	18	6	39.0	6	15	18	127.0	45	30	52	307.0	195.0	282.0	225.0	133	27	65
024-Paper2344	Accurate and Explainable Image-based Prediction Using a Lightweight Generative Model	212.0	39	46	127	427.0	52	5	370	227.0	39	40	148	84.0	31	31	22	219.0	47	81	91	242.0	471.0	1091.0	635.0	34	268	333
025-Paper0249	Accurate and Robust Lesion RECIST Diameter Prediction and Segmentation with Transformers	268.0	134	87	47	1486.0	181	1075	230	175.0	35	109	31	245.0	42	202	1	101.0	31	51	19	464.0	1759.0	379.0	327.0	41	235	51
026-Paper1270	Accurate Corresponding Fiber Tract Segmentation via FiberGeoMap Learner	187.0	71	18	98	942.0	263	179	500	66.0	8	11	47	14.0	1	1	12	159.0	68	11	80	439.0	379.0	744.0	194.0	28	159	7
027-Paper0159	ACT: Semi-supervised Domain-adaptive Medical Image Segmentation with Asymmetric Co-Training	228.0	37	122	69	179.0	24	109	46	120.0	18	53	49	41.0	3	24	14	166.0	42	56	68	197.0	615.0	434.0	512.0	73	251	188
028-Paper2509	Adaptation of Surgical Activity Recognition Models Across Operating Rooms	213.0	11	156	46	190.0	41	127	22	182.0	131	35	16	66.0	10	23	33	55.0	17	26	12	230.0	390.0	190.0	104.0	20	23	61
029-Paper2006	Adapting the Mean Teacher for keypoint-based lung registration under geometric domain shifts	123.0	58	43	22	173.0	50	51	72	64.0	15	17	32	27.0	6	10	11	127.0	28	47	52	567.0	266.0	202.0	521.0	410	98	13
030-Paper0272	Adaptive 3D Localization of 2D Freehand Ultrasound Brain Images	93.0	21	42	30	329.0	176	72	81	82.0	16	22	44	26.0	1	4	21	147.0	18	49	80	244.0	294.0	459.0	320.0	12	105	203
031-Paper2848	AdaTriplet: Adaptive Gradient Triplet Loss with Automatic Margin Learning for Forensic Medical Image Matching	173.0	56	36	81	180.0	74	34	72	119.0	18	17	84	34.0	5	8	21	132.0	43	54	35	230.0	223.0	643.0	458.0	34	74	350
032-Paper1371	Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI	138.0	67	16	55	253.0	66	92	95	139.0	39	81	19	37.0	12	12	13	122.0	40	34	48	373.0	267.0	257.0	208.0	149	32	27
033-Paper0332	Adversarial Consistency for Single Domain Generalization in Medical Image Segmentation	164.0	55	51	58	236.0	88	120	28	57.0	19	28	10	61.0	37	16	8	128.0	60	11	57	293.0	472.0	230.0	349.0	34	246	69
034-Paper1829	Adversarially Robust Prototypical Few-shot Segmentation with Neural-ODEs	132.0	18	57	57	87.0	32	17	38	42.0	4	6	32	37.0	9	8	20	127.0	29	60	38	555.0	209.0	285.0	624.0	463	61	100
035-Paper1248	Agent with Tangent-based Formulation and Anatomical Perception for Standard Plane Localization in 3D Ultrasound	178.0	81	60	37	285.0	121	118	46	162.0	8	115	39	73.0	33	28	12	200.0	72	69	59	501.0	457.0	355.0	415.0	186	67	162
036-Paper1552	Aggregative Self-Supervised Feature Learning from Limited Medical Images	211.0	80	55	76	431.0	162	141	128	164.0	21	57	86	47.0	19	14	14	132.0	31	53	48	323.0	443.0	382.0	163.0	10	123	30
037-Paper1305	An Accurate Unsupervised Liver Lesion Detection Method Using Pseudo-Lesions	279.0	82	145	52	361.0	140	129	92	97.0	38	18	41	76.0	31	17	28	148.0	46	44	58	480.0	574.0	320.0	413.0	143	221	49
038-Paper1415	An adaptive network with extragradient for diffusion MRI-based microstructure estimation	137.0	35	66	36	439.0	106	247	86	74.0	25	18	31	68.0	4	41	23	118.0	34	42	42	217.0	476.0	293.0	150.0	13	62	75
039-Paper2756	An Advanced Deep Learning Framework for Video-based Diagnosis of ASD	157.0	30	50	77	195.0	20	146	29	89.0	36	14	39	31.0	9	1	21	68.0	9	25	34	152.0	270.0	354.0	236.0	48	34	154
040-Paper0031	An End-to-End Combinatorial Optimization Method for R-band Chromosome Recognition with Grouping Guided Attention	189.0	62	91	36	129.0	28	19	82	125.0	61	26	38	225.0	23	6	196	202.0	45	50	107	275.0	341.0	950.0	696.0	56	149	491
041-Paper0049	An Inclusive Task-Aware Framework for Radiology Report Generation	222.0	42	134	46	239.0	133	79	27	61.0	18	41	2	10.0	4	5	1	237.0	47	161	29	377.0	570.0	117.0	295.0	133	150	12
042-Paper1549	An Optimal Control Problem for Elastic Registration and Force Estimation in Augmented Surgery	210.0	68	106	36	358.0	99	212	47	142.0	88	39	15	39.0	14	18	7	125.0	60	52	13	555.0	505.0	160.0	346.0	226	78	42
043-Paper1625	Analyzing and Improving Low Dose CT Denoising Network via HU Level Slicing	166.0	28	85	53	192.0	37	61	94	149.0	29	81	39	76.0	1	35	40	125.0	33	36	56	161.0	342.0	357.0	152.0	33	44	75
044-Paper1703	Analyzing Brain Structural Connectivity as Continuous Random Functions	110.0	37	62	11	389.0	249	100	40	44.0	15	5	24	61.0	7	42	12	167.0	67	71	29	411.0	298.0	552.0	490.0	36	18	436
045-Paper1726	Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays	226.0	74	100	52	56.0	6	2	48	85.0	25	26	34	18.0	3	8	7	103.0	32	39	32	201.0	391.0	208.0	312.0	61	216	35
046-Paper2430	Anomaly-aware multiple instance learning for rare anemia disorder classification	119.0	46	25	48	194.0	107	31	56	32.0	7	2	23	56.0	25	9	22	166.0	22	51	93	291.0	195.0	403.0	322.0	84	77	161
047-Paper1683	Assessing the Performance of Automated Prediction and Ranking of Patient Age from Chest X-rays Against Clinicians	263.0	109	76	78	350.0	5	211	134	208.0	26	58	124	29.0	6	21	2	153.0	62	51	40	395.0	444.0	456.0	292.0	187	27	78
048-Paper1796	Asymmetry Disentanglement Network for Interpretable Acute Ischemic Stroke Infarct Segmentation in Non-Contrast CT Scans	198.0	144	28	26	732.0	484	173	75	74.0	20	14	40	97.0	81	2	14	350.0	263	19	68	1421.0	470.0	270.0	710.0	429	234	47
049-Paper2434	Atlas-based Semantic Segmentation of Prostate Zones	124.0	34	24	66	287.0	32	23	232	95.0	57	12	26	42.0	7	11	24	87.0	33	23	31	371.0	120.0	545.0	401.0	208	27	166
050-Paper0345	Atlas-powered deep learning (ADL) - application to diffusion weighted MRI	135.0	34	30	71	700.0	22	154	524	89.0	13	26	50	104.0	45	3	56	122.0	20	36	66	143.0	318.0	827.0	138.0	9	69	60
051-Paper1798	Attention mechanisms for physiological signal deep learning: which attention should we take?	116.0	69	5	42	525.0	166	148	211	116.0	77	18	21	86.0	62	3	21	227.0	201	8	18	896.0	187.0	338.0	351.0	321	5	25
052-Paper2482	Attentional Generative Multimodal Network for Neonatal Postoperative Pain Estimation	204.0	37	90	77	240.0	55	86	99	125.0	37	51	37	42.0	20	17	5	101.0	38	29	34	213.0	324.0	324.0	149.0	26	51	72
