category		contribution	contribution	contribution	detailed	detailed	detailed	justifictation	justifictation	justifictation	reproducibility	reproducibility	reproducibility	strenghts	strenghts	strenghts	total	total	total	weakness	weakness	weakness
review		review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3
id	title																					
001-Paper1347	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	52	13	69.0	13	94	13.0	34	6	54.0	4	4	19.0	36	31	45.0	180.0	174.0	307.0	41	26	107.0
002-Paper1233	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	20	40	69.0	20	36	72.0	7	2	9.0	15	14	6.0	24	10	8.0	118.0	115.0	198.0	32	13	34.0
003-Paper1512	4D-OR: Semantic Scene Graphs for OR Domain Modeling	40	147	56.0	3	307	121.0	26	64	26.0	47	25	9.0	55	222	35.0	253.0	1044.0	297.0	82	279	50.0
004-Paper2655	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	103	139	20.0	14	473	42.0	3	42	22.0	1	66	29.0	37	63	44.0	164.0	813.0	172.0	6	30	15.0
005-Paper1525	A Deep-Discrete Learning Framework for Spherical Surface Registration	22	72	44.0	375	103	83.0	5	18	17.0	5	1	38.0	70	82	66.0	506.0	396.0	251.0	29	120	3.0
006-Paper1155	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	22	55	29.0	41	154	142.0	9	48	20.0	24	35	21.0	56	98	32.0	276.0	634.0	255.0	124	244	11.0
007-Paper1247	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	23	76	114.0	42	60	376.0	18	24	43.0	6	59	19.0	83	35	37.0	197.0	278.0	779.0	25	24	190.0
008-Paper0063	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	24	39	80.0	35	136	49.0	28	36	39.0	27	10	5.0	41	83	42.0	312.0	410.0	263.0	157	106	48.0
009-Paper1374	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	87	55	52.0	71	28	84.0	30	39	54.0	18	24	21.0	75	40	83.0	437.0	282.0	325.0	156	96	31.0
010-Paper1785	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	39	101	66.0	29	88	39.0	44	85	33.0	7	28	4.0	24	110	57.0	360.0	527.0	279.0	217	115	80.0
