id	title	repro	review 1	review 3	review 2
001-Paper1347	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction				
002-Paper1233	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI				
003-Paper1512	4D-OR: Semantic Scene Graphs for OR Domain Modeling				
004-Paper2655	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000				
005-Paper1525	A Deep-Discrete Learning Framework for Spherical Surface Registration				
006-Paper1155	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation				
007-Paper1247	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation				
008-Paper0063	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis				
009-Paper1374	A Medical Semantic-Assisted Transformer for Radiographic Report Generation				
010-Paper1785	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images				
011-Paper1016	A New Dataset and A Baseline Model for Breast Lesion Detection in Ultrasound Videos				
012-Paper0202	A Novel Deep Learning System for Breast Lesion Risk Stratification in Ultrasound Images				
013-Paper0975	A Novel Fusion Network for Morphological Analysis of Common Iliac Artery				
014-Paper1405	A Novel Knowledge Keeper Network for 7T-Free But 7T-Guided Brain Tissue Segmentation	based on the checklist, yes.	based on the checklist, yes.		
015-Paper1881	A Penalty Approach for Normalizing Feature Distributions to Build Confounder-Free Models	The code and data can be released according to the reproducibility checklist.		The code and data can be released according to the reproducibility checklist.	
016-Paper2636	A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects				
017-Paper0545	A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation				
018-Paper0114	A Self-Guided Framework for Radiology Report Generation				
019-Paper0199	A Sense of Direction in Biomedical Neural Networks				
020-Paper0395	A Spatiotemporal Model for Precise and Efficient Fully-automatic 3D Motion Correction in OCT				
021-Paper0893	A Transformer-Based Iterative Reconstruction Model for Sparse-View CT Reconstruction				
022-Paper0036	AANet: Artery-Aware Network for Pulmonary Embolism Detection in CTPA Images				
023-Paper2394	Accelerated pseudo 3D dynamic speech MR imaging at 3T using unsupervised deep variational manifold learning				
024-Paper2344	Accurate and Explainable Image-based Prediction Using a Lightweight Generative Model				
025-Paper0249	Accurate and Robust Lesion RECIST Diameter Prediction and Segmentation with Transformers				
026-Paper1270	Accurate Corresponding Fiber Tract Segmentation via FiberGeoMap Learner				
027-Paper0159	ACT: Semi-supervised Domain-adaptive Medical Image Segmentation with Asymmetric Co-Training				
028-Paper2509	Adaptation of Surgical Activity Recognition Models Across Operating Rooms				
029-Paper2006	Adapting the Mean Teacher for keypoint-based lung registration under geometric domain shifts				
030-Paper0272	Adaptive 3D Localization of 2D Freehand Ultrasound Brain Images				
031-Paper2848	AdaTriplet: Adaptive Gradient Triplet Loss with Automatic Margin Learning for Forensic Medical Image Matching				
032-Paper1371	Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI				
033-Paper0332	Adversarial Consistency for Single Domain Generalization in Medical Image Segmentation				
034-Paper1829	Adversarially Robust Prototypical Few-shot Segmentation with Neural-ODEs				
035-Paper1248	Agent with Tangent-based Formulation and Anatomical Perception for Standard Plane Localization in 3D Ultrasound				
036-Paper1552	Aggregative Self-Supervised Feature Learning from Limited Medical Images				
037-Paper1305	An Accurate Unsupervised Liver Lesion Detection Method Using Pseudo-Lesions				
038-Paper1415	An adaptive network with extragradient for diffusion MRI-based microstructure estimation				
039-Paper2756	An Advanced Deep Learning Framework for Video-based Diagnosis of ASD				
040-Paper0031	An End-to-End Combinatorial Optimization Method for R-band Chromosome Recognition with Grouping Guided Attention				
041-Paper0049	An Inclusive Task-Aware Framework for Radiology Report Generation				
042-Paper1549	An Optimal Control Problem for Elastic Registration and Force Estimation in Augmented Surgery				
043-Paper1625	Analyzing and Improving Low Dose CT Denoising Network via HU Level Slicing				
044-Paper1703	Analyzing Brain Structural Connectivity as Continuous Random Functions				
045-Paper1726	Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays				
046-Paper2430	Anomaly-aware multiple instance learning for rare anemia disorder classification				
047-Paper1683	Assessing the Performance of Automated Prediction and Ranking of Patient Age from Chest X-rays Against Clinicians				
048-Paper1796	Asymmetry Disentanglement Network for Interpretable Acute Ischemic Stroke Infarct Segmentation in Non-Contrast CT Scans				
049-Paper2434	Atlas-based Semantic Segmentation of Prostate Zones				
050-Paper0345	Atlas-powered deep learning (ADL) - application to diffusion weighted MRI	Although the architecture is simple (U-Net), the full method is rather complex. Without the code, it seems unlikely one can reproduce the experiments. Although the authors mentioned in the reproducibility checklist that the code was made available, they did not mention it in the paper.	Although the architecture is simple (U-Net), the full method is rather complex. Without the code, it seems unlikely one can reproduce the experiments. Although the authors mentioned in the reproducibility checklist that the code was made available, they did not mention it in the paper.		
051-Paper1798	Attention mechanisms for physiological signal deep learning: which attention should we take?				
052-Paper2482	Attentional Generative Multimodal Network for Neonatal Postoperative Pain Estimation				
053-Paper1971	Attention-enhanced Disentangled Representation Learning for Unsupervised Domain Adaptation in Cardiac Segmentation				
054-Paper0676	Attentive Symmetric Autoencoder for Brain MRI Segmentation				
055-Paper0121	Autofocusing+: Noise-Resilient Motion Correction in Magnetic Resonance Imaging				
056-Paper0386	AutoGAN-Synthesizer: Neural Architecture Search for Cross-Modality MRI Synthesis				
057-Paper1988	AutoLaparo: A New Dataset of Integrated Multi-tasks for Image-guided Surgical Automation in Laparoscopic Hysterectomy				
058-Paper1919	Automated Classification of General Movements in Infants Using Two-stream Spatiotemporal Fusion Network				
059-Paper2247	Automatic Detection of Steatosis in Ultrasound Images with Comparative Visual Labeling				
060-Paper1361	Automatic identification of segmentation errors for radiotherapy using geometric learning				
