category		clarity	clarity	clarity	rate	rate	rate	confidence	confidence	confidence	rate rebuttal	rate rebuttal	rate rebuttal
review		review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3
id	title												
001-Paper1347	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	Satisfactory	Satisfactory	Very Good	6	3	5	Confident but not absolutely certain	Very confident	Very confident	Not Answered	4	5
002-Paper1233	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	Very Good	Satisfactory	Very Good	6	4	4	Confident but not absolutely certain	Very confident	Very confident	Not Answered	3	Not Answered
003-Paper1512	4D-OR: Semantic Scene Graphs for OR Domain Modeling	Excellent	Very Good	Very Good	6	4	6	Confident but not absolutely certain	Very confident	Very confident	Not Answered	5	5
004-Paper2655	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	Very Good	Good	Very Good	7	7	6	Very confident	Very confident	Very confident	N/A	N/A	N/A
005-Paper1525	A Deep-Discrete Learning Framework for Spherical Surface Registration	Good	Very Good	Very Good	4	6	7	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
006-Paper1155	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	Very Good	Satisfactory	Very Good	6	4	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
007-Paper1247	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	Excellent	Good	Satisfactory	7	5	4	Confident but not absolutely certain	Somewhat Confident	Confident but not absolutely certain	Not Answered	Not Answered	4
008-Paper0063	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	Satisfactory	Very Good	Good	5	6	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
009-Paper1374	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	Good	Good	Good	5	5	5	Confident but not absolutely certain	Very confident	Somewhat Confident	6	Not Answered	Not Answered
010-Paper1785	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	Good	Good	Satisfactory	4	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	5	5	Not Answered
