category		contribution	contribution	contribution	strengths	strengths	strengths	weakness	weakness	weakness	reproducibility	reproducibility	reproducibility	detailed	detailed	detailed	justification	justification	justification
review		review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3
id	title																		
001-Paper0829	3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images	130	140	57	90	102	14	118	159	90	12	161	17	154	174	38	79	52	28
002-Paper1655	3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer	43	51	110	44	39	265	33	71	235	8	52	140	19	169	279	48	76	136
003-Paper1307	3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching between 3D and 2D Networks	64	79	59	249	11	81	66	49	33	6	3	3	66	49	4	53	4	43
004-Paper2386	3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers	54	74	82	13	7	50	40	35	114	2	4	22	300	338	148	12	10	124
005-Paper2035	3D Teeth Reconstruction from Panoramic Radiographs using Neural Implicit Functions	32	55	15	40	122	17	14	188	275	5	11	19	101	79	16	29	17	18
006-Paper1808	A Closed-form Solution to Electromagnetic Sensor Based Intraoperative Limb Length Measurement in Total Hip Arthroplasty	63	20	76	65	49	54	221	60	23	75	11	20	221	246	31	27	13	23
007-Paper0976	A Conditional Flow Variational Autoencoder for Controllable Synthesis of Virtual Populations of Anatomy	33	30	96	19	27	39	39	74	81	9	6	12	209	2	54	28	6	27
008-Paper3288	A coupled-mechanisms modelling framework for neurodegeneration	108	129	142	106	34	63	299	75	172	43	28	12	3	6	74	24	20	55
009-Paper1168	A denoised Mean Teacher for domain adaptive point cloud registration	70	159	46	118	36	18	58	27	1	28	128	3	12	671	23	66	55	27
010-Paper1779	A flexible framework for simulating and evaluating biases in deep learning-based medical image analysis	40	32	55	70	82	41	84	336	100	5	18	16	425	180	167	65	75	30
011-Paper0286	A General Stitching Solution for Whole-Brain 3D Nuclei Instance Segmentation from Microscopy Images	62	27	36	43	16	30	10	7	38	5	4	4	193	224	57	58	12	61
012-Paper1873	A Model-Agnostic Framework for Universal Anomaly Detection of Multi-Organ and Multi-Modal Images	150	39	58	49	90	70	102	52	87	37	19	9	67	136	6	7	26	30
013-Paper1912	A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images	31	78	81	34	36	37	23	68	398	34	15	19	174	81	58	34	25	57
014-Paper0643	A Motion Transformer for Single Particle Tracking in Fluorescence Microscopy Images	59	39	108	86	31	58	457	30	172	12	28	1	66	27	72	13	18	43
015-Paper2184	A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics	46	145	81	33	29	27	44	241	16	1	40	2	347	58	152	17	40	4
016-Paper1115	A Multi-Task Method for Immunofixation Electrophoresis Image Classification	63	31	73	45	13	53	20	38	41	15	19	31	72	98	221	9	52	32
017-Paper2273	A Multi-Task Network for Anatomy Identification in Endoscopic Pituitary Surgery	16	73	138	20	97	32	17	68	73	19	40	22	142	148	300	50	31	71
018-Paper1457	A Novel Multi-Task Model Imitating Dermatologists for Accurate Differential Diagnosis of Skin Diseases in Clinical Images	47	27	45	48	39	40	27	22	73	26	18	5	63	22	18	38	31	38
019-Paper0813	A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation	56	85	18	78	55	12	69	16	39	14	1	14	303	211	179	21	14	9
020-Paper2659	A One-class Variational Autoencoder (OCVAE) cascade for classifying atypical bone marrow cell sub-types	89	43	55	91	33	63	159	44	98	48	16	15	170	127	112	7	11	108
021-Paper2349	A Patient-Specific Self-supervised Model for Automatic X-ray/CT Registration	50	142	52	78	57	76	309	160	50	22	15	28	65	210	35	60	18	89
022-Paper3224	A Privacy-Preserving Walk in the Latent Space of Generative Models for Medical Applications	44	46	42	86	69	52	3	138	128	7	13	22	28	37	38	36	13	34
023-Paper0753	A Reliable and Interpretable Framework of Multi-view Learning for Liver Fibrosis Staging	74	55	62	31	43	72	38	14	26	15	3	7	54	124	45	24	70	11
024-Paper1104	A Semantic-guided and Knowledge-based Generative Framework for Orthodontic Visual Outcome Preview	33	37	59	22	49	94	27	84	169	17	11	14	34	72	161	3	22	77
025-Paper1008	A Sheaf Theoretic Perspective for Robust Prostate Segmentation	73	53	66	26	54	99	54	83	206	5	20	27	1	374	65	7	28	50
026-Paper2327	A Small-Sample Method with EEG Signals Based on Abductive Learning for Motor Imagery Decoding	35	31	95	15	32	79	61	13	45	7	12	11	9	38	52	61	17	12
027-Paper1755	A Spatial-Temporal Deformable Attention based Framework for Breast Lesion Detection in Videos	35	37	30	42	18	38	27	41	38	15	12	28	86	231	108	13	94	39
028-Paper2027	A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference	105	56	144	39	160	39	99	107	242	70	8	38	10	73	221	1	42	83
029-Paper0501	A Style Transfer-based Augmentation Framework for Improving Segmentation and Classification Performance across Different Sources in Ultrasound Images	40	84	14	42	181	13	146	201	36	191	60	13	64	231	26	46	1	12
030-Paper3722	A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging	30	43	46	52	35	48	5	121	29	37	12	10	26	2	60	23	28	18
031-Paper1001	A Transfer Learning Approach to Localise a Deep Brain Stimulation Target	50	81	45	111	30	40	106	55	109	24	29	22	43	205	5	21	43	19
032-Paper1827	A Unified Deep-Learning-Based Framework for Cochlear Implant Electrode Array Localization	20	32	92	32	60	95	293	252	6	10	3	27	149	2	199	15	20	47
033-Paper2320	A Video-based End-to-end Pipeline for Non-nutritive Sucking Action Recognition and Segmentation in Young Infants	40	62	17	47	12	59	110	85	47	17	49	23	415	34	46	71	74	26
034-Paper2791	A2FSeg: Adaptive Multi-Modal Fusion Network for Medical Image Segmentation	53	40	92	32	20	24	72	103	261	3	14	2	31	103	4	29	23	4
035-Paper2655	ACC-UNet: A Completely Convolutional UNet model for the 2020s	19	23	105	26	41	94	72	21	60	11	27	54	65	49	144	18	34	39
036-Paper2373	Accurate and Robust Patient Height and Weight Estimation in Clinical Imaging using a Depth Camera	24	128	39	31	98	25	200	51	64	13	44	14	5	332	150	36	48	25
037-Paper1541	Accurate multi-contrast MRI super-resolution via a dual cross-attention transformer network	69	88	28	64	31	55	103	49	46	7	48	61	135	100	100	42	37	53
038-Paper0867	ACTION++: Improving Semi-supervised Medical Image Segmentation with Adaptive Anatomical Contrast	82	37	78	94	50	45	380	35	15	20	6	7	133	15	11	26	9	45
039-Paper1160	ACT-Net: Anchor-context Action Detection in Surgery Videos	75	32	72	66	58	83	66	150	91	23	20	9	149	85	104	43	26	51
040-Paper2061	Acute Ischemic Stroke Onset Time Classification with Dynamic Convolution and Perfusion Maps Fusion	50	117	43	55	159	133	154	135	232	44	36	44	45	758	346	60	75	17
041-Paper1499	Adapter Learning in Pretrained Feature Extractor for Continual Learning of Diseases	59	105	34	23	76	38	140	137	55	15	4	30	63	200	72	5	37	3
042-Paper2125	Adaptive Multi-scale Online Likelihood Network for AI-assisted Interactive Segmentation	111	83	124	82	36	229	49	27	259	14	19	32	205	20	356	64	43	141
043-Paper1681	Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation	33	42	47	71	26	70	176	117	99	16	43	32	176	4	121	6	83	75
044-Paper1894	Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs	43	49	114	45	36	62	35	41	199	19	13	12	34	97	5	11	8	8
045-Paper0722	Additional Positive Enables Better Representation Learning for Medical Images	59	34	75	47	13	59	54	10	162	12	13	47	95	542	153	34	5	45
046-Paper1865	Adjustable Robust Transformer for High Myopia Screening in Optical Coherence Tomography	60	21	37	95	44	14	145	48	90	7	4	11	79	5	113	51	8	21
047-Paper0340	Adult-like Phase and Multi-scale Assistance for Isointense Infant Brain Tissue Segmentation	64	85	110	27	42	49	194	109	133	8	18	29	57	41	260	8	21	59
048-Paper1475	AirwayFormer: Structure-Aware Boundary-Adaptive Transformers for Airway Anatomical Labeling	77	144	55	126	52	16	28	77	48	9	33	19	80	611	49	23	16	36
049-Paper0690	Alias-Free Co-Modulated Network for Cross-Modality Synthesis and Super-Resolution of MR Images	44	61	117	41	28	30	24	53	103	5	5	20	86	4	72	5	78	31
050-Paper2820	ALL-IN: A Local GLobal Graph-based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment	45	50	43	45	78	63	61	206	37	23	19	1	35	59	228	10	12	31
051-Paper1205	AMAE: Adaptation of Pre-Trained Masked Autoencoder for Dual-Distribution Anomaly Detection in Chest X-Rays	29	48	49	52	24	2	57	132	185	36	28	3	28	3	52	55	3	5
052-Paper0989	AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor	66	54	16	40	133	31	64	124	18	10	27	4	244	84	34	16	33	13
053-Paper2596	An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment	38	40	12	18	74	3	17	336	5	2	10	22	89	179	44	29	121	6
054-Paper1278	An Anti-Biased TBSRTC-Category Aware Nuclei Segmentation Framework with A Multi-Label Thyroid Cytology Benchmark	59	66	44	116	24	17	77	42	123	17	9	23	46	44	15	59	14	26
055-Paper2173	An Auto-Encoder to Reconstruct Structure with Cryo-EM Images via Theoretically Guaranteed Isometric Latent Space, and its Application for Automatically Computing the Conformational Pathway	37	147	12	32	71	30	17	165	400	3	4	3	17	181	9	14	49	48
056-Paper2970	An automated pipeline for quantitative T2* fetal body MRI and segmentation at low field	90	87	16	24	83	46	39	134	96	75	10	7	23	125	107	39	14	6
057-Paper0599	An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis	66	57	67	136	102	80	398	155	216	23	27	7	417	52	191	97	14	22
058-Paper3214	An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment	74	42	110	40	35	219	89	80	57	11	10	3	327	2	142	33	17	35
059-Paper3355	An Interpretable and Attention-based Method for Gaze Estimation Using Electroencephalography	30	19	83	9	30	46	11	12	165	29	17	11	22	3	205	24	20	23
060-Paper1858	An Unsupervised Multispectral Image Registration Network for Skin Diseases	136	57	32	37	159	34	9	49	63	43	26	13	115	33	432	65	34	52
061-Paper2566	Analysis of Suture Force Simulations for Optimal Orientation of Rhomboid Skin Flaps	56	40	18	69	39	22	207	74	50	28	7	99	68	166	114	69	8	161
062-Paper2830	Anatomical Landmark Detection Using a Multiresolution Learning Approach with a Hybrid Transformer-CNN Model	54	63	25	62	59	5	211	182	5	35	30	1	218	69	100	50	62	4
