id	title	category	review 1	review 2	review 3
030-Paper3722	A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging	reproducibility	The results are based on the analysis of a local dataset using the proposed method, which is not public. No information was provided in the reproducibility checklist. it is difficult to access the reproducibility of this work.		
059-Paper3355	An Interpretable and Attention-based Method for Gaze Estimation Using Electroencephalography	reproducibility	According to the authors' answers to the checklist as well as the information provided in the article, the reproducibility appears to be possible.  The actual code is not included.		
060-Paper1858	An Unsupervised Multispectral Image Registration Network for Skin Diseases	reproducibility		"The authors mark all ""Yes"" in the reproducibility checklist. Based on the model explanation and loss functions in the paper, reproducing the method should be feasible."	
070-Paper2382	AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes	reproducibility	"This paper has a Satisfactory reproducibility. The authors have a clear and detailed description of the algorithm, but but many of the used parameters are not specified. For example, in the reproducibility checklist, the authors mention ""camera properties"", but throughout the paper, no details are given about this. About the dataset, the autors mention the CBCT (Cone-Beam Computed Tomography) volumes acquired by Anonymous CT Medical Imaging Platform but no additional information is given about the platform. The exception is the Manix data set from https://docs.set.health/docs/introduction/public-medical-data which the authors refer to use and to which they present references."		
076-Paper2274	Assignment Theory-Augmented Neural Network for Dental Arch Labeling	reproducibility		Author filled out the reproducibility checklist but does not include codes.	
093-Paper1247	Boundary Difference Over Union Loss For Medical Image Segmentation	reproducibility		The reproducibility checklist agrees to what can be seen in the paper.	
094-Paper2691	Boundary-weighted logit consistency improves calibration of segmentation networks	reproducibility		The reproducibility checklist agrees to what can be seen in the paper.	
105-Paper0176	Category-level Regularized Unlabeled-to-labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data	reproducibility	In the reproducibility checklist, the authors promised to release the code and trained weights for their proposed method. It is essential to others reproduce their results.  For the sake of completeness, I would also suggest the authors report the average runtime and the memory footprint for each approach evaluated in their experiments.		
106-Paper2024	CAT-ViL: Co-Attention Gated Vision-Language Embedding for Visual Question Localized-Answering in Robotic Surgery	reproducibility		This research is reproducible based on the checklist.	
111-Paper2489	Certification of Deep Learning Models for Medical Image Segmentation	reproducibility	"The reproducibility of this paper is low. In the reproducibility checklist, the authors have replied ""Yes"" to all the items, but almost all of them are missing from the paper or the supplementary material. ""A clear declaration of what software framework and version you used."" -> missing. ""The range of hyper-parameters considered, method to select the best hyper-parameter configuration, and specification of all hyper-parameters used to generate results."" -> missing. ""Information on sensitivity regarding parameter changes."" -> missing. ""The exact number of training and evaluation runs."" -> missing. ""A description of results with central tendency (e.g. mean) & variation (e.g. error bars)."" -> missing. ""An analysis of statistical significance of reported differences in performance between methods."" -> missing. ""The average runtime for each result, or estimated energy cost."" -> missing. ""A description of the memory footprint."" -> missing. ""An analysis of situations in which the method failed."" -> missing. ""A description of the computing infrastructure used (hardware and software)."" -> missing."""		
119-Paper2270	Clinical Evaluation of AI-assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma	reproducibility	There is limited reproducibility as the authors acknowledge in their checklist-code is not available and there are no details on model parameters nor hyperparameters, nor training schema.		
126-Paper2305	CoLa-Diff: Conditional Latent Diffusion Model for Multi-Modal MRI Synthesis	reproducibility		The requirements resulting from the answers to the checklist are met in the manuscript. Additionally the authors submitted their code.	
128-Paper1979	Collaborative modality generation and tissue segmentation for early-developing macaque brain MR images	reproducibility		The authors claim will release the code in the checklist. The dataset is public. The study is reproducible.	
132-Paper1939	Community-Aware Transformer for Autism Prediction in fMRI Connectome	reproducibility		No major issues. Don't seem to be able to find the average runtime despite it being mentioned in the checklist, would have been useful to have it mentioned somewhere in the paper or readme.	
151-Paper0363	Cortical analysis of heterogeneous clinical brain MRI scans for large-scale neuroimaging studies	reproducibility	The checklist indicates that descriptions of algorithms, models, hyper-parameters, failure modes, etc are available.  If provided with this information, the reproducibility of the paper should be high.		
180-Paper3177	Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing	reproducibility		"If the authors will release the code (""not applicable"" in the checklist now), I think the reproducibility of the paper is good."	
181-Paper3352	Deep unsupervised clustering for conditional identification of subgroups within a digital pathology image set	reproducibility	The authors meet all criteria on the reproducibility checklist But the pre-trained model		
205-Paper2550	Diffusion-Based Hierarchical Multi-Label Object Detection to Analyze Panoramic Dental X-rays	reproducibility	Based on the checklist, this research seems to be reproducible.		
233-Paper2684	Edge-aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI	reproducibility	The authors comply with the checklist. No mention to code or github repository is available.		
239-Paper0778	Enabling Geometry Aware Learning Through Differentiable Epipolar View Translation	reproducibility		Most of the listed reproducibility checklist were met.	
243-Paper0934	Enhancing Automatic Placenta Analysis through Distributional Feature Recomposition in Vision-Language Contrastive Learning	reproducibility		The authors state that they won't release the code for this work in the checklist.	
245-Paper1308	EoFormer: Edge-oriented Transformer for Brain Tumor Segmentation	reproducibility	The authors provided a table with some design details of the proposed EoFormer network. The architecture and implementation details are clear. However there is no link or reference to any code. The authors stated that the code will be provided in the reproducibility checklist, along with all the information.  Information about datasets have been included in the paper.		
247-Paper0986	Estimated time to surgical procedure completion: An exploration of video analysis methods	reproducibility		The reproducibility checklist for the dataset is not coherent with the paper. On the checklist, it is mentioned that the information for the public dataset is provided, but the paper does not mention the use of such datasets. Furthermore, the checklist specified that the items were not applicable to new dataset, whereas the paper presents a new dataset, and the description is incomplete (see comments).	
