category		clarity	clarity	clarity	rate	rate	rate	confidence	confidence	confidence	rate rebuttal	rate rebuttal	rate rebuttal
review		review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3	review 1	review 2	review 3
id	title												
001-Paper0829	3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images	Good	Good	Poor	6	5	3	Very confident	Very confident	Confident but not absolutely certain	6	5	N/A
002-Paper1655	3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer	Very Good	Good	Satisfactory	6	5	5	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
003-Paper1307	3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching between 3D and 2D Networks	Very Good	Very Good	Very Good	5	5	5	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
004-Paper2386	3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers	Good	Satisfactory	Very Good	6	5	4	Very confident	Confident but not absolutely certain	Very confident	N/A	5	N/A
005-Paper2035	3D Teeth Reconstruction from Panoramic Radiographs using Neural Implicit Functions	Good	Very Good	Good	5	5	5	Somewhat confident	Very confident	Very confident	N/A	N/A	N/A
006-Paper1808	A Closed-form Solution to Electromagnetic Sensor Based Intraoperative Limb Length Measurement in Total Hip Arthroplasty	Very Good	Very Good	Very Good	4	4	7	Confident but not absolutely certain	Very confident	Very confident	5	5	6
007-Paper0976	A Conditional Flow Variational Autoencoder for Controllable Synthesis of Virtual Populations of Anatomy	Good	Good	Very Good	4	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
008-Paper3288	A coupled-mechanisms modelling framework for neurodegeneration	Very Good	Excellent	Excellent	5	7	5	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
009-Paper1168	A denoised Mean Teacher for domain adaptive point cloud registration	Excellent	Good	Very Good	7	4	6	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
010-Paper1779	A flexible framework for simulating and evaluating biases in deep learning-based medical image analysis	Very Good	Very Good	Good	4	6	5	Very confident	Very confident	Confident but not absolutely certain	5	5	N/A
