id	category	title	review 1	review 2	review 3	repro
020-Paper2659	A One-class Variational Autoencoder (OCVAE) cascade for classifying atypical bone marrow cell sub-types				Reproducibility should be possible, as training and evaluation code is provided (based on the checklist).	Reproducibility should be possible, as training and evaluation code is provided (based on the checklist).
030-Paper3722	A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging		The results are based on the analysis of a local dataset using the proposed method, which is not public. No information was provided in the reproducibility checklist. it is difficult to access the reproducibility of this work.			The results are based on the analysis of a local dataset using the proposed method, which is not public. No information was provided in the reproducibility checklist. it is difficult to access the reproducibility of this work.
037-Paper1541	Accurate multi-contrast MRI super-resolution via a dual cross-attention transformer network				"The authors completed the reproducibility checklist without fully committing to its requirements. For instance, they listed ""an analysis of statistical significance of reported differences in performance between methods"" on the checklist, but the paper does not provide any statistical analysis for performance comparison. This lack of adherence to the reproducibility checklist raises significant concerns about the credibility of the self-claimed reproducibility."	"The authors completed the reproducibility checklist without fully committing to its requirements. For instance, they listed ""an analysis of statistical significance of reported differences in performance between methods"" on the checklist, but the paper does not provide any statistical analysis for performance comparison. This lack of adherence to the reproducibility checklist raises significant concerns about the credibility of the self-claimed reproducibility."
040-Paper2061	Acute Ischemic Stroke Onset Time Classification with Dynamic Convolution and Perfusion Maps Fusion				The paper contains sufficient details about the methods, but the lack of clarity significantly detracts from the reproducibility. The authors indicate in their reproducibility checklist that they will make source code available, but this is not indicated in the manuscript. The dataset is private.	The paper contains sufficient details about the methods, but the lack of clarity significantly detracts from the reproducibility. The authors indicate in their reproducibility checklist that they will make source code available, but this is not indicated in the manuscript. The dataset is private.
047-Paper0340	Adult-like Phase and Multi-scale Assistance for Isointense Infant Brain Tissue Segmentation				Although some technical details are missing in the current version of manuscript, the authors committed in the checklist that will provide codes. The data is public. Work is reproducible.	Although some technical details are missing in the current version of manuscript, the authors committed in the checklist that will provide codes. The data is public. Work is reproducible.
059-Paper3355	An Interpretable and Attention-based Method for Gaze Estimation Using Electroencephalography		According to the authors' answers to the checklist as well as the information provided in the article, the reproducibility appears to be possible.  The actual code is not included.			According to the authors' answers to the checklist as well as the information provided in the article, the reproducibility appears to be possible.  The actual code is not included.
060-Paper1858	An Unsupervised Multispectral Image Registration Network for Skin Diseases			"The authors mark all ""Yes"" in the reproducibility checklist. Based on the model explanation and loss functions in the paper, reproducing the method should be feasible."		"The authors mark all ""Yes"" in the reproducibility checklist. Based on the model explanation and loss functions in the paper, reproducing the method should be feasible."
070-Paper2382	AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes		"This paper has a Satisfactory reproducibility. The authors have a clear and detailed description of the algorithm, but but many of the used parameters are not specified. For example, in the reproducibility checklist, the authors mention ""camera properties"", but throughout the paper, no details are given about this. About the dataset, the autors mention the CBCT (Cone-Beam Computed Tomography) volumes acquired by Anonymous CT Medical Imaging Platform but no additional information is given about the platform. The exception is the Manix data set from https://docs.set.health/docs/introduction/public-medical-data which the authors refer to use and to which they present references."			"This paper has a Satisfactory reproducibility. The authors have a clear and detailed description of the algorithm, but but many of the used parameters are not specified. For example, in the reproducibility checklist, the authors mention ""camera properties"", but throughout the paper, no details are given about this. About the dataset, the autors mention the CBCT (Cone-Beam Computed Tomography) volumes acquired by Anonymous CT Medical Imaging Platform but no additional information is given about the platform. The exception is the Manix data set from https://docs.set.health/docs/introduction/public-medical-data which the authors refer to use and to which they present references."
076-Paper2274	Assignment Theory-Augmented Neural Network for Dental Arch Labeling			Author filled out the reproducibility checklist but does not include codes.		Author filled out the reproducibility checklist but does not include codes.
084-Paper2746	Automatic Segmentation of Internal Tooth Structure from CBCT Images using Hierarchical Deep Learning				The authors mention in the reproducibility checklist that code/pretrained models will be made public.The hyper-parameters,batch size,learning rate, epochs,gpu etc are mentioned in the supplementary material. Hence it is reasonable to expect that the code will be reproducible.	The authors mention in the reproducibility checklist that code/pretrained models will be made public.The hyper-parameters,batch size,learning rate, epochs,gpu etc are mentioned in the supplementary material. Hence it is reasonable to expect that the code will be reproducible.
093-Paper1247	Boundary Difference Over Union Loss For Medical Image Segmentation			The reproducibility checklist agrees to what can be seen in the paper.		The reproducibility checklist agrees to what can be seen in the paper.
094-Paper2691	Boundary-weighted logit consistency improves calibration of segmentation networks			The reproducibility checklist agrees to what can be seen in the paper.		The reproducibility checklist agrees to what can be seen in the paper.
