	kappa score	ci low	ci high	se	sklearn	fleiss
Models and algorithms	0.7537878787878788	0.6637324695764595	0.8380155854778221	0.04468740674639077	0.7544080604534005	0.7537878787878788
Datasets	0.9085858508133396	0.8507969491028211	0.955752357397533	0.027233689262853925	0.9085872576177285	0.9085858508133396
Code	0.9107142857142858	0.8582748248925259	0.9552622734479193	0.024910998386508305	0.9107142857142857	0.9107142857142858
Experimental results	0.8637248539909151	0.7934709266096416	0.927219460042432	0.0342987534696002	0.863724853990915	0.8637248539909151
Error bars or statistical significance	1.0	1.0	1.0	0.0	1.0	1.0
Code is or will be available	0.8854939759036144	0.8140043896317088	0.9484841451901661	0.03431741753604479	0.8854961832061069	0.8854939759036144
Statement	0.7368217011331288	0.6687591860486736	0.7999770957102723	0.03470259073719613	0.7369819341126461	0.7368217011331288
Comments	0.8155787430235379	0.7586568415752452	0.8681163788189475	0.027350841659991965	0.8155936590100291	0.8155787430235379
Meta-categories	0.8014027898179524	0.7282375541230414	0.8645775167471137	0.03522217082013162		
Repo provided	1.0	1.0	1.0	0.0		
