	kappa score	ci low	ci high	se
Models and algorithms	0.7544080604534007	0.665512442419457	0.8400753180651094	0.04590752866997553
Datasets	0.9085872576177285	0.8512166267722334	0.9519695155425255	0.026061105279130393
Code	0.9107142857142856	0.8562695873738772	0.9554712618332739	0.026131306608034068
Experimental results	0.8637248539909151	0.7905743740624415	0.9252409982981188	0.03439420451354108
Error bars or statistical significance	1.0	1.0	1.0	0.0
Code is or will be available	0.8688536840532057	0.7924904210022953	0.9325193988715608	0.036348301984450236
Statement	0.736981934112646	0.6684294260805115	0.804206288497991	0.03496111248939569
Comments	0.8155936590100292	0.7627633612027771	0.8678782798525713	0.02729077971217364
Meta-categories	0.8014027898179528	0.7597221647900732	0.8686466358593117	0.02739612678736405
Repo provided	1.0	1.0	1.0	0.0
