id	title	review1	review2	review3
001	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	This paper aims to reconstruct standard-dose PET (SPET) images from low-dose PET (LPET) images, via a  3D Convolutional Vision Transformer GAN (3D CVT-GAN), which extends the 2D Convolutional Vision Transformer under the framework of 3D Transformer-GAN, with the extended 3D CVT and TCVT blocks equipped into both generator and discriminator of GAN.	The paper proposed a 3D convolutional vision transformer-GAN model for low-dose PET synthesis.	This paper proposes a novel 3D convolutional vision transformer GAN framework to reconstruct standard-dose PET image from low-dose PET image.  Specifically, they utilized 3D CVT blocks as the encoder for feature extraction and 3D transposed CVT as decoder for final SPECT reconstruction. Furthermore, the proposed 3D CVT and TCVT blocks employ 3D convolutional embedding and projection instead of using linear embedding and project which overcomes the semantic ambiguity problem.
002	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	The paper proposes a deep learning model for Alzheimer's Disease Diagnosis from MRI images which works in the Fourier domain.	This paper proposes a 3D Global Fourier Network (GF-Net) to utilize global frequency information in predicting the Alzheimer disease (AZ). Authors used exist techniques to show the importance of frequency filter by comparing to other techniques in predicting the AZ.	This paper proposed to utlize the Fourier transformation to catch the global information to improve the AD diagnosis, so-called GF-Net. It divides each image into several patches to meet the patch embedding operation and use a sequence of global Fourier/ inverse Fourier transform with element-wise multiplication to capture global information in the frequency domain. Multi-instance learning (MIL) strategy is utlized to randomly drop patches to augment samples for training.
003	4D-OR: Semantic Scene Graphs for OR Domain Modeling	This paper proposes to represent the OR via semantic scene graphs to achieve a holistic understanding. A new 4D-OR dataset is constructed and will be made public. Several state-of-the-art computer vision methods are pipelined and tested on the new dataset.	"This paper presents a neural network-based approach to generate semantic scene graphs of the activities happening in the OR during a surgical procedure. The principal goal of the proposed approach is to accurately predict the role of every human present in the OR.  A quantitative evaluation is performed on a dataset composed of simulated total knee replacement surgeries recorded with six RGB-D cameras, with annotations of human and object poses, SSG labels and clinical roles. The authors propose to make this dataset public, which can be a big contribution to the field.
A complex methodology is presented to process the images and point clouds, and also to automatically obtain human and object pose information using off-the-shelf approaches, and then generate an SSG to be able to predict the role of everyone in the scene. The approach achieves good performances especially for patient and head surgeon role prediction."	The paper tackled the problem of understanding surgical scenes. It proposed semantic scene graph to construct a holistic knowledge of the operating room. The paper generated a multi-view dataset and relied on state of the art model to detect 3D human and object poses. These were then used to build a scene graph and predict roles.
004	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	"The paper presents a methodical study of modern architectures applied to a fixed low data regime of 5000 images on the CheXpert dataset. Specifically, it studies the BiT and ViT models through experiments, as well as established regularization methods Mean Teacher and MixUp. These are compared to the well-known and frequently used ResNet50 architecture. They find that models pretrained on ImageNet21k achieve a higher AUC and larger models require less training steps. All models were quite well calibrated and performed well. Regularization of Bit-50x1 with MixUp or Mean Teacher improves calibration and accuracy. Vision Transformer achieve
comparable or on par results to Bit-50x1."	The general computer vision literature is moving towards larger models pretrained on increasingly larger scale datasets, much larger than ImageNet-1K which is still the standard approach in medical imaging. Although the role of transfer learning has been repeatedly questioned, recent results support this widespread practice especially when the size of the target dataset is small, and when using architecture with weak inductive priors such as transformers [1]. In this paper, the authors experimentally evaluate the performance of Big Transfer Model (ResNet50, BiT50 and BiT-101) and Visual Transformers (DeiT and ViT) pretrained on ImageNet-1K, ImageNet-21K and JFT when transfer learning to the medical domain. They experiment on CheXpert downsampled to 5000 images to focus on the small data regime. Results show that BiT outperforms ResNet50, and show the advantage of ViT over DeiT, which is inline with previous results  [1].	The authors conduct an extensive set of experiments to demonstrate the feasibility of large-scale transfer learning on chest x-ray classification.
005	A Deep-Discrete Learning Framework for Spherical Surface Registration	"Deep neural nets-based surface registration
Reshaping existing methods to a CNNs framework
Validation on a large dataset with other spherical registration methods"	This paper proposes a deep learning framework for registration on a sphere. The problem is framed as a discrete matching problem - where each control point on a sphere is assigned a label corresponding to one of a possible set of displacements, with regularization by a conditional random field network. The approach is evaluated in a large dataset of brain surfaces against both deep learning and conventional algorithms, and has competitive performance.	This paper presents a learning-based pipeline to co-register two Cortical surfaces using spherical representations of the surfaces. Followed by a learned rigid alignment of the surfaces, the author's apporach includes the successive prediction of displacement fields eventually aligning one spherical surface to the other.
006	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	This work is dedicated on the automatic segmentation of the aorta from injected CT-scan using a deep learning approach that is geometry-constrained.	"The paper introduces a geometry-constrained pipeline for the automatic segmentation of the aortic lumen in healthy and diseased cases. 
The diseased cases include coarctations and aortic dissections. 
The proposed method uses geometry-constrained deformable attention which consists of an extractor and a guider. The former generates variable-size patches and, thanks to self attention, captures long-range dependencies."	The paper proposes a geometry-constrained deformable attention network (GDAN) for segmenting aorta. There are two main contributions: morphological constraints and deformable attention mechanism are added to the segmentation network.
007	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	This is a well written and organized paper that presents a hybrid (two network) approach for interactive, semi-automatic segmentation of 3D medical images.	"The paper proposes a method for interactive segmentation of 3D medical data.
The method uses two modules, 1) a slice propagation network (SPN) for transferring user interactions to adjacent slices and 2) volume propagation network for transferring user hints over the entire volume. The main motivation of using SPN is to avoid having to run a 3D model on whole volume, which would require higher memory usage.
The proposed method improves upon existing interactive segmentation methods."	"This paper introduces a method for interactive segmentation of 3D medical scans.
The pipeline relies on two networks working iteratively on the input volume, the user scribbles and the previous segmentation: one in 3D working on a crop of the volume, and one in 2D that propagates the segmentation from one slice to another.
The former is based on a 3D Unet, while the second one is based on the Deeplab architecture with a memory module that takes as input both the 2D input and the corresponding slice of the 3D feature map of the first network.
The method is evaluated on four segmentation tasks from public CT databases: kidney, tumour, lund and colon."
008	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	In this paper, a learnable variational model is proposed for joint multimodal MRI reconstruction and synthesis. Numerical experiments are performed to validate this method.	In this paper, the authors present a learnable optimization algorithm to jointly do the image reconstruction and image synthesis, the method takes undersampled radial k-space MRI acquisition and outputs the reconstructed image as well as the synthesized third-modality image.	Based on the theoretical analysis, this paper proposes a new deep model, which can simultaneously reconstruct the source modal image from partially scanned k-space MR data and synthesize the target modal image without any k-space information. In addition, the network proposed in this paper adopts the double-layer optimization training algorithm to optimize the network parameters and super Cen book, and a large number of experiments on different modes of brain magnetic resonance data verify the effectiveness of the proposed algorithm.
009	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	"The paper introduces a bilinear pooling-assisted sparse attention block and embed it into a transformer network to capture the fine-grained visual difference existed between radiographic images. It can explore higher-order interactions between the input single-model (in the encoder) or multi-model (in the decoder) features, resulting in a more robust representative capacity of the output attended features; 
2.The  paper proposes a medical concepts generation network to provide enriched semantic information to benefit radiographic report generation;
The paper extensively validates the model on the recently released largest dataset MIMIC-CXR."	First, this paper proposed a memory augmented sparse attention block to capture the higher-order interactions between the input fine-grained image features. Besides, a novel Medical Concepts Generation Network is proposed to predict fine-grained semantic concepts and incorporate them into the report generation process as guidance. At last, this method outperforms multiple state-of-the-art methods on MIMIC-CXR.	The authors propose a medical report generation model using various components such as  sparse nonlinear attention in the transformer, pseudo-medical concepts using RadGraph, and reinforcement learning. This study was evaluated on a MIMIC-CXR dataset, and the importance of each component was justified through structured logic from literature logic as well through experimentation.
010	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	This paper proposed a new encoder-decoder based architecture that uses (scheduled) skip gating (what the authors called weight decay) and multi-task learning with HOG feature prediction. The proposed method has been evaluated on one public dataset for anomaly detection.	This paper explores the applicability of skip connection and multi-task learning to anomaly detection tasks and presents a multi-task encoder-decoder network with weight decay skip connection (WDMT-Net). The authors first design a weight decay training strategy to alleviate the identity mapping problem of U-Net architecture as well as leveraging its strong capacity in feature representation learning. Then they integrate an auxiliary histograms of oriented gradients (HOG) prediction task to the anomaly detection framework for fully exploiting the significant commonalities of normal fundus images. The quantitative and qualitative experimental results indicate the advancement of the proposed method compared with other state-of-the-art method.	In this paper, the author explore the applicability of skip connection to reconstruction-based anomaly detection.Specifically,a weight decay skip connection training strategy is presented to mitigate the identity mapping problem of the U-Net architecture and meanwhile leverage its advantage on feature representation learning. Then, the author integrate an auxiliary task, i.e.,HOG prediction,to the anomaly detection framework, which can fully exploit the significant commonalities of normal fundus images.
