id	title	review1	review2	review3
001	52	13	69.0	
002	20	40	69.0	
003	40	147	56.0	
004	103	139	20.0	
005	22	72	44.0	
006	22	55	29.0	
007	23	76	114.0	
008	24	39	80.0	
009	87	55	52.0	
010	39	101	66.0	30.0
011	39	80	67.0	
012	103	85	56.0	
013	48	29	38.0	
014	36	23	30.0	65.0
015	18	37	64.0	
016	14	34	70.0	
017	84	27	40.0	
018	39	70	28.0	
019	122	80	74.0	
020	87	20	34.0	
021	56	27	27.0	
022	55	63	24.0	
023	33	43	31.0	
024	39	46	127.0	
025	134	87	47.0	
026	71	18	98.0	
027	37	122	69.0	
028	11	156	46.0	
029	58	43	22.0	
030	21	42	30.0	36.0
031	56	36	81.0	
032	67	16	55.0	
033	55	51	58.0	
034	18	57	57.0	
035	81	60	37.0	
036	80	55	76.0	
037	82	145	52.0	
038	35	66	36.0	
039	30	50	77.0	
040	62	91	36.0	
041	42	134	46.0	
042	68	106	36.0	
043	28	85	53.0	
044	37	62	11.0	
045	74	100	52.0	
046	46	25	48.0	
047	109	76	78.0	
048	144	28	26.0	
049	34	24	66.0	
050	34	30	71.0	
051	69	5	42.0	
052	37	90	77.0	28.0
053	30	42	49.0	
054	31	60	22.0	
055	29	69	45.0	
056	18	121	55.0	
057	64	40	74.0	
058	47	93	44.0	
059	25	81	94.0	
060	1	109	58.0	
061	21	59	51.0	
062	84	52	52.0	
063	71	109	24.0	
064	33	21	61.0	
065	62	79	59.0	
066	75	17	61.0	
067	93	63	39.0	
068	53	54	39.0	
069	16	24	56.0	
070	54	60	50.0	
071	36	45	31.0	
072	68	49	46.0	
073	136	50	135.0	
074	30	40	41.0	
075	110	32	50.0	
076	27	47	21.0	
077	59	70	62.0	
078	56	87	42.0	
079	56	42	23.0	
080	75	57	73.0	
081	93	73	98.0	
082	19	44	24.0	
083	32	96	38.0	
084	48	53	133.0	
085	32	65	43.0	
086	63	60	61.0	
087	66	43	42.0	
088	58	41	30.0	
089	4	76	72.0	
090	49	95	45.0	
091	66	36	26.0	
092	80	30	110.0	
093	40	38	48.0	
094	49	93	83.0	
095	35	36	88.0	
096	52	32	98.0	
097	53	38	30.0	42.0
098	24	141	41.0	
099	43	121	79.0	
100	32	44	93.0	
101	42	65	37.0	
102	86	14	43.0	
103	66	69	55.0	38.0
104	29	38	59.0	
105	50	71	36.0	
106	25	45	17.0	
107	35	48	52.0	
108	25	62	47.0	
109	27	21	33.0	
110	30	44	43.0	
111	38	28	49.0	
112	113	63	41.0	
113	87	64	16.0	
114	17	58	61.0	
115	59	32	79.0	
116	40	69	55.0	
117	33	52	135.0	
118	37	91	44.0	
119	40	69	25.0	
120	122	66	36.0	
121	29	23	41.0	
122	104	30	39.0	
123	51	98	49.0	
124	41	68	44.0	
125	43	52	34.0	
126	76	102		
127	66	125	38.0	
128	97	44	22.0	
129	17	50	48.0	
130	74	92	36.0	
131	10	46	49.0	
132	41	75	81.0	
133	117	30	40.0	
134	23	85	90.0	
135	33	53	52.0	
136	1	59	53.0	
137	67	110	35.0	
138	18	74	29.0	
139	22	33	48.0	
140	48	56	40.0	27.0
141	24	48	96.0	
142	35	46	54.0	
143	64	30	58.0	
144	83	29	36.0	
145	85	33	69.0	138.0
146	30	23	44.0	88.0
147	39	39	55.0	
148	49	104	71.0	
149	41	48	26.0	
150	66	60	73.0	
151	15	54	51.0	
152	47	109	39.0	
153	47	61	93.0	
154	45	90	36.0	
155	46	45	51.0	
156	78	51	127.0	
157	76	53	94.0	
158	35	66	36.0	
159	37	43	90.0	109.0
160	67	55	91.0	
161	35	36	33.0	
162	55	54	73.0	
163	30	102	42.0	
164	22	96	86.0	
165	42	47	143.0	
166	49	43	8.0	
167	89	46	82.0	
168	36	105	66.0	
169	65	47	29.0	
170	83	15		
171	74	29	89.0	
172	62	53	56.0	
173	49	97	49.0	
174	30	38	25.0	
175	46	48	91.0	
176	72	83	38.0	28.0
177	63	39	38.0	
178	22	35	66.0	
179	28	63	76.0	
180	31	70	30.0	
181	44	63	75.0	
182	83	124	25.0	
183	80	87	102.0	
184	67	93	66.0	
185	105	71	31.0	
186	14	38	55.0	
187	26	69	58.0	
188	66	87	41.0	
189	45	86	66.0	27.0
190	91	10	64.0	
191	47	53	109.0	
192	30	37	27.0	
193	49	23	143.0	
194	73	51	39.0	
195	50	40	82.0	
196	51	29	33.0	27.0
197	58	26	30.0	
198	78	91	63.0	
199	39	84	123.0	
200	19	59	61.0	
201	26	48	44.0	
202	42	66	71.0	
203	17	35	26.0	
204	35	73	67.0	
205	35	69	33.0	
206	50	46	20.0	
207	55	74	65.0	
208	16	50	20.0	
209	24	26	59.0	
210	69	35	47.0	
211	109	50	58.0	
212	40	73	67.0	
213	30	84	65.0	
214	48	67	32.0	
215	27	25	61.0	
216	87	37	31.0	
217	26	37	41.0	
218	46	43	47.0	
219	60	20	40.0	
220	44	88	123.0	
221	61	46	34.0	
222	82	75	67.0	24.0
223	22	43	17.0	24.0
224	151	85	91.0	
225	42	35	78.0	
226	20	25	54.0	
227	26	20	74.0	
228	73	67	39.0	
229	51	61	74.0	
230	40	82	28.0	
231	15	43	54.0	
232	60	33	56.0	
233	54	50	28.0	62.0
234	154	37	19.0	
235	23	28	50.0	
236	34	114	133.0	
237	67	42	20.0	
238	26	30	32.0	
239	44	36	24.0	
240	49	65	40.0	
241	50	21	58.0	
242	71	35	44.0	
243	23	34	49.0	
244	13	43	48.0	
245	68	99	33.0	
246	93	19	37.0	
247	53	37	41.0	38.0
248	90	19	76.0	
249	32	18	40.0	
250	77	44	124.0	
251	31	53	67.0	
252	36	27	50.0	
253	12	12	82.0	
254	80	79	137.0	
255	54	40	14.0	
256	45	70	79.0	
257	43	79	35.0	
258	58	14	80.0	
259	62	137	30.0	
260	65	91	77.0	
261	83	91	88.0	
262	27	65	60.0	
263	75	7	38.0	
264	33	23	25.0	
265	51	45	105.0	
266	48	28	24.0	
267	37	28	42.0	
268	35	32	56.0	
269	31	154	92.0	
270	48	91	50.0	
271	14	62	26.0	33.0
272	88	89	74.0	
273	108	54	106.0	
274	20	75	45.0	70.0
275	34	77	42.0	
276	114	33	62.0	
277	48	41	36.0	
278	25	66	13.0	48.0
279	33	60	14.0	
280	88	106	49.0	
281	63	54	78.0	
282	62	22	18.0	
283	94	53	37.0	
284	57	60	52.0	
285	33	17	62.0	
286	34	52	57.0	
287	114	79	149.0	
288	39	51	46.0	
289	19	77	78.0	
290	35	38	40.0	20.0
291	35	35	90.0	
292	75	92	41.0	
293	21	68	60.0	
294	40	70	39.0	
295	74	32	54.0	
296	74	30	66.0	
297	147	43	32.0	
298	38	58	53.0	
299	21	112	19.0	
300	43	106	53.0	
301	33	37	26.0	33.0
302	91	90	64.0	
303	37	29	51.0	
304	83	29	79.0	
305	39	45	13.0	72.0
306	72	59	81.0	
307	71	32	14.0	
308	41	88	61.0	75.0
309	34	42		
310	43	73	31.0	
311	65	54	45.0	
312	120	45	59.0	
313	92	33	119.0	
314	61	11	48.0	
315	60	97	56.0	
316	34	20	28.0	
317	31	61	41.0	
318	69	35	32.0	
319	28	56	54.0	
320	59	36	15.0	
321	37	103	45.0	40.0
322	31	50	61.0	62.0
323	63	50	45.0	
324	132	76	122.0	
325	73	63	29.0	
326	68	101	75.0	64.0
327	54	50	36.0	
328	81	46	115.0	
