id	title	review1	review2	review3
001	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	The expression and figures can be improved for better understanding and clear illustration.	"The quality of the low-dose PET in Fig.2 is actually quite good. It leads to the question whether this application is meaningful. This can be proved by either the similar performance on a much higher dose reduction rate (visually worse image quality) or the comparison of the diagnosis (e.g. classification of NC vs MCI) on low-dose and each synthesized standard-dose PET.
Even for a patch-based model, a dataset of 16 subjects is still very small.
The improvement in Table 1 is very subtle. In table 1 and 2, add statistical test to show significance."	It's better to provide more clinical evaluations. Consider to use a bigger dataset.
002	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	"in page 2 correct ""explain f_ff in details"" to ""in detail""
In Fig 1 correct layer nrom to layer norm."	-Why the proposed approach only applied to Alzheimer data. We suggest testing the pipeline on many public data...,etc. The paper is almost close to clinical paper. We suggest author to note the novelty in technical aspect.	"(1) It would be better to verify how much the  frequency domain improve the performance.
(2) It would be better to report AUC values for such binary classification.
(3) It would be more useful to report results on MCI classificaiton.
(4) How many patch extracted in each image? The classification results decrease along patch size, it is because of the reduce of patch counts?
(5) Some typos, e.g., 0.915+-0.031 should be 91.5+-3.1."
003	4D-OR: Semantic Scene Graphs for OR Domain Modeling	Please see weaknesses.	"Please find below a set of comments/questions that I believe can help improve the paper if addressed:

Did you consider having additional data as input besides images and point clouds? I am talking about sound or signals from electronic equipment (e.g. oscillating saw or drill). It seems complicated to imagine future OR to have six RGB-D cameras installed.

Regarding the RGB-D cameras: how was the placement decided? How is the calibration between the cameras done, I mean the extrinsic parameters enabling to fuse all point clouds properly? More details about this could be useful to the reader.

Could you give more information about all pre-processing steps for the point clouds. The fused point cloud seems noisy in the figures. Did you consider working directly with the depth images instead? Could you discuss how much ambient illumination can be an issue for your approach? The scialytic lamps were always off during the recordings?

As mentioned before, I think the paper could benefit from more details about data. Knee replacement surgeries can have different workflows and surgical gestures depending on many things such as surgical planning (mechanical or kinematic alignment), type of implant, surgical technique. Were all simulated surgeries the same? Is the ancillary used (such as intramedullary rod, cutting guides, pins...) also included in the simulation? It seems to me that the specific parts of a knee replacement surgery happen when the knee is exposed, and your dataset rather considers the activities happening around the OR but not directly the surgical gestures.

How would this method be applied in a clinical setting? How do you envision its integration to routine clinical practice?

Could you provide the list of relationships and activities considered? I do not see things like bone resection, implant placement, cement .... Also providing the list of objects considered (only large medical equipment?) can be interesting."	"Can the author provide any information on depth interference among the views.
One can imagine that the accuracy of the model decreases on non-simulated cases. I think it would be interesting to see the affect of perturbed 3D poses on the performance of the model.
Considering the model have achieved high performance, do the authors plan to make the dataset more challenging by adding either extra data or tasks?
The model had achieved almost perfect prediction for patient and head surgeon. Can the author comment if this could be due to the fact that their 3D location are very similar across the data. Have the authors simulated both left and right knee replacement to get different location for the head surgeon."
004	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	Nothing significant. I would have liked to see domain specific models in comparison also.	"Major comments:

I agree with the authors that the small data regime is the most interesting one when exploring transfer learning from the RGB to the medical domain. However, given the large data imbalance in the CheXpert dataset, the authors should report how the dataset was sampled (if random or stratified), and what is the resulting label distribution.
The authors report the results on the standard split, as well as a new split with larger validation and test set. This is based on previous work by Mustafa et al. who pointed out that the standard validation set is too small to allow meaningful comparison. At the same time, it seems to me deeply unrealistic that a practitioner would train on 5K images, validate on 17K and test on 25K images. A more realistic comparison would be for instance to sample multiple test set from the 25K sequestered images to include the variability due to the test set into the confidence interval. I understand that fully solving this problem would be another paper in itself, but in my opinion it is still a limitation and should be at least addressed
Which pretrained models were used in the experiments? The authors mention the timm library, which does not include BiT models.
In Table 1, there are two models BiT-50x1, one trained on 89944 images, and one trained on ""all"".  I would report the actual number of images, and clarify what is the different between the two sets.
In Table 2, the number of iterations for REsNet50 appears to be much larger than those for BiT-* models. It is not clear why and it would be interesting to compare how the different models converge
The description of the fine-tuning setting is not very clear. For BiT, the papers first state that the BiT-HyperRule was used, but then concluded that training with a batch size of 32 with the same plateau scheduler as ResNet yielded better results. As a consequence, it Is not clear which protocol was used exactly for each experiment in Tables 1 and 2.

Minor comments:

The confidence intervals are lacking as experiments for some models were still underway at the time of writing. The results are unlikely to change substantially, therefore in my opinion this is not a major limitation
The paper feels somewhat rushed with several typos. For instance deramatology -> dermatology (page 4), presumambly -> presumably (page 4), it's small size -> its small size (page 5), smalles datasets -> smallest? Datasets (page 6)
Some sentences have grammar issues or lack the subject. For instance, at page 5, Split to intra: automatically created from report, and valid: 234 manually annotated X-rays

[1] Matsoukas, C., Haslum, J. F., Sorkhei, M., Soderberg, M., & Smith, K. (2022). What Makes Transfer Learning Work For Medical Images: Feature Reuse & Other Factors. arXiv preprint arXiv:2203.01825."	ViT's benefit from large pre-training dataset yet the authors conducted experiments on the same dataset. It would be good to obtain more data - perhaps not exactly chest x-ray but other related medical images - to see the benefit of ViT pre-training.
005	A Deep-Discrete Learning Framework for Spherical Surface Registration	"The authors pointed out rotation equivariance does not hold in S3Reg, in which a filter orientation is inconsistently represented at the poles. This might be motivation of this study in using MoNet. I like a rotation-equivariant approach but was disappointed in how rotational equivariance was used in this work. Although I do understand the orientation problem, the MoNet approach (or rotation equivariance) seems not critical in the proposed method. In particular, MoNet was used for rigid alignment as preprocessing in this work, which may be able to capture the global orientations because of rotation equivariance. However, rigid alignment is relatively quick and generally works well without learning in conventional methods such as FreeSurfer or Spherical Demons. When it comes to spherical registration, rotation equivariance seems not valuable as the input data are already rigidly aligned. Also, I think ""good"" rigid alignment is key in the proposed method because of the label order, which may not be modeled even with rotation equivariance. In this step, MoNet and Spherical Unet (or other spherical CNNs) perhaps make no huge difference in terms of the label inference. It is unclear how critical the orientation failure at the poles is on overall registration performance from a practical view.

The overall registration framework is heavily based on [22,23]. The proposed registration is clearly faster than conventional surface registration. Since diffeomorphism is implicit yet, how about the regularity of the deformations (e.g., self-intersection)? Does the proposed method unfold flipped triangles (triangles with negative area)?

In the introduction, the authors claim that ""there is a limit to these improvements since cortical topographies vary in ways that break the diffeomorphic assumptions of classical registration algorithms"". I am unsure if this is overcome by the proposed method. Since the framework follows [22,23], what makes methodological difference from the classic methods? Any supporting examples?

In the results, Spherical Demons seems better in all benchmarks except for computing time. Although the proposed method is fastest, the computing time is often not more important than registration accuracy in many neuroscience studies. Can the authors comment on the results? Along this, some manual labels (e.g., cortical parcellation) would be also helpful to understand the performance of the work, though I am unsure if this is feasible in this work."	"Overall this is a very nice paper, I would recommend addressing the question of diffeomorphism. Some additional specifics could be provided, for example it wasn't clear until seeing Figure 3 that the features being matched were sulcal depths; the loss function could also be more explicitly stated.
It would also be interesting if the approach would also work well for non-learning based registration, i.e., for optimizing the loss function for a given pair of inputs. After all one really wants the best registration possible, even if it takes a bit more time (i.e. a few iterations of gradient descent) to compute the solution."	"I enjoyed reading this paper (see comments above). A few minor points:

More details about the loss function desirable. While the authors state loss function components for different parts of their pipeline, it is unclear whether all components are jointly or independently trained (Rotation + DDR1 + DDR2). It would help to state the loss function including the cross correlation term (maybe instead of equations (1) and (2) if space is an issue).
Formulas for J and R are the same (page 6)"
006	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	"My main comments to improve this article are :

Provide the Hausdorff distance
Indicate the results according to the diseases
Some errors in the text, particularly the values in the discussion
Specify the units for the Hausdorff distance and the RMSE"	"For major points please see 4) and partly 7).
In addition:

Minor typos/punctuation errors are present throughout the manuscript. Although minor, I would suggest the authors to read once more through the text and figure captions. 
E.g. sometimes it says ""extracter"" and some ""extractor"". I assume the latter is correct?
What do the authors mean with ""reference point"" in 2.2?
Figures need to be replaced later in the text. Ex: fig.3 is mentioned much later.
Figure 4 is currently not mentioned in the text.
conclusions: the reported error should have a +/- sign?
It would be beneficial to add more details about image statistics (e.g. size) and about ground truth generation protocols/processes.
While it is meaningul to show that the proposed approach outperform other methods, it would be also interesting to show how the different methods perform on the different classes (dissection, coarctation, etc..), perhaps this could be part of a larger journal version."	"The methodology is in general well described. The following comments could be taken into account for further improvements.
In the experimental part, what technologies are mainly used in other methods[2,3,4,5,18.27]? Comparison should be added in related work or the experimental part to better demonstrate the advantages of the method in this paper.
In clinical application, is the vascular segmentation and diameter calculation real-time? It is suggested to increase the calculation amount compared with other methods.
There are some expressions which should be clarified, though, as they are sometimes difficult to interpret:


Sec 2.3: The number of center-points, M, should not be a component of C, which would make formula(5) ambiguous. M should represent the number of centerpoint information tuples. If my understanding above is correct, I think to rewrite for C^m = (l_m, v_m, d_m), C = {C^m
m = 1,... M}"
007	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	"Adding a small user study showing better accuracy with less interaction time/clicks with this method compared to others would move this paper from good to great.
Another way to expand the validation would be to include other image modalities in the analysis."	"In Fig. 1, space character is missing for some labels.
The language needs some improvement:

""refine the volume segmentation result a time""
""both two networks for slice and volume propagation are included in our method""
""This two networks collaborate with each other for segmentation.""

In Fig. 3 including the performance for one or two baseline methods would have been nice."	"Overview

I am not sure to understand why we need both a 3D and a 2D network.
How does the network know when to stop the propagation (at the of the ""end of the organ"")?
How is the 3D crop first defined? How does the network know the extent in the out-of-slice direction?
Is the volume network trained at a fixed resolution in pixels? (or in mm?) or do you train it with varying input size?
Figure 1: The slices shown are upside/down (CT table is on top of the images), it's not very important but it does look weird.
Figure 1: What do the yellow arrow mean above/below the memory modules?

The experiment numbers are not very detailed.

Reporting the mean is not enough: we need more details (at least standard deviation, quartiles or even better full boxplots or violin plots)
No statistical tests were performed
Dice coefficients are only one part of the picture, other complementaty metric Hausdorff distances
How many interactions were necessary to obtain the results from Table 1?
Failure cases/areas of improvements are not discussed (also no future work is mentioned in the conclusion)

Misc

""Given a 3D volumetric image, the user interaction can only be performed on one of all slices,""
I disagree with this statement, several commercial and open-source software (Slicer, ITK-SNAP) offer 3D brushes.

I appreciate the comparison with several other baseline methods, but it seems to me that in the context of interactive segmentation, the current standard is not necessarily deep learning-based approaches. It would have been even nicer to compare with other standard approaches like watershed, grabcut [https://docs.opencv.org/3.4/d8/d83/tutorial_py_grabcut.html], random walker [http://vision.cse.psu.edu/people/chenpingY/paper/grady2006random.pdf], etc.

Figure 2

Which cases are shown here? median ones? good ones? Please indicate how they were selected
Some images with a particularly low quality (first two crops), please regenerate them

A 3D visualization of the different segmentations would also be nice

Does Figure 3 contain average numbers over the whole dataset or just one example?

There are a number of typos:

""This process will stop when reach a stop slice,""
""Note that the VPN is not work in the first iteration""
""both two networks for slice and volume propagation are included""
""This two networks""
""to crop and generate volume patch input of our VPN"""
008	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	"(1) The authors are encouraged to strengthen the introduction section.
(2) A detailed analysis and explanation of the proposed model is recommended. 
(3) Paper should be reorganized to make the presentation of the optimization uncluttered."	"Please add clear description on how you pre-processed the data and generate the k-space inputs, which is important for people to use it and evaluate it.
I have a comment on those contrast synthesis works in general: usually, deep learning model can succeed in medical image synthesis because the output information is encoded in the inputs (e.g., High Fidelity Direct-Contrast Synthesis from Magnetic Resonance Fingerprinting in Diagnostic Imaging). But for those T1w -> T2w, I don't think the contrast information of T2w is encoded in T1w, nor FLAIR, which means that its hard to guarantee that the output contrast is authentic, can you elaborate on this point?
In the paper, you showed a few examples on from 2 contrasts to 1 contrast, I wonder do you have any experience on generating 2 contrasts from 1 contrast?"	"The convergence of the learnable algorithm is proved in the paper, which can show the convergence curve of the optimization objective, so as to ensure the consistency of the theoretical and experimental results.

Add experiments to verify the advantages of double-layer optimization superparametric design over general fixed superparametric design."
009	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	"1.You can draw the frame diagram more carefully and mark clearly what work each module has to do.
2.When you write formulas, you can list them separately instead of confusing them with textual content.

You should clearly describe the working mode of the model testing phase.
You should explain the working process of the MSA module in more detail.
You should evaluate the content of the production report with clinical accuracy."	"Some weaknesses are listed in question 5. 
The figure may needs edition and paper needs some explainations about similar work before.
The experiment on IU X-Ray is lack."	"Not clear if metric scores are increasing while using RL is due to training more for 20 epochs or actually because of using RL. For better comparison please provide a score for training the model without RL for 60 + 20 epochs.
Dc and nm not explained when defined in section 2.1.
mathbfVc in section 2.4 is a typo from latex, please fix it.
Organization and notations for various variables are not well explained and are hard to follow. This needs to be fixed."
010	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	I hope the authors can have a more thorough study on the proposed components, and conduct more convincing experiments on more datasets and compare with more advanced skip-connected networks.	"  The authors are supposed to clearly explain the motivation for the proposed auxiliary HOG prediction task and illustrate the correlation between the auxiliary task and the main anomaly detection task in more detail.
  In addition to the reconstruction results and the prediction A_M displayed in Fig.3, we hope that the authors can provide visualization results of the auxiliary HOG prediction task to verify its effectiveness.
  The authors should evaluate the advancement of the proposed method by further comparing it with the appropriate state-of-the-art approaches for medical image reconstruction. 
 "	"1.In Section 2.3,""with the normal images Taking a gray image"".You miss a period before the word ""Taking"".
2.In the introduction part of the paper, you mentioned the reconstruction-based and non-reconstructionbased methods. References of the reconstruction-based method you've not mentioned."
