id	title	review1	review2	review3
001	13	94	13.0	
002	20	36	72.0	
003	3	307	121.0	
004	14	473	42.0	
005	375	103	83.0	
006	41	154	142.0	
007	42	60	376.0	
008	35	136	49.0	
009	71	28	84.0	
010	29	88	39.0	183.0
011	218	52	229.0	
012	243	52	63.0	
013	118	79	61.0	
014	22	38	117.0	42.0
015	412	74	1.0	
016	39	102	19.0	
017	88	23	54.0	
018	54	279	119.0	
019	493	190	158.0	
020	257	7	53.0	
021	173	30	113.0	
022	1	170	34.0	
023	63	62	110.0	
024	52	5	370.0	
025	181	1075	230.0	
026	263	179	500.0	
027	24	109	46.0	
028	41	127	22.0	
029	50	51	72.0	
030	176	72	81.0	313.0
031	74	34	72.0	
032	66	92	95.0	
033	88	120	28.0	
034	32	17	38.0	
035	121	118	46.0	
036	162	141	128.0	
037	140	129	92.0	
038	106	247	86.0	
039	20	146	29.0	
040	28	19	82.0	
041	133	79	27.0	
042	99	212	47.0	
043	37	61	94.0	
044	249	100	40.0	
045	6	2	48.0	
046	107	31	56.0	
047	5	211	134.0	
048	484	173	75.0	
049	32	23	232.0	
050	22	154	524.0	
051	166	148	211.0	
052	55	86	99.0	24.0
053	69	67	31.0	
054	30	89	36.0	
055	56	335	200.0	
056	55	58	155.0	
057	521	11	219.0	
058	78	201	2.0	
059	8	162	131.0	
060	1	164	4.0	
061	63	319	64.0	
062	258	150	93.0	
063	189	60	274.0	
064	115	149	168.0	
065	3	182	84.0	
066	34	4	162.0	
067	4	22	188.0	
068	66	6	47.0	
069	18	18	780.0	
070	142	85	84.0	
071	163	122	71.0	
072	18	87	97.0	
073	306	66	183.0	
074	22	89	76.0	
075	52	55	270.0	
076	208	259	30.0	
077	302	36	62.0	
078	381	158	81.0	
079	10	112	43.0	
080	117	161	53.0	
081	23	147	34.0	
082	177	161	45.0	
083	85	152	30.0	
084	11	48	85.0	
085	59	161	6.0	
086	42	183	76.0	
087	306	116	176.0	
088	32	20	52.0	
089	67	85	31.0	
090	63	170	2.0	
091	384	90	76.0	
092	366	155	160.0	
093	55	21	20.0	
094	198	131	180.0	
095	91	99	45.0	
096	55	193	289.0	
097	152	78	60.0	11.0
098	88	408	241.0	
099	76	2	98.0	
100	125	37	94.0	
101	91	157	368.0	
102	30	35	17.0	
103	57	29	141.0	28.0
104	159	42	68.0	
105	23	182	18.0	
106	6	73	58.0	
107	70	7	210.0	
108	105	32	72.0	
109	42	90	28.0	
110	210	105	24.0	
111	63	3	125.0	
112	28	75	45.0	
113	347	139	246.0	
114	105	5	64.0	
115	110	189	19.0	
116	78	67	223.0	
117	56	110	189.0	
118	48	179	118.0	
119	27	83	97.0	
120	193	105	74.0	
121	4	161	172.0	
122	247	160	13.0	
123	127	203	139.0	
124	142	62	13.0	
125	225	244	205.0	
126	166	291		
127	121	180	25.0	
128	43	253	189.0	
129	20	135	282.0	
130	130	312	25.0	
131	85	56	21.0	
132	254	71	98.0	
133	113	8	157.0	
134	57	65	764.0	
135	60	44	478.0	
136	1	30	3.0	
137	130	287	56.0	
138	2	69	25.0	
139	59	3	254.0	
140	20	69	10.0	51.0
141	105	287	88.0	
142	75	174	11.0	
143	138	22	315.0	
144	162	236	32.0	
145	31	18	85.0	500.0
146	3	27	85.0	16.0
147	157	48	27.0	
148	7	95	40.0	
149	50	48	76.0	
150	94	2	152.0	
151	8	21	244.0	
152	354	5	258.0	
153	58	100	315.0	
154	121	27	258.0	
155	116	239	55.0	
156	20	311	471.0	
157	128	4	173.0	
158	54	117	77.0	
159	43	6	284.0	237.0
160	9	224	43.0	
161	68	3	262.0	
162	79	83	110.0	
163	17	552	198.0	
164	351	4	86.0	
165	71	141	643.0	
166	116	84	67.0	
167	66	3	75.0	
168	28	301	653.0	
169	174	45	30.0	
170	103	73		
171	62	161	53.0	
172	66	44	221.0	
173	1	62	90.0	
174	56	116	24.0	
175	114	114	179.0	
176	135	56	159.0	11.0
177	41	131	22.0	
178	34	146	2.0	
179	109	213	7.0	
180	225	115	153.0	
181	116	285	209.0	
182	148	98	242.0	
183	113	168	160.0	
184	48	115	45.0	
185	37	298	33.0	
186	34	5	64.0	
187	14	33	31.0	
188	130	145	38.0	
189	58	335	123.0	11.0
190	16	58	121.0	
191	64	113	219.0	
