id	title	review1	review2	review3
001	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	This work has novelty on extending 2D CVT to 3D CVT for building a 3D CVT-GAN to reconstruct SPET images from LPET images, which is helpful for diagnosis. Thus I recommend to accept now.	The novelty is the main concern.	A lot of similar methods have been proposed to tackle the standard-dose PET reconstruction from corresponding low-dose PET images, improvements on PSNR and SSIM are not the key factors to show the effectiveness of proposed method. The authors should consider how to evaluate the robustness and generalizability of proposed method on a larger dataset.
002	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	Novelty of the method and convincing results.	Technical aspect.	"No results on MCI classification.
Not report AUC values."
003	4D-OR: Semantic Scene Graphs for OR Domain Modeling	"This paper is a good proof-of-concept of scene graph in the surgical field. Besides, a new dataset will be made public. Therefore, I recommend an ""accept""."	This paper brings interesting contributions, but it seems more as a proof of concept. Hence I recommend rejection and resubmission for a future MICCAI. The dataset used for evaluation does not seem clinically realistic (at least from the scarce details provided in the paper). The evaluation sections and discussions seem shallow and also lack information on how this approach could translate to clinical practice.	I think the paper would be stronger if the effect of data perturbation is analyzed more and also more information on scenarios captured for this dataset.
004	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	Good complete work.	This overall appears to be a good paper with rigorous methodology and clearly presented results.  The results are of interest to the medical image analysis community at large. The paper would have been stronger if additional datasets were included in the analysis.	The paper is well organized and well written. The experiments are well constructed and thoroughly conducted. The methods are relevant and up-to-date.
005	A Deep-Discrete Learning Framework for Spherical Surface Registration	Please see my comments above.	Good evaluation and valuable method for a real-world problem. However, enthusiasm tempered by the two weaknesses noted above.	The authors' approach is interesting, addresses shortcommings or prior work, and is well explained in this paper.
006	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	Good article, good study, but some correction to do.	"While results show some merit, a clear comparison for diameter meausurements is currently missing
In the current state, a solid round of editing is needed to increase readability of the manuscript.
The editing phase should also try to clarify all aspects in the methodology section to ensure reproducibility."	The method has high clinical application value in the field of medical image analysis  and also has strong experimental comparison.
007	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	This is a good paper that is of interest to the MICCAI community but has a minor weakness.	The problem is somewhat under-explored and the proposed method is evaluated on 4 datasets and it out-performs baseline methods on all 4 of them.	"This paper has merits but I am a bit concerned with the complexity/reproducibility of the method, as well as its applicability.
Since I also had a number of remarks on the clarity and experiments parts of the paper, I am leaning towards rejection."
008	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	The theoretical analysis, the novelty w.r.t. application and the presented experimental results are advantageous for this work. However, the listed weakness of the work prevented a higher rating.	The authors provide a novel framework for joint reconstruction and image synthesis, which is of interest to radiologist. Though more evidence/analysis on different sampling patterns and acceleration rate is needed, this work is insightful and solid.	This paper proposes a learning algorithm with theoretical analysis, and the generation accuracy of reconstruction accuracy has been greatly improved. However, the main contribution of this paper has been proposed, so the innovation of this paper should be improved.
009	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	This paper introduces the image-text matching task into the regional features used to extract images, and the addition of bilinear pools improves the high-order interaction between fine-grained features of images.	"The performance of the paper is good, and the problems this paper tends to solve are clear.
However, some modules are similar to previous works. Therefore, this paper may need to explain the differences. The experiment part is insufficient."	The paper proposes an elegant way to solve various problems pertaining to image captioning in medical imaging which usually looks very similar. Using higher order interaction for fine details coupled with memory slots improves the representation capabilities for report generation. Further the use of pseudo-medical concepts and RL help in pushing the performance further.
010	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	"Overall, this paper indeed proposed a new approach in this domain, however the contributions are limited and the experiments are not enough.
I will consider to improve my rating if the authors can address most of my concerns as stated in the weakness section."	This paper is well and logically written. The main contribution of this paper is that the authors proposed a novel U-Net architecture-based WDMT-Net with a weight decay training strategy and an auxiliary HOG prediction task to simultaneously combat the identity mapping problem and fully exploit the shared commonalities of normal fundus images. However, the description of the motivation for the auxiliary HOG prediction task is unclear and insufficient. Besides, appropriate state-of-the-art approaches for medical image reconstruction should also be reviewed and re-implemented as comparison methods.	The weak reject has been made till current manuscript due to the ambiguity of the motivation and importance of the discounted shortcut. Moreover, the experiments cannot justify the effectiveness of the proposed method.
