id	title	review1	review2	review3
001	34	6	54.0	
002	7	2	9.0	
003	26	64	26.0	
004	3	42	22.0	
005	5	18	17.0	
006	9	48	20.0	
007	18	24	43.0	
008	28	36	39.0	
009	30	39	54.0	
010	44	85	33.0	19.0
011	22	23	22.0	
012	24	41	34.0	
013	32	28	22.0	
014	5	11	7.0	15.0
015	22	25	41.0	
016	12	12	42.0	
017	52	3	20.0	
018	19	10	28.0	
019	26	45	52.0	
020	75	11	33.0	
021	39	22	55.0	
022	5	39	37.0	
023	27	18	6.0	
024	39	40	148.0	
025	35	109	31.0	
026	8	11	47.0	
027	18	53	49.0	
028	131	35	16.0	
029	15	17	32.0	
030	16	22	44.0	44.0
031	18	17	84.0	
032	39	81	19.0	
033	19	28	10.0	
034	4	6	32.0	
035	8	115	39.0	
036	21	57	86.0	
037	38	18	41.0	
038	25	18	31.0	
039	36	14	39.0	
040	61	26	38.0	
041	18	41	2.0	
042	88	39	15.0	
043	29	81	39.0	
044	15	5	24.0	
045	25	26	34.0	
046	7	2	23.0	
047	26	58	124.0	
048	20	14	40.0	
049	57	12	26.0	
050	13	26	50.0	
051	77	18	21.0	
052	37	51	37.0	32.0
053	9	26	10.0	
054	7	68	11.0	
055	19	47	32.0	
056	16	12	5.0	
057	29	43	42.0	
058	38	56	6.0	
059	55	58	35.0	
060	91	96	5.0	
061	14	105	29.0	
062	36	5	62.0	
063	14	55	33.0	
064	43	16	49.0	
065	9	54	13.0	
066	26	52	34.0	
067	14	17	74.0	
068	25	19	17.0	
069	2	32	54.0	
070	24	28	36.0	
071	21	14	14.0	
072	18	25	30.0	
073	54	13	61.0	
074	23	27	29.0	
075	39	55	73.0	
076	16	29	46.0	
077	45	22	51.0	
078	50	6	20.0	
079	31	68	20.0	
080	28	37	22.0	
081	27	60	48.0	
082	18	33	19.0	
083	31	41	48.0	
084	14	13	48.0	
085	24	51	28.0	
086	146	28	21.0	
087	29	43	19.0	
088	15	41	6.0	
089	8	24	4.0	
090	6	22	2.0	
091	48	14	26.0	
092	24	28	21.0	
093	37	19	43.0	
094	4	5	112.0	
095	6	24	25.0	
096	35	15	49.0	
097	25	34	14.0	30.0
098	12	67	70.0	
099	6	22	36.0	
100	35	33	35.0	
101	18	12	22.0	
102	7	11	35.0	
103	34	27	19.0	55.0
104	10	27	18.0	
105	43	52	7.0	
106	31	47	16.0	
107	6	37	46.0	
108	9	12	35.0	
109	35	15	38.0	
110	13	10	19.0	
111	22	19	32.0	
112	27	14	11.0	
113	39	70	26.0	
114	18	51	51.0	
115	36	44	60.0	
116	21	13	2.0	
117	32	44	65.0	
118	22	34	58.0	
119	25	45	3.0	
120	46	49	17.0	
121	19	7	43.0	
122	32	58	20.0	
123	39	59	45.0	
124	6	47	17.0	
125	43	25	27.0	
126	29	24		
127	38	13	16.0	
128	27	16	27.0	
129	20	61	36.0	
130	69	13	21.0	
131	10	39	58.0	
132	18	49	37.0	
133	74	130	39.0	
134	79	21	62.0	
135	7	27	42.0	
136	86	21	28.0	
137	13	59	18.0	
138	17	33	25.0	
139	53	10	44.0	
140	33	30	37.0	38.0
141	56	24	20.0	
142	34	35	10.0	
143	19	13	7.0	
144	17	29	1.0	
145	55	3	20.0	57.0
146	10	40	24.0	10.0
147	17	32	25.0	
148	14	12	59.0	
149	61	29	5.0	
150	35	2	51.0	
151	33	138	17.0	
152	74	33	14.0	
153	31	28	71.0	
154	16	40	16.0	
155	37	31	40.0	
156	19	12	42.0	
157	21	6	84.0	
158	28	34	38.0	
159	15	105	73.0	40.0
160	16	41	14.0	
161	22	13	37.0	
162	11	15	69.0	
163	17	41	19.0	
164	5	48	70.0	
165	68	85	56.0	
166	21	56	1.0	
167	3	15	16.0	
168	29	17	47.0	
169	19	16	18.0	
170	78	30		
171	18	30	29.0	
172	9	8	54.0	
173	66	29	39.0	
174	54	60	10.0	
175	19	33	8.0	
176	42	56	22.0	9.0
177	78	29	23.0	
178	16	32	2.0	
179	20	15	31.0	
180	29	11	5.0	
181	9	16	54.0	
182	16	29	31.0	
183	32	41	59.0	
184	41	9	4.0	
185	44	18	7.0	
186	9	52	73.0	
187	13	13	40.0	
188	28	74	23.0	
189	12	32	39.0	30.0
190	18	37	34.0	
191	35	16	25.0	
192	3	30	14.0	
193	35	11	33.0	
194	18	17	15.0	
195	23	31	110.0	
196	25	18	45.0	16.0
197	23	23	20.0	
198	12	107	44.0	
199	44	11	45.0	
200	10	22	26.0	
201	36	16	13.0	
202	170	39	8.0	
203	57	5	8.0	
204	39	37	16.0	
205	45	21	14.0	
206	3	58	38.0	
207	9	62	52.0	
208	7	28	14.0	
209	26	8	15.0	
210	4	5	20.0	
211	3	22	104.0	
212	12	4	10.0	
213	15	40	23.0	
214	15	21	55.0	
215	34	5	80.0	
216	77	17	39.0	
217	20	21	11.0	
218	15	49	42.0	
219	25	31	65.0	
220	27	11	20.0	
221	8	22	13.0	
222	23	10	16.0	38.0
223	19	6	12.0	14.0
224	99	16	30.0	
225	12	12	33.0	
226	44	12	71.0	
227	15	14	21.0	
228	32	42	53.0	
229	26	28	131.0	
230	18	18	19.0	
231	15	17	6.0	
232	50	73	46.0	
233	15	36	6.0	31.0
234	12	27	10.0	
235	29	15	107.0	
236	13	45	145.0	
237	83	22	18.0	
238	19	17	11.0	
239	11	31	32.0	
240	19	28	40.0	
241	17	28	15.0	
242	57	11	36.0	
243	8	4	15.0	
244	62	15	20.0	
245	28	25	15.0	
246	60	27	18.0	
247	33	47	26.0	30.0
248	46	14	12.0	
249	19	4	75.0	
250	7	44	56.0	
251	44	37	27.0	
252	13	13	31.0	
253	14	10	66.0	
254	42	36	146.0	
255	11	13	7.0	
256	11	49	14.0	
257	31	16	28.0	
258	13	13	18.0	
259	3	137	50.0	
260	11	42	31.0	
261	62	33	50.0	
262	13	8	33.0	
263	122	18	17.0	
264	3	12	38.0	
265	15	36	52.0	
266	17	8	14.0	
267	27	23	25.0	
268	35	33	13.0	
269	11	81	22.0	
270	56	64	18.0	
271	11	26	21.0	6.0
272	45	15	47.0	
273	38	80	34.0	
274	16	55	5.0	53.0
275	46	73	54.0	
276	16	30	26.0	
277	24	22	10.0	
278	12	20	41.0	13.0
279	11	30	19.0	
280	33	36	8.0	
281	44	20	29.0	
282	2	13	20.0	
283	42	15	26.0	
284	30	33	43.0	
285	25	12	70.0	
286	34	44	56.0	
287	28	25	29.0	
288	18	17	5.0	
289	14	76	37.0	
290	9	12	25.0	38.0
291	8	9	26.0	
292	15	23	10.0	
293	26	20	8.0	
294	27	26	13.0	
295	9	8	32.0	
296	76	30	30.0	
297	69	54	68.0	
298	41	30	50.0	
299	31	40	23.0	
300	17	37	85.0	
301	21	17	5.0	27.0
302	25	28	30.0	
303	14	59	20.0	
304	28	47	31.0	
305	25	38	32.0	39.0
306	6	58	41.0	
307	51	22	34.0	
308	154	49	126.0	19.0
309	59	8		
310	4	33	22.0	
311	20	10	27.0	
312	145	34	47.0	
313	30	20	37.0	
314	17	53	44.0	
315	53	46	16.0	
316	32	14	40.0	
317	10	54	51.0	
318	25	8	16.0	
319	12	38	47.0	
320	10	44	13.0	
321	31	108	10.0	40.0
322	62	14	12.0	48.0
323	50	24	19.0	
324	39	17	78.0	
325	29	53	21.0	
326	59	45	101.0	53.0
327	34	7	30.0	
328	39	42	50.0	
329	23	8	18.0	
330	38	27	37.0	
331	18	15	61.0	
332	5	28	94.0	
333	40	74	41.0	
334	29	30	38.0	
335	20	8	38.0	
336	40	53	32.0	
337	20	73	14.0	
338	26	7	23.0	
339	30	28	22.0	
340	35	23	51.0	
341	16	7	41.0	
342	8	39	45.0	
343	82	15	10.0	
344	35	44	71.0	
345	29	15	4.0	
346	15	35	49.0	
347	10	21	73.0	
348	14	12	34.0	
349	60	43	35.0	
350	13	44	11.0	
351	37	30	19.0	
352	21	12	63.0	
353	19	37	57.0	
354	45	101	42.0	
355	47	60	83.0	
356	83	40	83.0	
357	33	46	12.0	
358	63	42	41.0	
359	49	84	38.0	
360	23	14	37.0	
361	31	50	6.0	52.0
362	21	33	16.0	
363	83	29	33.0	
364	36	68	42.0	
365	57	9	68.0	
366	46	28	44.0	
367	32	21	46.0	
368	69	42	33.0	
369	21	7	23.0	49.0
370	21	45	57.0	
371	76	15	44.0	
372	18	10	21.0	23.0
373	23	38	42.0	
374	28	13	55.0	
375	2	7	69.0	
376	31	60	35.0	
377	30	64	1.0	
378	14	58	162.0	
379	5	13	56.0	
380	17	41	42.0	
381	19	21	38.0	
382	40	15	40.0	
383	38	15	5.0	
384	17	55	8.0	
385	5	77	38.0	
386	43	3	39.0	
387	12	18	35.0	
388	27	43	18.0	8.0
389	43	34	53.0	
390	15	27	8.0	
391	13	34	17.0	
392	39	6	33.0	
393	7	10	32.0	
394	21	26	35.0	
395	4	8	19.0	14.0
396	24	19	44.0	
397	21	27	32.0	
398	23	55	14.0	
399	41	75	17.0	
400	3	73	33.0	
401	15	21	21.0	
402	11	10	43.0	
403	67	45	59.0	
404	6	15	21.0	
405	6	47	41.0	
406	17	27	35.0	
407	7	70	50.0	
408	12	42	18.0	
409	28	9	22.0	
410	27	9	17.0	
411	8	26	15.0	
412	33	95	20.0	
413	13	14	27.0	
414	10	9	27.0	
415	28	22	29.0	
416	28	13	45.0	
417	10	38	24.0	
418	55	48	23.0	
419	136	32	33.0	
420	57	11	60.0	
421	5	13	12.0	
422	71	5	80.0	
423	24	26	28.0	
424	13	63	1.0	
425	6	31	71.0	
426	8	38	88.0	
427	22	26	11.0	
428	46	8	56.0	
429	50	36	29.0	
430	66	112	10.0	
431	38	33	18.0	15.0
432	57	54	15.0	
433	7	35	26.0	
434	44	19	40.0	
435	46	47	19.0	
436	140	37	42.0	
437	23	60	3.0	
438	27	23	26.0	
439	54	28	10.0	
440	28	8	37.0	
441	40	65		
442	57	5	15.0	
443	2	4	58.0	
444	49	37	30.0	
445	7	11	9.0	
446	12	51	12.0	
447	11	23	1.0	
448	27	40	34.0	
449	61	29	12.0	
450	20	44	47.0	
451	24	52	43.0	
452	8	64	20.0	
453	13	5	103.0	
454	43	83	23.0	
455	47	17	9.0	
456	31	36	62.0	23.0
457	14	16	30.0	
458	11	25	25.0	
459	24	49	40.0	
460	31	33	15.0	
461	57	9	22.0	
462	13	32	14.0	4.0
463	6	57	26.0	
464	29	19	143.0	
465	47	17	9.0	
466	24	29	37.0	
467	62	38	62.0	24.0
468	66	61	21.0	
469	36	18	7.0	
470	15	21	41.0	
471	21	13	41.0	15.0
472	29	24	41.0	
473	68	30	17.0	
474	61	32	18.0	
475	36	42	44.0	
476	46	15	24.0	
477	12	30	3.0	
478	24	70	26.0	
479	54	29	52.0	
480	4	16	20.0	
481	87	55	33.0	
482	101	12	74.0	
483	16	13	39.0	
484	50	18	93.0	
485	35	59	39.0	
486	148	75	46.0	
487	22	127	19.0	
489	70	89	26.0	
490	29	27	60.0	
491	38	55	11.0	
492	53	19	24.0	
493	31	81	46.0	
494	26	82	45.0	
495	45	22	35.0	
496	29	25	22.0	
497	37	11	52.0	
498	37	38	63.0	
499	13	48	4.0	18.0
500	19	16	6.0	
501	12	38	45.0	
502	88	56	25.0	
503	5	13	14.0	
504	61	32	26.0	
505	11	73	19.0	
506	47	39	41.0	
507	7	42		
508	66	20	10.0	
509	45	20	94.0	
510	20	8	15.0	
511	22	13	54.0	
512	45	12	45.0	
513	5	15	54.0	
514	45	27	8.0	
515	27	25	31.0	
516	15	41	13.0	
517	34	91	28.0	
518	12	17	22.0	
519	39	31	83.0	
520	29	15	7.0	
521	53	26	23.0	
522	24	4	34.0	
523	43	50	13.0	
524	16	39		
525	20	22	39.0	19.0
526	51	19	14.0	
527	71	16	67.0	
528	27	30	9.0	
529	98	3	13.0	
530	12	23	39.0	
531	62	17	47.0	
532	28	21	10.0	
533	23	7	52.0	
534	14	28	16.0	
535	50	43	4.0	
536	24	70	7.0	
537	43	7	44.0	
538	60	51	35.0	
539	32	7	3.0	
540	19	10	41.0	
541	8	22	23.0	
542	29	56	39.0	
543	15	27	55.0	
544	24	10	9.0	
545	19	40	31.0	15.0
546	14	23	57.0	
547	21	15	14.0	
548	44	38	18.0	
549	16	34	45.0	
550	9	37	70.0	49.0
551	55	14	21.0	
552	36	29	25.0	
553	36	12	24.0	
554	18	32	20.0	
555	41	21	18.0	
556	4	7	80.0	
557	78	35	42.0	73.0
558	14	12	69.0	
559	11	16	46.0	
560	74	4	5.0	
561	35	52	27.0	
562	24	60	55.0	
563	41	31	3.0	8.0
564	21	22	49.0	
565	11	8	17.0	22.0
566	18	28	8.0	
567	27	41	54.0	
568	37	12	68.0	
569	13	15	13.0	
570	41	10	57.0	
571	7	161	53.0	
572	17	29	17.0	
573	39	6	31.0	
574	29	1	10.0	
