id	title	review1	review2	review3
001	4	4	19.0	
002	15	14	6.0	
003	47	25	9.0	
004	1	66	29.0	
005	5	1	38.0	
006	24	35	21.0	
007	6	59	19.0	
008	27	10	5.0	
009	18	24	21.0	
010	7	28	4.0	19.0
011	1	39	13.0	
012	50	8	20.0	
013	8	24	13.0	
014	5	5	7.0	14.0
015	14	5	12.0	
016	14	8	24.0	
017	7	5	12.0	
018	21	10	29.0	
019	12	32	31.0	
020	88	15	13.0	
021	18	16	2.0	
022	7	18	19.0	
023	6	15	18.0	
024	31	31	22.0	
025	42	202	1.0	
026	1	1	12.0	
027	3	24	14.0	
028	10	23	33.0	
029	6	10	11.0	
030	1	4	21.0	2.0
031	5	8	21.0	
032	12	12	13.0	
033	37	16	8.0	
034	9	8	20.0	
035	33	28	12.0	
036	19	14	14.0	
037	31	17	28.0	
038	4	41	23.0	
039	9	1	21.0	
040	23	6	196.0	
041	4	5	1.0	
042	14	18	7.0	
043	1	35	40.0	
044	7	42	12.0	
045	3	8	7.0	
046	25	9	22.0	
047	6	21	2.0	
048	81	2	14.0	
049	7	11	24.0	
050	45	3	56.0	
051	62	3	21.0	
052	20	17	5.0	5.0
053	11	17	28.0	
054	6	40	15.0	
055	15	8	28.0	
056	11	6	19.0	
057	72	8	15.0	
058	9	8	5.0	
059	9	11	38.0	
060	1	73	11.0	
061	12	64	44.0	
062	53	23	7.0	
063	21	48	22.0	
064	10	6	24.0	
065	4	9	12.0	
066	12	1	21.0	
067	12	14	43.0	
068	21	10	29.0	
069	12	1	56.0	
070	29	11	16.0	
071	14	90	15.0	
072	5	9	14.0	
073	3	9	9.0	
074	19	17	8.0	
075	5	14	49.0	
076	12	8	27.0	
077	21	3	61.0	
078	103	29	24.0	
079	21	26	28.0	
080	9	7	6.0	
081	52	36	28.0	
082	12	167	8.0	
083	13	27	10.0	
084	8	7	58.0	
085	41	36	9.0	
086	7	10	8.0	
087	4	44	16.0	
088	24	5	4.0	
089	2	8	3.0	
090	27	25	26.0	
091	10	18	25.0	
092	42	63	14.0	
093	12	16	2.0	
094	4	5	13.0	
095	13	34	47.0	
096	32	7	29.0	
097	16	32	22.0	11.0
098	18	39	28.0	
099	14	1	10.0	
100	53	7	17.0	
101	12	13	48.0	
102	14	2	13.0	
103	6	19	21.0	11.0
104	11	1	1.0	
105	13	37	22.0	
106	6	14	11.0	
107	15	20	8.0	
108	24	60	31.0	
109	5	7	18.0	
110	12	12	20.0	
111	7	5	17.0	
112	14	19	4.0	
113	25	93	23.0	
114	9	21	36.0	
115	64	36	8.0	
116	20	7	3.0	
117	9	11	34.0	
118	18	16	10.0	
119	23	49	1.0	
120	16	15	6.0	
121	25	19	32.0	
122	39	1	5.0	
123	69	28	33.0	
124	40	24	11.0	
125	6	17	5.0	
126	80	10		
127	12	24	5.0	
128	14	16	7.0	
129	15	22	21.0	
130	64	12	3.0	
131	8	10	25.0	
132	34	12	85.0	
133	91	9	34.0	
134	24	13	19.0	
135	4	26	28.0	
136	1	12	1.0	
137	22	29	7.0	
138	12	13	11.0	
139	1	2	49.0	
140	28	36	14.0	32.0
141	12	68	21.0	
142	12	16	43.0	
143	13	7	5.0	
144	15	2	53.0	
145	29	3	9.0	32.0
146	15	5	15.0	17.0
147	29	30	7.0	
148	18	9	33.0	
149	31	9	21.0	
150	28	4	38.0	
151	17	66	28.0	
152	12	27	40.0	
153	41	57	109.0	
154	27	18	8.0	
155	14	8	26.0	
156	18	15	21.0	
157	12	14	58.0	
158	7	30	2.0	
159	1	11	60.0	23.0
160	16	24	14.0	
161	15	3	9.0	
162	15	44	42.0	
163	37	45	11.0	
164	53	20	1.0	
165	41	4	37.0	
166	39	8	6.0	
167	1	10	18.0	
168	10	34	31.0	
169	1	16	18.0	
170	60	1		
171	62	11	27.0	
172	6	1	50.0	
173	251	31	14.0	
174	8	46	12.0	
175	35	28	7.0	
176	16	15	22.0	2.0
177	18	19	10.0	
178	10	6	11.0	
179	1	47	17.0	
180	25	8	3.0	
181	32	18	19.0	
182	18	32	77.0	
183	21	79	38.0	
184	25	32	25.0	
185	45	45	23.0	
186	3	4	3.0	
187	3	11	38.0	
188	13	11	14.0	
189	26	39	19.0	11.0
190	24	39	59.0	
191	7	4	20.0	
192	8	12	20.0	
193	38	10	25.0	
194	43	22	7.0	
195	20	11	39.0	
196	20	49	39.0	8.0
197	13	54	14.0	
198	12	93	19.0	
199	81	7	41.0	
200	7	28	4.0	
201	9	25	16.0	
202	12	17	9.0	
203	21	1	11.0	
204	24	11	15.0	
205	16	7	14.0	
206	32	56	9.0	
207	11	18	69.0	
208	27	22	27.0	
209	22	19	8.0	
210	2	2	8.0	
211	2	1	55.0	
212	22	4	7.0	
213	11	17	34.0	
214	15	26	16.0	
215	26	21	48.0	
216	40	2	14.0	
217	22	27	17.0	
218	12	30	29.0	
219	8	3	5.0	
220	4	100	24.0	
221	1	20	23.0	
222	1	1	36.0	9.0
223	13	12	2.0	3.0
224	55	14	50.0	
225	13	18	15.0	
226	39	7	3.0	
227	2	13	1.0	
228	54	151	23.0	
229	20	24	95.0	
230	23	21	1.0	
231	1	14	41.0	
232	27	25	9.0	
233	2	4	16.0	13.0
234	18	23	15.0	
235	11	34	16.0	
236	27	16	13.0	
237	27	1	6.0	
238	19	9	9.0	
239	5	11	1.0	
240	27	15	29.0	
241	20	54	1.0	
242	10	9	13.0	
243	43	3	10.0	
244	28	19	14.0	
245	3	23	10.0	
246	85	24	23.0	
247	28	38	4.0	50.0
248	38	7	6.0	
249	1	8	7.0	
250	2	53	36.0	
251	42	12	2.0	
252	5	9	43.0	
253	19	4	14.0	
254	20	8	67.0	
255	14	11	14.0	
256	2	15	11.0	
257	4	3	16.0	
258	10	14	9.0	
259	92	24	11.0	
260	9	30	16.0	
261	68	25	54.0	
262	9	19	9.0	
263	57	5	13.0	
264	2	5	50.0	
265	2	4	52.0	
266	45	10	12.0	
267	30	14	21.0	
268	9	10	16.0	
269	6	192	11.0	
270	10	33	9.0	
271	3	10	92.0	5.0
272	28	17	11.0	
273	48	41	20.0	
274	11	44	7.0	16.0
275	27	7	30.0	
276	52	38	34.0	
277	7	27	41.0	
278	1	36	24.0	38.0
279	2	8	13.0	
280	18	8	16.0	
281	8	1	40.0	
282	4	2	10.0	
283	18	8	13.0	
284	17	37	10.0	
285	43	3	40.0	
286	31	2	5.0	
287	60	16	28.0	
288	11	11	8.0	
289	7	15	52.0	
290	28	1	26.0	5.0
291	3	14	9.0	
292	27	11	18.0	
293	11	7	14.0	
294	49	31	8.0	
295	29	8	26.0	
296	13	1	5.0	
297	27	31	44.0	
298	33	7	7.0	
299	38	39	1.0	
300	11	38	40.0	
301	14	16	7.0	34.0
302	18	9	15.0	
303	9	23	43.0	
304	18	11	19.0	
305	73	14	26.0	8.0
306	12	24	27.0	
307	102	8	14.0	
308	11	38	26.0	14.0
309	20	7		
310	24	5	9.0	
311	53	15	10.0	
312	38	10	8.0	
313	152	41	97.0	
314	39	16	10.0	
315	15	16	1.0	
316	12	2	32.0	
317	2	22	7.0	
318	12	6	12.0	
319	4	15	28.0	
320	20	7	17.0	
321	5	95	8.0	43.0
322	41	1	10.0	31.0
323	10	7	32.0	
324	19	14	1.0	
325	28	23	7.0	
326	25	48	49.0	10.0
327	17	1	116.0	
328	8	4	251.0	
329	9	6	12.0	
330	20	15	25.0	
331	79	8	21.0	
332	2	226	2.0	
333	12	96	9.0	
334	31	34	13.0	
335	8	12	9.0	
336	13	4	1.0	
337	6	44	4.0	
338	23	8	29.0	
339	22	3	22.0	
340	20	4	27.0	
341	25	32	12.0	
342	2	29	18.0	
343	54	13	9.0	
344	6	48	17.0	
345	15	19	6.0	
346	10	12	35.0	
347	1	24	18.0	
348	25	14	27.0	
349	19	30	6.0	
350	28	24	22.0	
351	4	30	24.0	
352	12	4	22.0	
353	11	15	12.0	
354	4	31	37.0	
355	9	10	25.0	
356	14	14	17.0	
357	15	6	10.0	
358	15	46	13.0	
359	29	163	12.0	
360	19	10	39.0	
361	47	52	11.0	30.0
362	68	4	29.0	
363	99	7	16.0	
364	56	53	1.0	
365	3	11	12.0	
366	16	15	6.0	
367	4	17	8.0	
368	14	6	13.0	
369	14	9	9.0	18.0
370	19	24	46.0	
371	4	16	17.0	
372	15	16	4.0	16.0
373	9	4	15.0	
374	39	19	49.0	
375	19	1	39.0	
376	21	382	39.0	
377	1	16	10.0	
378	19	10	58.0	
379	13	8	38.0	
380	1	66	10.0	
381	18	2	28.0	
382	29	46	8.0	
383	8	4	16.0	
384	37	15	1.0	
385	6	62	8.0	
386	8	1	15.0	
387	44	47	6.0	
388	131	6	35.0	1.0
389	57	20	59.0	
390	1	21	2.0	
391	33	32	16.0	
392	8	10	10.0	
393	21	1	12.0	
394	16	1	6.0	
395	17	5	24.0	2.0
396	22	15	43.0	
397	2	19	14.0	
398	24	88	24.0	
