id	title	review1	review2	review3
001	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	"This paper extends the 2D CVT to 3D CVT, which is useful and helpful for 3D data.
This work builds a 3D CVT-GAN for reconstructing SPET images from LPET images, and the experimental results are satisfactory."	"The method is clear and makes sense.
The results include comparison with multiple state-of-the-art low-dose PET synthesis methods.
The method was evaluated on real low-dose PET instead of simulated low-dose PET."	"Ablation study is provided to evaluate the effectiveness of each proposed modules, including patch-based discriminator, 3D CVT blocks, 3D TCVT blocks and convolutional embedding and projection.
Comparisons with state-of-the-art methods show the superiority of proposed method.
This paper is clearly written and easy to follow."
002	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	"Using Fourier networks for AD diagnosis is novel.
The method outperforms a large number of competing methods.
The authors present an interesting ablation study."	"-Used public datasets like ADNI
-Compare with state-of the art"	Method is described clear with good experimental results.
003	4D-OR: Semantic Scene Graphs for OR Domain Modeling	"A new 4D-OR dataset is built and will be released, which will benefit the community.

The idea of using semantic scene graph for holistic OR understanding is significant, which has the potential to make an impact.

The paper achieves scene graph generation by assembling several state-of-the-art computer vision methods into a reasonable and effective pipeline."	"The paper is clear and well-written. The methodology is clearly explained, and its explanation makes for most of the content of the paper. The proposed method appears to be reproducible thanks to all the details provided and that is a good thing.
This paper can contribute to future context-aware systems with an automatic and holistic understanding of the activities happening in the OR. A rich dataset is introduced, which can be used by the community for developing and evaluating similar approaches and go one step closer towards a smart OR. Indeed, the presented dataset is complex and is challenging to obtain. Synchronizing and calibrating six RGB-D cameras, with all the post-processing needed, is not an easy task. The dataset also provides several kinds of annotations. The quantitative results provided will represent a baseline for future papers.
I also find this paper interesting because MICCAI has already seen similar works but rather dealing with images coming from minimally invasive surgeries (such as laparoscopic videos or robot-assisted surgeries).  Yet this paper deals with recordings from a conventional orthopedic procedure from ceiling cameras. This is promising because today around 90% of total knee replacement surgeries are still performed using conventional instrumentation (no navigation, cameras, or robot present). Hence, this paper shows that conventional approaches can also benefit from smart context-aware systems in the near future."	"Focused on a problem of holistic scene understand in the OR that can benefit many applications
Generated a novel dataset with annotation
Making the dataset publicly available
Achieving high performance on detecting roles and relationship"
004	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	The paper is a solid set of experiments on using modern architectures on relatively small datasets and evaluating performance. The discussion of the findings are thought provoking and interesting. It provides good guidance for fertilizing future work.	"The paper brings a new class of models to the attention of the medical imaging community. Results can be easily applied by other researchers
Transfer learning from ImageNet is still the standard practice in the medical domain, especially when dataset size is small, and thus the results are relevant
Experiments are comprehensive and provide practical pointers e.g., related to the optimal batch size"	"The experiments are thorough - they are well designed and thoroughly executed. It well backs the papers claim and contribution.
The topic and experiments are relevant - the network architectures (BiT, ViT) that the authors experiment with are probably relevant to the readers interest."
005	A Deep-Discrete Learning Framework for Spherical Surface Registration	The paper proposes a neural nets-based spherical registration. The underlying theory is based on existing spherical registration [22,23] and MoNet architecture [9]. Although theoretical contributions seem weak in this work, the authors integrated existing approaches into a single framework. The proposed method was validated on a part of the HCP dataset (N~1.1k) with other spherical registration methods. The results show comparable performance (especially to Spherical Demons) while reducing computing time.	The proposed method uses different architecture choices compared to the closest existing work, S3Reg, that simplify the approach, eliminating the need to average multiple solutions. The overall design of the approach makes sense for the registration problem at hand. The method is very clearly explained. The evaluation is excellent, using the very large Human Connectome Project dataset, and comparing to several conventional methods and S3Reg under different parameter settings. The comparison considers both quality of matching and distortion, making it more thorough.	The authors address a weakness of a prior learning-based approach, i.e. lacking equivariance of filters, by incorporating a suitable solution from another paper. The authors' design is creative and well tailored to the problem at hand. Furthermore, the authors provide sensible explanations about the components of their method and present evaluations providing insight into different dimensions of their results, e.g. looking at distributions of strain etc..
006	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	"The main strengths of this work are :

Considering the shape of the aorta in the segmentation process, and then by extent, the fact that the segmentation must be anatomically plausible
Validation on a database with different diseases
Evaluation of the method according to the part of the thoracic aorta (ascending, arch and descending)
Good results"	"The work proposed a novel pipeline for the automatic segmentation of the aortic lumen. 
The authors show that this pipeline outperforms previous works on both healthy and diseased aortas. It is of potential interest to the community given the limited amount of work on image analysis of chronic aortic syndromes [1,2].
[1] Fleischmann, Dominik, et al. ""Imaging and Surveillance of Chronic Aortic Dissection: A Scientific Statement From the American Heart Association."" Circulation: Cardiovascular Imaging 15.3 (2022): e000075.
[2] Pepe, Antonio, et al. ""Detection, segmentation, simulation and visualization of aortic dissections: A review."" Medical image analysis 65 (2020): 101773."	Strong evalutation: The proposed method is applied to the aorta segmentation and  diameter measurement. The paper gives a reasonable detailed comparison with other methods which shows the performance of the proposed method.
007	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	"The approach leverages a slice propogation network to propogate information from use scribbles on one slice to adjacent ones using memory modules. A volume propogation network is used to perform volumetric segmentation and generate features for the memory modules. This is an interesting approach that is novel to my knowledge and is broadly applicable.
The approach is tested on segmentation of multiple organs and compared to multiple methods. Quantitative results are impressive. The method appears to generalize well to a variety of applications."	"The interactive segmentation of medical images is an important but under-studied problem.
The proposed method improves performance over existing interactive segmentation methods on multiple datasets.
The paper is well written and relatively easy to follow."	"This paper addresses a relevant (yet not particularly researched) problem, namely interactive segmentation. This is particularly important nowadays to help clinician annotate images more efficiently.
The method is compared on several datasets and to several baseline approaches."
008	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	"(1) The proposed joint MRI reconstruction and synthesis comes with theoretical analysis.
(2) A bilevel optimization is used for parameter updating.
(3) Experimental results, especially some visual results zoomed in on tumor regions, shows its potential utility and value in practice."	"This paper delivers an solid work on jointly reconstruct undersampled MRI images and perform the image synthesis, the paper is well written and include a thorough analysis and metric comparison. The method is also well described, In general, a very solid work.
In terms of both quantitative metric, as well as the visual image quality, the proposed method provide superior results compared to other methods, also, including the results in the regions of pathologies (Fig 2) delivers more diagnostic value of the paper."	In this paper, the convergence of multi contrast joint reconstruction and generation learnable algorithm is guaranteed by controlling the super parameters, and the idea of meta learning is used to optimize the super parameters to obtain the balance of multiple regular terms.
009	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	"1.The paper injects bilinear-pooling into the self-attention to capture the 2nd or even higher-order interactions of the input fine-grained visual features.
2.To record the historical information, the paper extents the set of keys and values with additional ""memory-slots"" to encode and collect the features from all the previous processes.The paper utilized ReLU instead of softmax unit to prune out all negative scores of low query-key relevance, automatically ensuring the sparse property of the attention weight."	"1.Memory-augmented Sparse Attention module combines the memory mechanism and squeeze-excitation operation to capture the higher-order interactions.
2.CLIP is used to extract features of the image, which is not used in this task before.

the performance of this method is good."	"The motivation for using higher order interaction for extracting fine-grained detail in x-ray images for report generation was well justified and well verified through the experimentation. Coupled with sparse attention, was able to improve the efficiency.
The proposed MSA module having memory slots with sparse attention was able to perform significantly better than vanilla self-attention.
The medical concepts from RadGraph enhance the performances by providing semantic information.
Thorough comparison with state of the art  and ablation with various components introduced in the paper"
010	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	"Exploration of HOG feature prediction for medical image reconstruction is indeed interesting and novel.

The proposed method achieved the SOTA results on the dataset."	"a)   Different from the previous reconstruction-based approaches which are built upon auto-encoder architecture without skip connection, this paper proposes a novel WDMT-Net with an auxiliary HOG prediction task that adapts U-shape network to anomaly detection task.
b)   A weight decay training strategy and an auxiliary HOG prediction task are respectively designed to suppress the identity mapping problem and make full use of the shared commonalities of normal fundus images.		
c)   Experimental results demonstrate that the proposed method outperforms other state-of-the-art anomaly detection methods.
d)  The detailed description of the model and experiment in this paper is accurate and clear. The writing of this paper is coherent and easy to understand."	"1.This paper comes up with two questions and do validation experiments : whether the skip connection can be helpful for improving the anomaly detection performance?whether the HOG prediction task can serve the image reconstruction (main task) as auxiliary and assist the anomaly detection?
2.This paper's method demonstrates its effectiveness for detecting abnormal regions in retinal fundus images."
011	A New Dataset and A Baseline Model for Breast Lesion Detection in Ultrasound Videos	"The dataset and its annotations would be of value to many investigators.
The detection algorithm performs well in cased when the lesion is known to be in the video."	The method is novel and well justified and presented in details. The data set is nicely gathered and annotated by experts. The experiments are well done and the results are valuable. The authors offer their data and their code to the scientific community.	"Releasing of the data upon acceptance
Use of transformers for lesion detection"
012	A Novel Deep Learning System for Breast Lesion Risk Stratification in Ultrasound Images	"Adding BI-RADS as an additional task to the pathology is novel, to the best of my knowledge, as well as the consistency loss.
In the presented results the proposed architecture has superior performance compared to other architectures."	Very easy to understand, reasonable model design. Great datasets. Comparisons and ablations are fairly thorough. Results show substantial improvements on many metrics	The paper is well written and has good experimental validation of claims. The proposed approach shows good improvements over other baselines and can have broader applicability to other domains. Abalation study showing the gains from the proposed loss functions and student-teacher method is provided. CAM analysis shows the intended benefits of the loss functions are observed.
013	A Novel Fusion Network for Morphological Analysis of Common Iliac Artery	"The application is novel.
Morphological analysis is a sound idea.
It is good to see that the authors attempted to use the ablative analysis to back up the claims regarding the proposed network modules."	"Clear description: The structure diagram and formula are clearly described, and the method part is clearly organized.
Clear motivation: Fluent writing and clear clinical meaning."	"The paper designs an interesting way that combines CNN and Swin Transformer for the ends of the common iliac artery and the edge pixels segmentation.
The authors propose a morphological analysis algorithm to obtain anatomical information on the common iliac arteries (the minimum inner diameter, access diameter, and tortuosity)."
014	A Novel Knowledge Keeper Network for 7T-Free But 7T-Guided Brain Tissue Segmentation	1) Clear presentation and well written manuscript	This work presents a knowledge keeper network to extract 7T-like representations from 3T image, without paired-7T images during training.	The method is novel and effective. They propose a novel knowledge keeper network (KKN) to extract 7T-like representations from a 3T image that can further guide tissue segmentation to take advantage of the contrast information of 7T without 7T images.
015	A Penalty Approach for Normalizing Feature Distributions to Build Confounder-Free Models	Learning representations that are free of confounding factors is an important aspect for a wide range of tasks in medicine and beyond. The evaluation is extensive and illustrates the proposed scheme is less affected by smaller batch sizes than the original approach.	This paper slightly improved from MDN to learnable and trainable version, to better perform the regression and handle the difficulty of large batch size.	"Compared to conventional MDN, the beta in proposed PMDN is learnable and  is not confined by the batch size.
The figure 1 is very clear and is helpful to understand the overview of this paper.
The writing and organization of this paper is good and easy to follow."
016	A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects	The network seems to perform well. Using the raw k-space data to predict missing samples is a really interesting approach and the application of  Transformers in this context seems very relevant.	The main strength of this paper is the application of the transformer network in predicting the skipped radial spokes. The radial spokes were acquired sequentially which makes the transformer network a good fit.	The idea of treating the radial acquisition lines as a sequence is novel. It allows the authors to use the transformer network for this problem which is not obvious.
017	A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation	"1) The idea of designing a 3D pure transformer for medical image segmentation is novel, given that 3D transformer is not easy to train and requires careful design like the parallel cross-attention and self-attention.
2) The effectiveness of the proposed method is demonstrated on a large MRI dataset with better performance than all the other pure CNN baselines and CNN+transformer baselines.
3) The paper well-written and structured, the figures help a lot on illustrate the ideas."	"1) VT-UNet has very less number of parameters and computational complexity when compared to the other recent works while getting better performance.
2) The concept of introducing parallel cross-attention and self-attention in the expansive path to create a bridge between queries from the decoder and keys & values from the encoder is good.
3) The proposed method is purely transformer based and improves upon the previous works and shows clear distinction when compared to them.
4) The paper is neatly organized and clear to understand."	"The high performance comparing with other methods is the key strength of this paper, and the model size is also excellent.
The shared projection of the queries and independently computes cross and self-attention is an interesting contribution."
018	A Self-Guided Framework for Radiology Report Generation	"(1) The writing of the paper is very standardized and logically clear, and it is easy to read.
(2) Figures and tables are very clear and detailed explanations are given.
(3) The experimental part is adequate with detailed analysis."	"*	Unsupervised clustering acts as knowledge extraction from domain-specific knowledge source i.e, radiology reports.
*	The reuse of report-embedding extracted from sentence-bert in report generator for supervised cosine similarity loss is interesting."	The paper is written methodically and provides step by step description of the various stages of model development and demonstrates validation by help of visual representations ( Fig 3, heat maps) which allows easy co-relation between observing visual features and corresponding text generated.
019	A Sense of Direction in Biomedical Neural Networks	The two strengths of the paper are the novelty and relevance of the approach as well as the experimental evaluation which is thorough.	"it improves an already well performing state of the art method
a comprehensive evaluation has been done on public datasets which highlights improvements and limitations of the method"	"This work points out that MASC [8] sometimes is unstable and proposes to solve it by calibrated response shaping and a phase-offset rotational error (PoRE).

This paper combines the convolution operations with the orientation information, like using Gabor filters. The proposed model has about 1% parameters to U-Net and shows comparable performance.

Experiment datasets contain two retinal fundus image datasets and one histology image dataset. The proposed G-MASC shows comparable performance on DRIVE, and works better on MoNuSeg, comparing to MASC.

PoRE design is reasonable to regularise the filters to keep local relationships, which is also verified in the ablation study."
020	A Spatiotemporal Model for Precise and Efficient Fully-automatic 3D Motion Correction in OCT	"The paper provides a good introduction, and a good explanation of the differences between the proposed method and the competing ones.
The proposed method requires a different protocol for scanning, with a single mapping, which takes less time, so it potentially leads to less errors caused by saccadic movement or by wandering eye from the patients, as well as less discomfort.
The proposed method is 5 times faster than the fastest method it was compared against
The proposed method supposedly provides a dramatic improvement over competing methods on registration accuracy."	"The authors proposed a novel strategy to correct OCT volumetric distortion.
The authors made experiments based on patients to prove the effectiveness.
The authors proposed the first metric quantification of errors in OCT motion correction."	using non-rigid registration compare to rigid-registration, using regularization term , using a-scan and B-scan information , motion compensation throughout fast microsaccadic eye movements.
021	A Transformer-Based Iterative Reconstruction Model for Sparse-View CT Reconstruction	This paper introduced a novel unfolded iterative reconstruction model, which combined convolution and transformer branches to simultaneously extract local and non-local regularization terms.	"a. The motivation to introduce transformer is clearly described.
b. A new module called iteration transmission is proposed to connect the iterations to improve the deep feature extraction and structure preservation.
c. The results look promising."	"1 design an iteration block to simultaneously learn the local and nonlocal regularizer. 
2 IT model is proposed to build the communications between different iterations."
