id	title	review1	review2	review3
001	36	31	45.0	
002	24	10	8.0	
003	55	222	35.0	
004	37	63	44.0	
005	70	82	66.0	
006	56	98	32.0	
007	83	35	37.0	
008	41	83	42.0	
009	75	40	83.0	
010	24	110	57.0	67.0
011	29	43	12.0	
012	37	22	56.0	
013	34	25	49.0	
014	7	19	40.0	20.0
015	42	24	48.0	
016	31	33	29.0	
017	76	85	37.0	
018	39	32	43.0	
019	23	28	101.0	
020	90	35	23.0	
021	23	36	25.0	
022	34	43	32.0	
023	45	30	52.0	
024	47	81	91.0	
025	31	51	19.0	
026	68	11	80.0	
027	42	56	68.0	
028	17	26	12.0	
029	28	47	52.0	
030	18	49	80.0	40.0
031	43	54	35.0	
032	40	34	48.0	
033	60	11	57.0	
034	29	60	38.0	
035	72	69	59.0	
036	31	53	48.0	
037	46	44	58.0	
038	34	42	42.0	
039	9	25	34.0	
040	45	50	107.0	
041	47	161	29.0	
042	60	52	13.0	
043	33	36	56.0	
044	67	71	29.0	
045	32	39	32.0	
046	22	51	93.0	
047	62	51	40.0	
048	263	19	68.0	
049	33	23	31.0	
050	20	36	66.0	
051	201	8	18.0	
052	38	29	34.0	12.0
053	26	69	34.0	
054	49	102	35.0	
055	17	51	44.0	
056	30	37	23.0	
057	40	36	94.0	
058	19	72	20.0	
059	67	102	44.0	
060	1	95	22.0	
061	21	137	67.0	
062	29	20	62.0	
063	59	73	20.0	
064	47	32	44.0	
065	13	134	21.0	
066	78	52	63.0	
067	53	62	50.0	
068	29	33	79.0	
069	11	57	43.0	
070	55	29	23.0	
071	41	127	50.0	
072	88	19	35.0	
073	152	13	15.0	
074	65	37	87.0	
075	73	58	17.0	
076	10	23	36.0	
077	31	22	94.0	
078	152	69	80.0	
079	75	52	39.0	
080	25	60	39.0	
081	58	54	80.0	
082	30	87	5.0	
083	47	147	62.0	
084	36	30	97.0	
085	64	38	33.0	
086	39	48	73.0	
087	48	56	61.0	
088	30	40	31.0	
089	11	63	14.0	
090	46	85	7.0	
091	40	27	25.0	
092	25	28	48.0	
093	117	72	91.0	
094	21	26	72.0	
095	30	26	105.0	
096	86	35	53.0	
097	25	63	43.0	32.0
098	26	138	18.0	
099	32	83	41.0	
100	67	62	59.0	
101	18	18	40.0	
102	23	12	69.0	
103	48	48	80.0	46.0
104	95	17	18.0	
105	33	74	43.0	
106	36	34	31.0	
107	55	32	27.0	
108	41	30	155.0	
109	142	16	43.0	
110	43	19	35.0	
111	58	46	90.0	
112	142	65	14.0	
113	35	137	11.0	
114	27	33	37.0	
115	18	59	24.0	
116	45	29	111.0	
117	119	41	41.0	
118	89	44	21.0	
119	26	97	6.0	
120	170	51	58.0	
121	13	80	11.0	
122	25	28	21.0	
123	14	65	77.0	
124	15	48	44.0	
125	37	36	41.0	
126	47	29		
127	53	70	21.0	
128	30	15	61.0	
129	27	50	19.0	
130	74	27	13.0	
131	12	41	64.0	
132	105	59	147.0	
133	88	43	23.0	
134	33	51	53.0	
135	27	53	106.0	
136	1	34	43.0	
137	34	167	37.0	
138	24	39	56.0	
139	20	16	11.0	
140	116	100	37.0	22.0
141	41	68	73.0	
142	24	32	60.0	
143	36	35	22.0	
144	53	41	54.0	
145	91	6	20.0	109.0
146	23	44	40.0	37.0
147	24	49	62.0	
148	29	92	56.0	
149	40	22	38.0	
150	94	21	64.0	
151	7	78	29.0	
152	55	54	25.0	
153	73	29	86.0	
154	50	51	73.0	
155	49	28	53.0	
156	53	54	91.0	
157	55	80	40.0	
158	44	75	40.0	
159	28	58	68.0	27.0
160	45	85	63.0	
161	88	65	43.0	
162	17	23	71.0	
163	88	88	15.0	
164	21	98	70.0	
165	26	42	57.0	
166	43	43	17.0	
167	71	60	95.0	
168	39	53	46.0	
169	25	37	33.0	
170	88	17		
171	30	27	49.0	
172	34	7	58.0	
173	45	54	72.0	
174	45	54	25.0	
175	41	15	15.0	
176	27	110	38.0	23.0
177	58	56	51.0	
178	35	22	101.0	
179	12	34	18.0	
180	42	64	25.0	
181	26	53	25.0	
182	28	49	69.0	
183	97	137	129.0	
184	80	39	32.0	
185	111	16	82.0	
186	15	25	53.0	
187	27	28	37.0	
188	25	13	36.0	
189	31	52	20.0	38.0
190	41	60	127.0	
191	18	30	41.0	
192	15	45	37.0	
193	48	28	53.0	
194	41	5	27.0	
195	23	5	53.0	
196	24	36	52.0	33.0
197	44	34	30.0	
198	36	206	44.0	
199	52	50	90.0	
200	7	90	95.0	
201	25	32	24.0	
202	38	37	28.0	
203	13	30	25.0	
204	26	29	91.0	
205	28	62	19.0	
206	35	39	12.0	
207	36	77	36.0	
208	52	107	42.0	
209	39	36	53.0	
210	50	12	47.0	
211	61	72	87.0	
