id	title	review1	review2	review3
001	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction	"The writing and organization need to be improved. Specifically, the methodology can be simplified while the visual comparison of ablation study can be appended.
Except for the number of parameters, the FLOPs can be shown for further evaluation of model complexity."	"There are so many transformer-based methods. And the method is not considered to be novel anymore.
The performance improvement is subtle.
The dataset is too small."	"Although the proposed method outperforms other methods in terms of PSNR, SSIM and NMSE, there is no too much difference in the visualization results as shown in Fig.2 for method of 3D-cGAN Transformer. It's better to provide some zoom-in regions to highlight the better result got by proposed method.
Statistic evaluations such as PSNR and SSIM may not be sufficient enough for proving the reconstruction effectiveness in clinical aspect, this paper can consider adding reader study for clinical diagnosis of NC and MCI using either GT SPECT or reconstructed SPECT respectively.
There is no explanation why the model size of proposed method is smaller than other methods."
002	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI	"Details about the competing methods are missing.
There is no time comparison.
The relevance of the shapely analysis is not clear because it is not done for other methods, for example CNNs."	The  idea of frequency filter is already proposed and used (ex., https://ieeexplore.ieee.org/document/7504251, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485015/).	"(1) Motivation is not clear. Why the global information in the frequency domain is useful, What if just enhence the global information, as done by multihead attention?
(2) Not report results on MCI classificaiton."
003	4D-OR: Semantic Scene Graphs for OR Domain Modeling	"As for the clinical role experiment, I wonder why the authors did not embed the role into the scene graph where the relations will be like ""Assistant surgeon assist head surgeon"" instead of ""human1 assist human2"". What is the benefit of a role-agnostic scene graph?

The human poses and object boxes in the new dataset are automatically generated by the Kinetic SDK. What is the accuracy of these generated annotation? How does this source of error affect the evaluation of this paper?"	"The paper lacks details about how realistic the surgeries included in the dataset actually are. This is important for the reader to get an understanding of how challenging the clinical role prediction task is from the data. Also, since the surgeries are simulated, it is not clear if the most important parts of the knee replacement procedure are actually included in the data, namely everything that happens after the knee incision (placement of cutting guides, bone resections, knee joint assessment, trial implants, cement preparation). Furthermore, how different are the 10 recorded procedures? Knee replacement surgery can be performed through different clinical approaches depending on the desired alignment (mechanical or kinematic), the type of implant, etc. Are all these differences represented on the dataset? Or is it the same surgical approach repeated ten times? Are the actors in the videos different from one video to the other? Has the OR changed somehow from one video to the other?
Moreover, the size of the test set seems small for an evaluation of the performances of the proposed approach, especially since we do not know how different each of the surgeries are. Do you believe your approach would generalize well to variations in the surgical workflow?
The evaluation metrics and results are difficult to interpret and understand. More explanation should be provided. What is the purpose of the ablation studies that are presented?
The discussion section is short and as a reader you feel like more can be discussed about this work. Especially about how the approach would translate to a real clinical setting. No recommendations for this are provided or about how would this approach be implemented in a clinical setting."	"Limited technical contributions
It would be interesting to get the performance by perturbing pose estimation prediction.
It would be interesting to see on camera view layout
the paper does not include any information on the calibration. It would be interesting to provide some information on how the cameras are calibrated."
004	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000	No significant weaknesses to comment on.	"Experiments are reported only on one dataset (CheXPert) and only in the small data regime (5000 training images)
The paper is somewhat rushed and some parts need to be clarified"	Lack of novelty - there is no major novelty either technical or on data contribution.
005	A Deep-Discrete Learning Framework for Spherical Surface Registration	The paper presents promising results. Yet, some points are not clear; in particular, the motivation of using rotational equivariance seems weak. Please see my comments in the section below.	"It is not clear whether diffeomorphism of the spherical deformation is guaranteed, as in Spherical Demons. It may be so if the local displacements are constrained to be small enough and enough iterations of fitting are performed, but this is not stated, and in description of the coarse-to-fine architecture it seems like the coarse and fine level models are only executed once per pair of input spheres. So it seems like it would be possible for the deformation to cause folds on the surface. I wasn't sure whether this is captured by the strain variables - they all are plotted on the log scale so one has to assume there were no negative values.

The overall contribution is somewhat incremental."	No major weaknesses.
006	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation	"There are some weakness in this paper, however :

Who did the manual segmentation ?
Making an evaluation according to the part of the aorta is a good idea, but it could be interesting to have the same kinds of result according to the pathology
The Hausdorff distance is a metric to detect the outliers, and only considering the 95% of the Hausdorff distance is a non-sense, or something to hide bad results. Please provide the ""true"" HD
The standard deviation must be indicated in the Bland Altmann plots in the figure 5.
The diameters indicated in the discussion are not good. According to the Bland Altmann plots, the maximum error is higher than 0.98 mm
The units are not specify for the HD"	"The introduction is rather long for the format of the paper, but while it brings attention to some problems of cardiovascular radiology, it does not provide much information on the current state of the art, its limitations and why the reasons behind the architectural choice. 
Perhaps recent reviews on this topic can support the authors in editing the introductory part [1,2]. I would also recommend the authors to split the introduction from the related works.
In 2.1, ""h"" is not defined. Also, what do the authors mean with ""base fact""?
While comprehensive, I find the method description (section 2) to be too focused on the mathematical description of some aspects, while other aspects are left without any details (e.g. ""At the end, a lightweight decoder is used to fuse multi-level features to
decode."" -> it is not clear what the decoder actually is and how it exactly works).
Dataset: Was there an ethical approval for the access of the 204 CT scans? Please report statistics regarding volume size and spacing.
Train and test: after how many epochs was the learning rate reduced?
Diameter meausurements were not compared against state of the art but only against ground truth.

[1] Fleischmann, Dominik, et al. ""Imaging and Surveillance of Chronic Aortic Dissection: A Scientific Statement From the American Heart Association."" Circulation: Cardiovascular Imaging 15.3 (2022): e000075.
[2] Pepe, Antonio, et al. ""Detection, segmentation, simulation and visualization of aortic dissections: A review."" Medical image analysis 65 (2020): 101773."	The experimental section lacks analysis in the discussion of comparison method.
007	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation	The validation study is designed to automatically simulate user interaction scribbles. It's not clear if the method would perform as well with a human scribbler.	It is unclear how many interactions are used for results in Table 1. Is same method used for generating user interaction for all methods?	"My main concern is that I am not sure whether I can see such a complex approach easily deployed in clinical use.
It is an interactive method, but it still (1) requires networks training and therefore specific to the anatomies it has been trained for, (2) requires some computational power on the user-end to run those networks.
In order to be used in practice, I feel like an interactive method should be swift and lean. Here, there is no mention of the computational time of each prediction, or the overall time it takes an actual user (not simulated scribble) to segment in a satisfactory way the organ of interest, or a study on generalization to new structures.
The complexity of the method makes it difficult to reproduce; for instance it uses both a 2D and a 3D network, the training has 4 different steps where various parts of the network are trained, etc.
The method could have been better explained. I don't understand why one part is in 3D and the other in 2D. Figure 1 is overall a bit confusing: the order of the different operations is not clear."
008	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis	"(1) The Introduction is not well organized. It seems more like stack the review of compressed sensing MRI and MRI synthesis without presenting their link. What is the value of study MR image synthesis under the setup of partially acquired MRI measurements of other modalities. In my opinion, this is the key issue to be addressed to show the value of this paper.
(2) Following the first concern, is this paper the first work to explore the joint MRI reconstruction and synthesis? If so, it should be stressed since it is a major contribution. If not, related works should be discussed.
(3) Another major issue is that the rationale or analysis should be provided on why the third term in Equation (1) is a reasonable design? Citing related papers, visualized analysis or explanations should be useful.
(4) The technical details should be better organized and concise to make the paper more readable and understandable to MICCAI community."	"One weakness is that the paper doesn't clearly describe how the k-space data was generated, since, as far as I know, the BRATS 2018 dataset is not for raw-kspace, please carefully describe the data processing steps. Also, please check carefully on this paper: Implicit data crimes: Machine learning bias arising from misuse of public data, which shows some potential data crime for MRI reconstruction.
The undersampling strategy for this paper is radial sampling, and 40% sampling rate is kind of considered as a ""low"" acceleration factor. Would be nice to elaborate more on how does the undersampling matters and what happened if the sampling is cartesian."	This paper proposes to use the idea of meta learning to optimize the hyperparameter, but it does not show that the parameter is the main limitation affecting the problem, and there are not enough experiments to verify the advantages of the optimized parameters over the general hyperparametric design.
009	A Medical Semantic-Assisted Transformer for Radiographic Report Generation	"1.The article only assessed language fluency, not Clinical Accuracy Performance, and we cannot judge whether it has clinical significance.
2.Does the CLIP module work when testing the model? If it works, where does the report that matches the image get it; if it doesn't work, how to extract the regional features of the image.
3.Part 2.2 and Part 2.3 Are the same as the content in Attention(), but the results are different.The loss function calculation formula in section 2.3 does not explain how pk is obtained.
4.The model proposed framework in the paper does not correspond very well to the formula proposed in the article. The inputs and outputs of the modules in the framework are not clear, and the corresponding modules are not labeled for what they do.
5.The MSA module in part 2.1 is very confusingly written, and it is difficult to understand what it means if you have not read the reference [13,19]."	"1.Fig 1 is not clear. I don't know the meaning of the part of module near the input image. Because the input and output(e.g. Q,K,V) are not clear.

Part of Memory-augmented Sparse Attention is similar to [1], but it is not mentioned in paper.
Medical Concepts Generation Network is common used in this task, such as [2], although the supervised words are not same.
Lack the experiments on IU X-Ray dataset, which is common used in this task.

[1] Meshed-Memory Transformer for Image Captioning. CVPR 2020
[2] Visual-Textual Attentive Semantic Consistency for Medical Report Generation. ICCV2021"	I found it very hard to follow notations used for defining various variables and weights of a network. It would be helpful to include a chart for it in the supplementary.
010	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images	"The technical contributions are not sufficient for a good MICCAI paper. The intuitions brought by this paper are limited, and there are many aspects that the authors could study further. (1) In Eq. 1, weighted feature fusion has already been well studied in the vision domain (a similar study can be traced back to ""Identity Mappings in Deep Residual Networks"", He etal, ECCV2016) and many following U-Net based papers have tried such weighted skip connections since then. However, the only interesting part is that \alpha is gradually decreased in this paper instead of being learnt as others. In this way, the authors should spend more efforts to study the behavior of such decreasing schedule: linearly scheduled, cosine schedulerd piece-wise scheduled etc. (2) The HOG prediction in this work seems like a direct combination of [13] and [17]. Although there is indeed a new attempt (using different resolution HOG as GT), it is more like a training trick instead of a major technical contribution.

Experiment on one single dataset does not seem sufficient to fully evaluate the proposed method.

Since the primiary contribution claim is the network with skip connections, the authors should compare with more SOTA skip-connected networks (e.g. Attn U-Net, BiO-Net etc.) in Table 1. Also, these works should be cited in the related work section."	"a)  In ""Introduction"" Section, the description of the motivation for the proposed auxiliary HOG prediction task is unclear and insufficient. The authors only stated the effectiveness of HOG prediction for self-supervised representation learning, without explaining the correlation between this auxiliary task and the main anomaly detection task. 
b)  In the comparison experiments, except Sparse-GAN and Proxy Ano respectively published in 2020 and 2021, the other competing methods are somewhat outdated. Comparing with these methods can not fully demonstrate the advancement of the proposed method, though it achieves the best performance. In addition to methods designed for anomaly detection, some classic medical image reconstruction framework and method should also be reviewed and re-implemented as comparison methods."	"1.""The skip connections at higher levels tend to mislead the model to bypass the lower levels of features and essentially learn an identity mapping function.""How do you come to the conclusion that the model bypass the lower levels of features? Can you give any theoretical or experimental support it?
2.This paper proposes a weight decay skip connection training strategy. You've not give any references. What is the purpose of the strategy? What is the advantage of the weight factor a?"
