id	title	review1	review2	review3
001	41	26	107.0	
002	32	13	34.0	
003	82	279	50.0	
004	6	30	15.0	
005	29	120	3.0	
006	124	244	11.0	
007	25	24	190.0	
008	157	106	48.0	
009	156	96	31.0	
010	217	115	80.0	28.0
011	20	24	20.0	
012	100	128	149.0	
013	62	26	27.0	
014	91	107	117.0	27.0
015	140	107	134.0	
016	21	34	48.0	
017	144	98	76.0	
018	30	313	21.0	
019	21	48	200.0	
020	130	97	16.0	
021	136	39	67.0	
022	91	170	119.0	
023	133	27	65.0	
024	34	268	333.0	
025	41	235	51.0	
026	28	159	7.0	
027	73	251	188.0	
028	20	23	61.0	
029	410	98	13.0	
030	12	105	203.0	37.0
031	34	74	350.0	
032	149	32	27.0	
033	34	246	69.0	
034	463	61	100.0	
035	186	67	162.0	
036	10	123	30.0	
037	143	221	49.0	
038	13	62	75.0	
039	48	34	154.0	
040	56	149	491.0	
041	133	150	12.0	
042	226	78	42.0	
043	33	44	75.0	
044	36	18	436.0	
045	61	216	35.0	
046	84	77	161.0	
047	187	27	78.0	
048	429	234	47.0	
049	208	27	166.0	
050	9	69	60.0	
051	321	5	25.0	
052	26	51	72.0	8.0
053	24	85	305.0	
054	18	341	78.0	
055	46	96	50.0	
056	101	39	55.0	
057	26	114	93.0	
058	197	37	43.0	
059	37	253	140.0	
060	1	433	174.0	
061	15	58	164.0	
062	80	8	16.0	
063	70	57	36.0	
064	32	11	219.0	
065	1	13	61.0	
066	31	212	11.0	
067	317	56	310.0	
068	50	34	88.0	
069	70	245	155.0	
070	115	17	10.0	
071	64	35	49.0	
072	89	134	123.0	
073	96	49	68.0	
074	105	68	72.0	
075	73	27	128.0	
076	25	28	76.0	
077	60	66	140.0	
078	213	137	43.0	
079	24	51	300.0	
080	22	72	11.0	
081	76	44	171.0	
082	17	37	188.0	
083	208	85	124.0	
084	45	73	124.0	
085	46	48	68.0	
086	107	73	7.0	
087	38	135	40.0	
088	29	10	128.0	
089	6	85	127.0	
090	9	137	10.0	
091	53	35	99.0	
092	39	24	28.0	
093	60	307	11.0	
094	14	77	128.0	
095	31	65	357.0	
096	58	93	195.0	
097	18	7	238.0	16.0
098	46	71	36.0	
099	91	70	46.0	
100	103	48	52.0	
101	27	32	62.0	
102	49	64	31.0	
103	94	64	87.0	45.0
104	91	38	51.0	
105	89	36	80.0	
106	229	84	68.0	
107	201	93	163.0	
108	92	120	27.0	
109	69	10	67.0	
110	167	10	16.0	
111	53	89	88.0	
112	4	144	7.0	
113	25	178	22.0	
114	2	113	178.0	
115	78	64	19.0	
116	174	35	2.0	
117	48	173	191.0	
118	9	35	126.0	
119	84	106	4.0	
120	203	125	18.0	
121	36	161	28.0	
122	62	153	12.0	
123	25	17	72.0	
124	289	301	43.0	
125	38	52	35.0	
126	112	22		
127	7	197	71.0	
128	114	34	73.0	
129	22	31	39.0	
130	14	320	24.0	
131	30	222	56.0	
132	60	60	106.0	
133	330	61	38.0	
134	39	65	30.0	
135	33	72	55.0	
136	1	27	24.0	
137	135	133	23.0	
138	50	196	25.0	
139	32	92	45.0	
140	73	120	100.0	81.0
141	50	185	37.0	
142	81	59	72.0	
143	112	54	11.0	
144	120	35	75.0	
145	207	161	20.0	283.0
146	93	84	19.0	193.0
147	12	109	187.0	
148	26	258	205.0	
149	31	33	25.0	
150	105	250	61.0	
151	211	171	105.0	
152	32	88	36.0	
153	7	144	68.0	
154	46	181	23.0	
155	20	108	185.0	
156	121	84	115.0	
157	64	118	41.0	
158	81	18	117.0	
159	24	221	100.0	34.0
160	24	45	23.0	
161	23	152	51.0	
162	7	50	198.0	
163	236	71	14.0	
164	23	303	238.0	
165	38	123	31.0	
166	49	108	67.0	
167	111	42	77.0	
168	42	90	146.0	
169	34	72	1.0	
170	1	88		
171	57	27	52.0	
172	62	7	151.0	
173	23	59	130.0	
174	26	25	13.0	
175	158	16	6.0	
176	11	131	44.0	148.0
177	185	131	214.0	
178	12	43	66.0	
179	66	16	195.0	
180	84	63	101.0	
181	42	36	18.0	
182	28	47	61.0	
183	121	173	41.0	
184	68	109	168.0	
185	69	290	52.0	
186	22	10	182.0	
187	25	2	61.0	
188	183	81	76.0	
189	73	201	46.0	16.0
190	55	270	145.0	
191	28	102	17.0	
192	78	4	32.0	
193	55	114	60.0	
194	46	121	107.0	
195	38	21	59.0	
196	223	64	28.0	100.0
197	78	5	149.0	
198	60	1	102.0	
199	16	10	215.0	
200	150	234	119.0	
201	10	55	21.0	
202	104	87	104.0	
203	54	169	21.0	
204	137	110	79.0	
