stat;kappa score;kappa score;kappa score;ci low;ci low;ci low;ci high;ci high;ci high;sd;sd;sd;se;se;se
method;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss
Models and algorithms;0.903866182029605;0.9030381383322558;0.9030381383322558;0.809174116645381;-0.008386857048442775;0.9030381383322558;0.9780448389487126;1.8144631337129544;0.9030381383322558;0.04135019939289513;0.4650127527452544;0.0;0.003774739494137515;0.04244966236769136;0.0
Datasets;0.9291119146384903;0.9315068493150686;0.9315068493150686;0.8525345622119815;0.20856691630249147;0.3667225238198061;0.9833055091819699;1.6544467823276456;1.496291174810331;0.03408669741934906;0.36884690459825364;0.2881552681098278;0.003111675514571769;0.03367096165240325;0.026304856734616952
Code;0.9834879279215044;0.9826989619377163;0.9826989619377163;0.9430194325565382;0.612784156666333;0.6836750616300107;1.0;1.3526137672090996;1.281722862245422;0.017190170612192933;0.18873204350580786;0.15256321444270693;0.00156924070194341;0.01722879959202956;0.013927052332628089
Experimental results;0.8596372755165641;0.8636363636363634;0.8636363636363634;0.7272727272727273;-0.418158607139946;0.8636363636363634;0.9680511182108626;2.145431334412673;0.8636363636363634;0.061638709279232706;0.6539770259062804;0.0;0.005626818581289792;0.059699661529835024;0.0
Error bars or statistical significance;1;1;1;1;1;1;1;1;1;1;1;1;0.09128709291752768;0.09128709291752768;0.09128709291752768
Statement;0.7400940300410853;0.7420522683561489;0.7420522683561489;0.6342226082661806;-0.4236071333788881;-0.3828974528473007;0.8382178204387853;1.907711670091186;1.8670019895595984;0.05167765929363653;0.5947241845586924;0.5739539393895151;0.0047175032856985365;0.054290641896110235;0.05239458659543172
Comments;0.7054980191069289;0.7078975838442121;0.7078975838442121;0.5963999772202218;-0.35465593249536487;-0.5891901942797872;0.8008216011299479;1.770451100183789;2.0049853619682114;0.05088676035729042;0.5421191409895801;0.6617794786346936;0.004645304421007935;0.049488480395886096;0.0604119247570383
Meta-categories;0.9803222577301847;0.9815837937384899;0.9815837937384899;0.9303607037382942;0.587825492731382;0.8549885476194756;1.0;1.3753420947455979;1.1081790398575042;0.01898788208910208;0.2008970923505653;0.0645894112852114;0.0017333485565749214;0.018339311536267194;0.005896179589481504
Agreement;0.8112870941691281;0.8134328358208955;0.8134328358208955;0.6504854368932038;-0.15404338986690258;-0.3256432094344639;0.9609088246592954;1.7809090615086935;1.952508881076255;0.08147968242588052;0.49361031922846843;0.581161247579265;0.012883068974648804;0.07804664426623839;0.09188966150877471
