stat;kappa score;kappa score;kappa score;ci low;ci low;ci low;ci high;ci high;ci high;sd;sd;sd;se;se;se
method;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss
Models and algorithms;0.7539979303519965;0.7544080604534007;0.7544080604534007;0.6617661485411376;0.6646658965150242;0.7544080604534007;0.8412931667891257;0.8441502243917772;0.7544080604534007;;;;0.04550509715271859;0.04578681833590641;0.0
Datasets;0.9087207438402407;0.9085872576177285;0.9085872576177285;0.85288316288647;0.8556776590235549;0.9085872576177285;0.9582224422850777;0.9614968562119022;0.9085872576177285;;;;0.026573507173972208;0.02699469316029271;0.0
Code;0.9108468158915793;0.9107142857142856;0.9107142857142856;0.8591805996066364;0.8613315214396178;0.8670563551446815;0.9552678753378085;0.9600970499889534;0.9543722162838897;;;;0.02401677197831318;0.025195287895238696;0.022274454372247
Experimental results;0.863750586987715;0.8637248539909151;0.8637248539909151;0.7875029971225201;0.7942149305601358;0.8637248539909151;0.928728427484189;0.9332347774216945;0.8637248539909151;;;;0.036342742631658174;0.03546424664835681;0.0
Error bars or statistical significance;;1.0;1.0;;1.0;1.0;;1.0;1.0;;;;;0.0;0.0
Code is or will be available;0.8666979685169309;0.8688536840532057;0.8688536840532057;0.7877741149403519;0.7992991941337704;0.8688536840532057;0.9324393227775122;0.9384081739726411;0.8688536840532057;;;;0.0359076238705568;0.03548698465277313;0.0
Statement;0.7365884529812583;0.736981934112646;0.736981934112646;0.6651532494493375;0.6658789790629617;0.6644226632616512;0.7992747749833955;0.8080848891623303;0.8095412049636408;;;;0.03316043525599892;0.036277017882491984;0.03702003614846675
Comments;0.8147866604677545;0.8155936590100292;0.8155936590100292;0.7598330944713544;0.7612433229181231;0.7481337347285096;0.8667691322725259;0.8699439951019353;0.8830535832915488;;;;0.027401412731012365;0.027729763312196995;0.03441832871506103
Meta-categories;0.8008606896113803;0.8014027898179528;0.8014027898179528;0.7338841346303876;0.7317600256871027;0.7693295928734006;0.8633703260185701;0.8710455539488028;0.8334759867625049;;;;0.033194809982429144;0.0355320225157398;0.016363875992118408
Agreement;0.6307787360019255;0.63302752293578;0.63302752293578;0.45785859263027323;0.46997625567509826;0.63302752293578;0.7821175052550798;0.7960787901964618;0.63302752293578;;;;0.08417355963498516;0.08318942207177639;0.0
repo provided and not empty;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;0.0;0.0;0.0
