Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree			
		Review 1	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Code is or will be available	Statement	Comments	Review 2	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Code is or will be available	Statement	Comments	Review 3	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Code is or will be available	Statement	Comments	Review 1	Review 2	Review 3	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	meta-category	Agreement	Code link	Repo provided and not empty	
041-Paper1499	Adapter Learning in Pretrained Feature Extractor for Continual Learning of Diseases	Some details are provided to implement their method, but source code is unavailable for review.	1	0	0	0	0	0	1. (none) statement	4. (-/+) comments	Yes, it is reproducibile.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Good. key resources (e.g., proofs, code, data) are available and sufficient details (e.g., proofs, experimental setup) are described such that an expert should be able to reproduce the main results.	1	1	1	1	0	1	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	2	1	1	1	0	2	Disagreement	https://github.com/GiantJun/CL_Pytorch	1	
042-Paper2125	Adaptive Multi-scale Online Likelihood Network for AI-assisted Interactive Segmentation	If the code will be publicly available, there would be no issue with reproducibility.	0	0	1	0	0	0	1. (none) statement	1. (none) comments	The reproducibility of the paper is good with code to be released. Expert evaluation is introduced clearly to reproduce.	0	1	0	0	0	1	3. (+) statement	3. (+) comments	The reproducibility seems to be good. The authors use publicly available datasets for training/evaluation and have implemented their code with MONAI Label to facilitate reproduction of results and access to the community.	0	1	1	0	0	0	3. (+) statement	3. (+) comments	Unusable	Reproducible	Reproducible	0	2	2	0	0	2	Agreement	https://github.com/masadcv/MONet-MONAILabel	1	
043-Paper1681	Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation	For all code related to this work that they will release if this work is accepted	0	0	1	0	0	0	0. Unusable (statement)	0. Unusable (comments)	Not so good in reproduction due to the code is not release and the performance of the method can vary quite a lot at different random condition referring to the experiment results (which is one drawback in this kind of active learning method).	0	0	1	1	0	0	2. (-) statement 	2. (-) comments	In the Reproducibility Response, the authors promised to release the codes, and the data they used were from public dataset. Therefore, it is easy to carry out the reproduction of the paper.	0	1	1	0	0	1	3. (+) statement	3. (+) comments	Unusable	Irreproducible	Reproducible	0	1	3	1	0	1	Disagreement	https://github.com/DeepMicroscopy/AdaptiveRegionSelection	1	
044-Paper1894	Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs	Since all the code and datasets will be made public, there are good chances for being a reproducible paper.	0	1	1	0	0	1	3. (+) statement	3. (+) comments	It is reproducible since it is clearly described and code will be public.	0	0	1	0	0	1	3. (+) statement	3. (+) comments	The methods seems reproducible. The authors also promise to release the code.	0	0	1	0	0	1	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	0	1	3	0	0	3	Agreement	https://github.com/lifangda01/AdaptiveSupervisedPatchNCE	1	
045-Paper0722	Additional Positive Enables Better Representation Learning for Medical Images	Good, the authors claim the availability of their source codes if accepted.	0	0	1	0	0	1	3. (+) statement	3. (+) comments	There are enough implementation details but providing the code would highly improve reproducibility.	1	0	1	0	0	0	2. (-) statement 	4. (-/+) comments	It is mentioned that access to code and trained models will be available. I would suggest that anonymous github account with code is published and weights are shared also in anonymous way. These can then be easily pointed to non blind repositories if the manuscript is accepted.	0	0	1	0	0	0	1. (none) statement	4. (-/+) comments	Reproducible	Irreproducible	Irreproducible	1	0	3	0	0	1	Disagreement	N/A	0	
046-Paper1865	Adjustable Robust Transformer for High Myopia Screening in Optical Coherence Tomography	The authors work on a closed-source dataset.	0	1	0	0	0	0	1. (none) statement	2. (-) comments	The code is released.	0	0	1	0	0	1	1. (none) statement	3. (+) comments	Good reproducibility. The dataset is not public. The code is online.	0	1	1	0	0	1	3. (+) statement	4. (-/+) comments	Irreproducible	Reproducible	Reproducible	0	2	2	0	0	2	Disagreement	https://github.com/maxiao0234/ARTran	1	
047-Paper0340	Adult-like Phase and Multi-scale Assistance for Isointense Infant Brain Tissue Segmentation	It is reproducible given the code and data	0	1	1	0	0	0	1. (none) statement	3. (+) comments	The reproducibility of this paper is good except for the link of the code that is not provided.	0	0	1	0	0	0	1. (none) statement	4. (-/+) comments	Although some technical details are missing in the current version of manuscript, the authors committed in the checklist that will provide codes. The data is public. Work is reproducible.	0	1	1	0	0	1	3. (+) statement	4. (-/+) comments	Reproducible	Irreproducible	Reproducible	0	2	3	0	0	2	Disagreement	https://github.com/SaberPRC/IsointenseBrainTissueSeg.git	0	Empty
048-Paper1475	AirwayFormer: Structure-Aware Boundary-Adaptive Transformers for Airway Anatomical Labeling	The description seems to be very clear and reproducible.	0	0	0	0	0	0	3. (+) statement	3. (+) comments	There are several unclear aspects in the authors' methodology description. This prevents the article to be fully understood and thus reproduced.  I recommend that the authors provide the code associated to this article.	1	0	1	0	0	0	2. (-) statement 	2. (-) comments	The techique details is explained well. With the input from the previous work [21], the results could be reproducible.	1	0	0	0	0	0	3. (+) statement	3. (+) comments	Reproducible	Irreproducible	Reproducible	2	0	1	0	0	2	Disagreement	https://github.com/EndoluminalSurgicalVision-IMR/AirwayFormer	0	404
049-Paper0690	Alias-Free Co-Modulated Network for Cross-Modality Synthesis and Super-Resolution of MR Images	It seems to be reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Implementation details are somewhat provided.	0	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	No information is provided in the text. But, the authors state that they will make the code available upon acceptance.	0	0	1	0	0	1	1. (none) statement	4. (-/+) comments	Reproducible	Unusable	Irreproducible	0	0	1	0	0	1	Disagreement	https://github.com/zhiyuns/AFCM	1	
