stat;;kappa score;kappa score;kappa score;confidence interval low;confidence interval low;confidence interval low;confidence interval high;confidence interval high;confidence interval high;standard error;standard error;standard error
method;;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss;bootstrap;cohen;fleiss
category;review;;;;;;;;;;;;
Code;all reviews;0.9820779331431866;0.9826989619377163;0.9826989619377163;0.9444303732391952;0.9489305147373384;0.9554019393657652;1.0;1.0164674091380943;1.0099959845096673;0.017463621167565984;0.01722879959202956;0.013927052332628089
Code;review 1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Code;review 2;0.945230241186944;0.9459459459459459;0.9459459459459459;0.812465034965035;0.8413327064596277;0.9002506480372966;1.0;1.0505591854322642;0.9916412438545953;0.053170898985792074;0.0533741017787338;0.023313927504412944
Code;review 3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Comments;all reviews;0.7087764007216949;0.7078975838442121;0.7078975838442121;0.6080288411011826;0.6109001622682754;0.589490211320417;0.802655750199333;0.8048950054201488;0.8263049563680072;0.04930225283365271;0.049488480395886096;0.0604119247570383
Comments;review 1;0.8033534395721448;0.8061389337641357;0.8061389337641357;0.6460675944848281;0.6631242908585009;0.6287991078463706;0.9339443395693366;0.9491535766697705;0.9834787596819008;0.07141532662724859;0.07296665454369121;0.09047950301926794
Comments;review 2;0.69842803296336;0.7068403908794787;0.7068403908794787;0.531234326954522;0.5382278776114738;0.5015435487990149;0.8621936991228109;0.8754529041474836;0.9121372329599425;0.08404465085185149;0.08602679248367594;0.10474328677574687
Comments;review 3;0.6009409814630895;0.6094385679414158;0.6094385679414158;0.41931231745077874;0.4245526546946702;0.393786414176277;0.7668706471728357;0.7943244811881615;0.8250907217065546;0.08977040175499125;0.09432954757487023;0.11002660906384634
Datasets;all reviews;0.9305563092452654;0.9315068493150686;0.9315068493150686;0.8601493289359168;0.8655117644763581;0.8799493301152194;0.9832402234636871;0.997501934153779;0.9830643685149177;0.032890627531805154;0.03367096165240325;0.026304856734616952
Datasets;review 1;0.8988275351773732;0.8992443324937027;0.8992443324937027;0.7232750759878419;0.7631398712639956;0.7855515780528228;1.0;1.0353487937234098;1.0129370869345826;0.07109710461995032;0.06944105164780971;0.058006507367795855
Datasets;review 2;0.8958527900232152;0.8979591836734695;0.8979591836734695;0.7100977995110024;0.7601186961525673;0.7931383790453702;1.0;1.0357996711943716;1.0027799883015687;0.07248524502065715;0.07032677934739905;0.05348000236127514
Datasets;review 3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
Error bars or statistical significance;all reviews;;1.0;1.0;;1.0;1.0;;1.0;1.0;;0.0;0.0
