id	category	title	review1	review2	review3
14	repro	A Novel Knowledge Keeper Network for 7T-Free But 7T-Guided Brain Tissue Segmentation 	based on the checklist, yes.		
15	repro	A Penalty Approach for Normalizing Feature Distributions to Build Confounder-Free Models 			The code and data can be released according to the reproducibility checklist.
50	repro	Atlas-powered deep learning (ADL) - application to diffusion weighted MRI 	Although the architecture is simple (U-Net), the full method is rather complex. Without the code, it seems unlikely one can reproduce the experiments. Although the authors mentioned in the reproducibility checklist that the code was made available, they did not mention it in the paper.		
61	repro	Automatic Segmentation of Hip Osteophytes in DXA Scans using U-Nets 		Overall, I consider reproducibility of the study as high. Several remarks below. The exact model architecture is not given explicitly, eventhough it is understandable from the text to some extent. The authors have checked the code release in the checklist, however, there is no link to the source code in the article. Software versions are not specified for the critical components of the pipeline.	
69	repro	Bi-directional Encoding for Explicit Centerline Segmentation by Fully-Convolutional Networks 			According to the reproducibility checklist, the authors do not plan to provide their training or evaluation code. The method itself is fairly straightforward and well described, and a re-implementation should be possible. Most hyperparameters used for training the models are provided in the supplementary material, however, only the CLIP data set is available for reproducing results.
77	repro	CACTUSS: Common Anatomical CT-US Space for US examinations 			The authors reference the US simulation algorithm and CUT network and provide parameters for each. As noted in their checklist code is not provided . Overall this limits reproducibility of their work. It would be of great interest to the community if they provided access to their framework to allow others to leverage well-curated CT (or MR?!) datasets for US applications.
84	repro	CASHformer: Cognition Aware SHape Transformer for Longitudinal Analysis 			All parts of the model architecture blocks are well described as well as the training procedure (mostly in the supplementary materials). The dataset is exhaustively detailed as well as the splits and the proposed evaluation process. As stated in the reproducibility checklist, not all hyper-parameters tuning / setting is reported, e.g. the loss weight lambda was empirically set.
89	repro	Characterization of brain activity patterns across states of consciousness based on variational auto-encoders 		The paper meet the crieria on the checklist.	
92	repro	CIRDataset: A large-scale Dataset for Clinically-Interpretable lung nodule Radiomics and malignancy prediction 		Apparently, the authors have not understood how to fill out the checklist: all questions are answered with yes, yet most of the information is missing in the paper (e.g. only everage values are given for comparison and no variation, no tests for statistical significance, ...) On a positive note, datasets and code will be released, which should answer many of the open questions.	
95	repro	Clinical-realistic Annotation for Histopathology Images with Probabilistic Semi-supervision: A Worst-case Study 			More details about each training step, e.g., pre-training, fine-tuning, MC dropout configuration, need to be clarified for reproducibility. The authors checked almost all boxes in the checklist, in which it says the code would be made available. If that is the case, reproducibility is not an issue.
98	repro	Combining mixed-format labels for AI-based pathology detection pipeline in a large-scale knee MRI study 		Overall, very high reproducibiliy score. The checklist provided by the authors is in a agreement with the provided details. Few aspects regarding the private dataset and the data management are to be clarified. See the comments in next section.	
109	repro	Contrast-free Liver Tumor Detection using Ternary Knowledge Transferred Teacher-student Deep Reinforcement Learning 	Most reproducibility checklist are fulfilled.		
119	repro	Curvature-enhanced Implicit Function Network for High-quality Tooth Model Generation from CBCT Images 		I have some concerns about the reproducibility of the paper. The implementation and technical details of the method are not given in the paper. In the checklist, they claim that they will publish the data, training code, and network model. However, this information is not given in the text.	
132	repro	Deep Learning-based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement 			The paper provides many details on their implementation, hence there is no major reason to argue about paper reproducibility. Authors report the different hyperparameters used (both in the data processing phase and network training and evaluation phase). Details on the dimension of each modules of the architecture are also provided. Although authors declared that they shared dataset and code in the reproducibility checklist, I do not see any link to such resources in the paper. I would expect that authors share their implementations upon acceptance.
133	repro	Deep learning-based Head and Neck Radiotherapy Planning Dose Prediction via Beam-wise Dose Decomposition 	"The authors have essentially answered ""yes"" to every question in the reproducibility checklist. However, in reality most of the relevant points have not been included in the manuscript. While not all raised questions can be addressed in the manuscript, the checklist should be filled out correctly. I believe the most interesting information to add to the manuscript would be how the proposed method's hyperparameters were tuned (especially the loss function hyperparameters alpha and beta), how the baselines were implemented and tuned and additional discussion of the clinical significance (see comments above)."		Seems okay since author promised to provide the data and code in the reproducibility checklist. Otherwise, it is unclear to say since some key network architecture details are not provided in the paper itself.
141	repro	Deep-learning Based T1 and T2 Quantification from Undersampled Magnetic Resonance Fingerprinting Data to Track Tracer Kinetics in Small Laboratory Animals 		The checklist states that the dataset is downloadable, but I did not see an (anonymized) link in the manuscript Same for code and models The exact architecture of the UNet (number of features per layer) is not provided.  Not a problem if code is released. Hyper-parameter strategy is not mentioned, but maybe no hyper-parameter search was performed (which would be fine) Time/cost/memory not reported No statistical significance tests	The checklist mentions the code will not be available in a repository as it is still under development, which limits reproducibility.
