Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree		
		Review 1	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Code is or will be available	Statement	Comments	Review 2	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Code is or will be available	Statement	Comments	Review 3	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	Code is or will be available	Statement	Comments	Review 1	Review 2	Review 3	Models and algorithms	Datasets	Code	Experimental results	Error bars or statistical significance	meta-category	Agreement	Code link	Repo provided and not empty
1	3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction 	This work is reproducible.									Code is not provided.									Not sure, if the authors agree to share the code to the community, I would consider change my rate																				
2	3D Global Fourier Network for Alzheimer's Disease Diagnosis using Structural MRI 	Code will be available but the authors will not provide pre-trained models or evaluation code.									Could be reproducible if the code will be available since the data are public.									It is possible to be reproduced.																				
3	4D-OR: Semantic Scene Graphs for OR Domain Modeling 	Although the authors promise to release the codes, the reproducibility of this paper is at a high risk due to the huge pipeline of existing methods and many ad-hoc components. I would recommend the authors package all the pipeline components together into a for example Docker container.									Details about implementation, all the off-the-shelf approaches, hyperparameters, data split are provided. However, the paper lacks explanations about how clinically realistic the simulated surgeries are.									The author committed to release the code upon acceptance.																				
4	A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000 	Good									The paper relies on publicly available pre-trained models and datasets. New splits defined but will be provided for the final version. The methodology is described in detail, but a few details are not very clear, in particular: The description of the fine-tuning setting is not very clear (see detailed comments to authors) Which pretrained models were used in the experiments and the link to retrieve them.									The reproducibility of the paper may be limited due to the requirement of large compute and data requirement. The authors also do not publish their code or data used.																				
5	A Deep-Discrete Learning Framework for Spherical Surface Registration 	The proposed method seems reproducible.									Ok									The method's architecture should be reproducible from the descriptions in the paper. The dataset used for training and evaluation is also public. However, to directly reproduce method and results, parameters of the method would need to be published.																				
6	A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation 	It would be interesting to have access to the database, but I know that it is not evident. Moreover, the manual segmentation is questionable									Some further implementation details are provided as supplementary materials.  Do authors do not plan to publish code or trained models. CT data is also not publicly available.  Details on ground truth generation are also limited.									Although the data and code is not public, the authors list most of the details of the method in the paper.																				
7	A Hybrid Propagation Network for Interactive Volumetric Image Segmentation 	The methods are detailed and reproducible									"It would probably be difficult to reproduce the method as it includes multiple modules, implementation details of which are not completely clear, e.g. It is unclear what ""Semantic segmentation loss"" means? It is unclear which model wights are referred to be ""the pre-trained weights on video object segmentation is used for initialization"" The details of scribble generation are missing."									"Training/evaluation code, as well as pretrained models and data, are specified as ""available"" but no link has been provided."																				
8	A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis 	The method presented in this paper is loaded with technical details. I think it would be challenging to reproduce this work without the help of publicized codes.									The authors didn't claim that they will release the code.									This paper can be reproduced.																				
9	A Medical Semantic-Assisted Transformer for Radiographic Report Generation 	The paper did not provide the code, part of the introduction is not clear, not easy to reproduce.									The reproducibility of the paper is good, because the author says source code and the pre-trained models will be made available to the public.									The dataset is publicly available. Authors have said that source code and pre-trained models will be made available to the public.																				
10	A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images 	Codes are promised to be released soon.									Since the authors described their method and implementation details clearly, this paper has good reproducibility. Besides, they also intend to release their source code related to this work.									This paper seems reproductive.																				
11	A New Dataset and A Baseline Model for Breast Lesion Detection in Ultrasound Videos 	OK									These seems to be no problem with reproducibility. The random shuffling and then taking the consecutive frames within the randomly ordered frames could be improved. The fact that the authors will provide data and code definitely supports the reproducibilty.									There has been no downloadable link for the dataset used in the paper.																				
12	A Novel Deep Learning System for Breast Lesion Risk Stratification in Ultrasound Images 	Most of the presented methodology is clear and easy to reproduce. However, reproducing the results may be difficult due to the following unclear parts that I mentioned above, namely: (i) derivation of the soft labels, (ii) handling multiple images by the same patient, (iii) handling inconsistencies between BI-RADS and pathology.									No code provided. 2 public datasets, 1 private.									The paper states relevant hyperparameters and present results on 2 public datasets. Though the code and inhouse dataset aren't released.																				
13	A Novel Fusion Network for Morphological Analysis of Common Iliac Artery 	Paper is clear that an expert could reproduce									No source code is given. But, the method section of the paper is introduced so that readers can hopefully repeat or refer to it.									The description of the proposed method is clear and the paper is reproducible.																				
14	A Novel Knowledge Keeper Network for 7T-Free But 7T-Guided Brain Tissue Segmentation 	based on the checklist, yes.									No source code was provided.									Good. The author has opened the code.																				
15	A Penalty Approach for Normalizing Feature Distributions to Build Confounder-Free Models 	Reproducibility is fair, except for the choice of lambda, which has not been described.									This paper should be reproducible.									The code and data can be released according to the reproducibility checklist.																				
16	A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects 	No data or software  provided. Hard to reproduce the algorithm based on the  description.									The authors did not comment on the reproducibility.									The authors used a private dataset which makes it impossible to reproduce. They do list some of the hyper-parameters used for training the model.																				
17	A Robust Volumetric Transformer for Accurate 3D Tumor Segmentation 	Code is given and data is public,									Code is present in supplementary.									Great. The used dataset is public data, and the code is available.																				
18	A Self-Guided Framework for Radiology Report Generation 	The paper does not provide a link to the code. The description of the paper is relatively clear and generally reproducible.									Paper will be reproducible if the authors release their code.									The authors describe the model development methodology in detail and demonstrate ablation study results. Would be ideal if access can be provided to code or tools used for study.																				
19	A Sense of Direction in Biomedical Neural Networks 	The authors mention that the code and dataset will be made available.									"The paper generally presents sufficient detail and references for reimplementation. ""In practice we use a set of Gabor reference functions.."" It would be good to provide some details about the parameters used."									Although some information is missing, such as training epoch, learning rate, and footprint, the authors claimed in abstract that they will release the code and data, so the reproducibility is good.																				
20	A Spatiotemporal Model for Precise and Efficient Fully-automatic 3D Motion Correction in OCT 	Nor the code, nor the dataset are publicly available. The framework is said to be made available in the future, once further work is performed and the framework is considered closer to completion The mathematical support of the method is clear and detailed enough to try to attempt an implementation somewhat close to the one the authors might have done. While the dataset is not publicly available, it is sufficiently well described to be able to acquire a similar one, if access to a suitable device is had.									How to get the X/Y fast motion volumes may determine the reproducibility of the paper.									however the code is not provided , but provided visual inspection is satisfactory																				
21	A Transformer-Based Iterative Reconstruction Model for Sparse-View CT Reconstruction 	The manuscript has clearly described the network architecture and the reconstruction workflow. Most of the work is reproducible.									The implementation of the network looks simple, but we still hope the authors release the codes.									Well done.																				
22	AANet: Artery-Aware Network for Pulmonary Embolism Detection in CTPA Images 	The reproducibility of the paper is OK.									The reproducibility of this article is possible.The network structure parameters and loss function are described in the article.									Authors claim that the dataset and the network/weights will be made public. I believe that the reproducibility is good.																				
23	Accelerated pseudo 3D dynamic speech MR imaging at 3T using unsupervised deep variational manifold learning 	The reproducibility criteria have been met									The authors have attempted to make the code publicly available, which should ensure good reproducibility.									This paper is presented clearly and the model is easy to reimplement although the code is not publicized.																				
24	Accurate and Explainable Image-based Prediction Using a Lightweight Generative Model 	I belileve the method to be difficult to reproduce for unfamiliar audiences, not comfortable with the needed mathematics (since as far as I am aware, no code will be made available).									The authors go to pains to tell us how they implemented and evaluated competing methods, in quite some detail.  In that sense reproducibility is high.   The data set is open source.									Most implementation details are provided in the paper. Methods are easy to re-implement, although no code is provided in the supplementary details.																				
25	Accurate and Robust Lesion RECIST Diameter Prediction and Segmentation with Transformers 	What were the Adam optimizer hyperparameters (other than learning rate) and what was the batch size? While not mandatory, I strongly encourage the authors to release the code for reproducibility - this is the most productive and useful way to allow reproducibility.									Overall, the reproducibility form in my perspective well matched the manuscript. Regarding a few points, I felt that the authors might adapt their answers, as pointed out in the following: A clear declaration of what software framework and version you used. [Yes] -> No I felt, that this was not described in detail. While it was mentioned that the authors used PyTorch, no versions have been documented. For all reported experimental results, check if you include: The range of hyper-parameters considered, method to select the best hyper-parameter configuration, and specification of all hyper-parameters used to generate results. [Yes] -> No This in so far as basically no hyper-parameter optimization seems to have been conducted. Details on how baseline methods were implemented and tuned. [Yes] -> No While the authors have stated to have trained the methods on the same data, they did to the best of my understanding not comment on whether they used one of the original implementations or not, nor whether they conducted any kind of tuning for the data at hand. An analysis of situations in which the method failed. [Yes] -> No While I might have overlooked this, I did not find an error-case assesment in the manuscript.									yes																				
26	Accurate Corresponding Fiber Tract Segmentation via FiberGeoMap Learner 	Good.									good									The code and video for predicted fiber tracts openly available via GitHub.																				
27	ACT: Semi-supervised Domain-adaptive Medical Image Segmentation with Asymmetric Co-Training 	Code is provided.									The manuscript misses some technical details, for example, the implementations of SSL and UDA in the proposed ACT framework. Fortunately, the code is provided.									The author submitted the code as the support material. There are no reproducibility concerns.																				
28	Adaptation of Surgical Activity Recognition Models Across Operating Rooms 	Code is not available while the reproducibility responses are checked.									The information provided will allow the reproducibility of this paper. The release of the dataset will be a plus to allow further comparison.									Experiment parameters are given in the Supp Materials, not sure if it will be published with the paper. The model trained and assessed on private dataset make it difficult to reproduce the results.																				
29	Adapting the Mean Teacher for keypoint-based lung registration under geometric domain shifts 	Good. Authors have provided the code.									The method seems fully reproducible, and the code is provided.									* The authors shared their code, which thus is highly reproducible.																				
30	Adaptive 3D Localization of 2D Freehand Ultrasound Brain Images 	OK									The work seems reproducible									I couldn't fully understand Regression ConvNet because authors didn't provide any details. Supplementary data was helpful for better understanding the work.																				
31	AdaTriplet: Adaptive Gradient Triplet Loss with Automatic Margin Learning for Forensic Medical Image Matching 	This paper is highly reproducible.									The code is provided so it is reproducible.									All relevant hyperparameters and pipeline settings are clearly listed, giving me no reason to doubt the reproducibility of the paper results.																				
32	Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI 	Satisfactory. Datasets are publicly available, and methods are described with acceptable detail.									The paper presents enough details to reproduce the results on public datasets.									No code sharing was mentioned in the submission. The datasets are publicly avaible.																				
33	Adversarial Consistency for Single Domain Generalization in Medical Image Segmentation 	The reproducibility of this paper is relatively high because most implementation details, such as batch size, learning rate, and parameters of the optimizer, are provided. The authors also describe the details of data prepossessing and evaluation metrics.									Good. The authors listed the data source, model architecture, and promised publishing their code after acceptance.									clear for the experiment settings and network architecture.																				
34	Adversarially Robust Prototypical Few-shot Segmentation with Neural-ODEs 	No issues on reproducibility that I can think of.									Authors provide github website so it is acceptable.									The authors agree to release the code when the paper is accepted, and the datasets they used is publicly available.																				
35	Agent with Tangent-based Formulation and Anatomical Perception for Standard Plane Localization in 3D Ultrasound 	The paper mentions of the training process some relevant hyper-parameters in section 2.3 and 3.1. But the submission did not accompany any code. In the absence of a codebase, reproduction might be challenging.									The model is described in sufficient detail, and the authors outline their experimental procedure clearly. The supplementary provides a video which shows the navigation SPs in 3D US.									Sufficient details are provided in order for the paper to be reproducible																				
36	Aggregative Self-Supervised Feature Learning from Limited Medical Images 	The reproducibility of the paper is good since most of the important implementation details are provided in the manuscript.									Authors well-described experiments in this paper; thus, it is possible to reproduce their experiments.									The experimental setup is described in detail. Following the description can reproduce the results.																				
37	An Accurate Unsupervised Liver Lesion Detection Method Using Pseudo-Lesions 	Please describe the training strategy, including the optimizer, the optimizer's hyperparameters, the number of epochs used, the learning rate schedule (if any), and any other details required to reproduce the results.									The authors answered that they will make the code available which is not mentioned in the paper.									Most details of the networks and datasets are available. Please also include details about hyperparameters, and mage pre-preprocessing steps for both CycleGAN and the main anomaly detection network.																				
38	An adaptive network with extragradient for diffusion MRI-based microstructure estimation 	Results can be reproduced									The 3T in vivo dataset is freely available. It is unclear if the 7T dataset will be made available. The network will be made publicly available on Github. The experimental setup, the method description, and networks architecture structures are sufficiently described.									Authors mentioned that a demo will be provided at https://github.com/Tianshu996/AEME after this work is accepted. The availability of pre-trained models is not clear.																				
39	An Advanced Deep Learning Framework for Video-based Diagnosis of ASD 	The dataset and code will be released; all good.									OK									Details of the framework/experiments are provided in the paper. If the dataset will be released, it would be enough for reproducibility.																				
40	An End-to-End Combinatorial Optimization Method for R-band Chromosome Recognition with Grouping Guided Attention 	The method is described in great detail. However, the loss function definition is missing. Also, the hyperparameters of the Bi-RNN training are missing.									Data and code are not available.									"The results are not reproducible without the code and the dataset. It seems that the authors intend to release the code, but the dataset does not seem to become available. I do not agree with all the claims of the authors: 1) The authors mark yes to the following: ""For new data collected, a complete description of the data collection process, such as descriptions of the experimental setup, device(s) used, image acquisition parameters, subjects/objects involved, instructions to annotators, and methods for quality control."" There is absolutely not sufficient description of this in the paper. The description is just from the point of receiving the images, there is no description of the acquisition process. 2) The authors also mark yes to the following: ""Whether ethics approval was necessary for the data."". I cannot find anything about ethical approvals in the manuscript. 3) I generally do not agree with the statements under section 4), e.g. there is no statistical test for comparing the significance of the difference between the methods, although the authors state that the method significantly outperforms state-of-the-art in the conclusions, this is simply misleading... Also I could not find a description of the hardware used."																				
41	An Inclusive Task-Aware Framework for Radiology Report Generation 	Reproducible with some efforts.									positive if code are released									yes																				
42	An Optimal Control Problem for Elastic Registration and Force Estimation in Augmented Surgery 	The relavent form has been filled out by the Authors. Appears to be adequate.									The optimization problem and ajoint problem are well explained and could thus be reproduced in another simulation context.									noting special for this paper  for reproducibility																				
43	Analyzing and Improving Low Dose CT Denoising Network via HU Level Slicing 	ok									The average runtime for each result, is not presented. A declaration of what software framework and version authors used is not presented. A description of the computing infrastructure used (hardware and software) is not presented.									Since the authors used or updated the existing network such as U-Net, REDCNN and CycleGAN, it is easy to reimplement without source code release. It will be trivial to implement HU level slicing if the HU level values are given.																				
44	Analyzing Brain Structural Connectivity as Continuous Random Functions 	No indication in main paper about reproducibility.									The method is novel, the availability of the author's original code may greatly help with the reimplementation. The authors admits promised the availability of the code, but I did not see the download link in the paper or in the supplementary file.									No reproducible experiments provided in this paper. No source code is released.																				
45	Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays 	Can be reproduced.									The results seem to be reasonable and reproducible.									The reproducibility of the paper is credible.																				
46	Anomaly-aware multiple instance learning for rare anemia disorder classification 	The idea in this paper is clear and the overflow of the proposed framework is also clear. So i think this paper has good reproducibility.									Authors claim they will release the code upon acceptance.									Either the dataset or the code is available. I don't think I have the confidence to reassure that this work is reproduceable.																				
47	Assessing the Performance of Automated Prediction and Ranking of Patient Age from Chest X-rays Against Clinicians 	Maybe the results can be reproductive.									Details required to train the network are missing. This includes some important hyperparameters such as the learning rate, batch size, etc.									easily reproducible																				
